pca__n_components,svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
0.9,0.01,linear,1,0.1,0.4,0.15384615384615385,0.6666666666666666,0.25,0.014678923792502562
0.9,0.01,linear,1,0.2,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.9,0.01,linear,1,0.30000000000000004,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.9,0.01,linear,1,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,0.01,linear,1,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,0.01,linear,1,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,0.01,linear,1,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.9,0.01,linear,1,0.8,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,1,0.9,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,2,0.1,0.65,0.2857142857142857,0.8888888888888888,0.43243243243243246,0.35552856456843185
0.9,0.01,linear,2,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.9,0.01,linear,2,0.30000000000000004,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
0.9,0.01,linear,2,0.4,0.8166666666666667,0.25,0.1111111111111111,0.15384615384615385,0.07484811885651198
0.9,0.01,linear,2,0.5,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,0.01,linear,2,0.6,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,0.01,linear,2,0.7000000000000001,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,0.01,linear,2,0.8,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,0.01,linear,2,0.9,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
0.9,0.01,linear,3,0.1,0.26666666666666666,0.16981132075471697,1.0,0.2903225806451613,0.1526677313056691
0.9,0.01,linear,3,0.2,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.4,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.5,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.6,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.8,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,3,0.9,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,4,0.1,0.3333333333333333,0.1836734693877551,1.0,0.3103448275862069,0.19903729886263882
0.9,0.01,linear,4,0.2,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
0.9,0.01,linear,4,0.30000000000000004,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.9,0.01,linear,4,0.4,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,4,0.5,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,4,0.6,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,4,0.8,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,4,0.9,0.85,1.0,0.0,0.0,0.0
0.9,0.01,linear,5,0.1,0.2033898305084746,0.14814814814814814,0.8888888888888888,0.25396825396825395,-0.040164271738447284
0.9,0.01,linear,5,0.2,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.9,0.01,linear,5,0.30000000000000004,0.847457627118644,1.0,0.0,0.0,0.0
0.9,0.01,linear,5,0.4,0.847457627118644,1.0,0.0,0.0,0.0
0.9,0.01,linear,5,0.5,0.847457627118644,1.0,0.0,0.0,0.0
0.9,0.01,linear,5,0.6,0.847457627118644,1.0,0.0,0.0,0.0
0.9,0.01,linear,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
