n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
150,3,uniform,euclidean,0.8053841500302481,0.4415801381281258,0.6222222222222222,0.5032561865379204,0.4079807031202508
180,3,uniform,euclidean,0.8088929219600726,0.4473730517848165,0.5999999999999999,0.5002422414187121,0.4029103587383629
200,3,uniform,euclidean,0.8088929219600726,0.4504690270170147,0.6222222222222222,0.5079345491110198,0.414784539927306
220,3,uniform,euclidean,0.8019963702359346,0.43289592760180995,0.6222222222222222,0.49795032553653246,0.40161617676320127
150,3,distance,euclidean,0.8331518451300666,0.5179084967320262,0.6222222222222222,0.5442002442002443,0.46321314929283225
180,3,distance,euclidean,0.8401693889897157,0.5409523809523809,0.5999999999999999,0.5476190476190477,0.46863213591509834
200,3,distance,euclidean,0.8401693889897157,0.5433053221288515,0.6222222222222222,0.5553113553113553,0.4800244362164272
220,3,distance,euclidean,0.8367211131276466,0.5194957983193278,0.6222222222222222,0.546978021978022,0.46719819823986
150,5,uniform,euclidean,0.767513611615245,0.3656314699792961,0.5777777777777777,0.43192719116632156,0.3231676883325483
180,5,uniform,euclidean,0.781427707199032,0.3778571428571429,0.5555555555555555,0.43914658769686366,0.32873451167271744
200,5,uniform,euclidean,0.7849364791288566,0.39618702553485163,0.5777777777777777,0.4517367149758454,0.35046294074827367
220,5,uniform,euclidean,0.767513611615245,0.3607142857142857,0.5777777777777777,0.43197502242003527,0.321266918243152
150,5,distance,euclidean,0.8021778584392015,0.4473076923076923,0.5999999999999999,0.48930143540669857,0.3968401250160179
180,5,distance,euclidean,0.8196007259528131,0.47634470792365524,0.5777777777777777,0.503896103896104,0.4134627958213515
200,5,distance,euclidean,0.8231094978826377,0.5113553113553113,0.5999999999999999,0.5201054018445322,0.4415423263992155
220,5,distance,euclidean,0.805686630369026,0.44483294483294483,0.5999999999999999,0.4926502047119158,0.39934351873325125
150,7,uniform,euclidean,0.7606170598911071,0.3738095238095238,0.5777777777777777,0.4329205094422486,0.3217965941663279
180,7,uniform,euclidean,0.7606170598911071,0.3508592132505176,0.5333333333333333,0.4136265375715504,0.2907091199234677
200,7,uniform,euclidean,0.7606775559588627,0.3597807818779685,0.5333333333333333,0.4140182186234818,0.29476411785022016
220,7,uniform,euclidean,0.757047791893527,0.35384098254686497,0.5777777777777777,0.4223879062114356,0.31032653928757387
150,7,distance,euclidean,0.8022383545069569,0.4515501165501165,0.5999999999999999,0.4945161964472309,0.39905093796105223
180,7,distance,euclidean,0.8022383545069571,0.4261358524516419,0.5555555555555556,0.472616925558102,0.3673647304663588
200,7,distance,euclidean,0.8022988505747127,0.4469172932330827,0.5555555555555556,0.47577639751552797,0.3762725830397536
220,7,distance,euclidean,0.8021778584392015,0.43555555555555553,0.5999999999999999,0.4865700483091787,0.3919685094863535
150,9,uniform,euclidean,0.7641863278886871,0.36495169082125606,0.6222222222222221,0.4521473127262601,0.3417611455489436
180,9,uniform,euclidean,0.7677555958862674,0.3670713344626388,0.5555555555555556,0.4363716356107661,0.3146514920314058
200,9,uniform,euclidean,0.7711433756805808,0.37230769230769234,0.5777777777777777,0.4437229437229437,0.32987978769609494
220,9,uniform,euclidean,0.7571082879612826,0.3549743589743589,0.6222222222222221,0.4434906338931107,0.33230300150126857
150,9,distance,euclidean,0.8092558983666063,0.4455821371610845,0.6444444444444444,0.5164985994397759,0.42314999316568735
180,9,distance,euclidean,0.8093163944343619,0.44291906923485874,0.5777777777777777,0.49467152730310626,0.39157363098022707
200,9,distance,euclidean,0.8162129461584996,0.47111111111111115,0.5999999999999999,0.512503272173437,0.4197508558277943
220,9,distance,euclidean,0.805686630369026,0.43809523809523815,0.6444444444444444,0.5104323468517842,0.4171267529077456
150,11,uniform,euclidean,0.7744706594071386,0.37458423929012163,0.5999999999999999,0.4556843156843158,0.34333620381724783
180,11,uniform,euclidean,0.7606775559588627,0.34825782912739434,0.5555555555555555,0.42201298701298706,0.30017436695686767
200,11,uniform,euclidean,0.7606170598911071,0.3519706210243295,0.5999999999999999,0.43781635031635036,0.32259261270654355
220,11,uniform,euclidean,0.7605565638233515,0.35734392419175026,0.6222222222222222,0.4487813852813852,0.33550932254519533
150,11,distance,euclidean,0.8263762855414398,0.47318181818181815,0.6222222222222221,0.5301176470588236,0.4387393842189633
180,11,distance,euclidean,0.798790078644888,0.4141258741258741,0.5777777777777777,0.4760600560963537,0.3698557389293648
200,11,distance,euclidean,0.798790078644888,0.41238095238095235,0.5999999999999999,0.4803879263375831,0.3792037133354149
220,11,distance,euclidean,0.798790078644888,0.41571428571428565,0.6222222222222222,0.49141549525988887,0.3912453338494077
150,3,uniform,cosine,0.8437386569872958,0.5282828282828282,0.6222222222222222,0.5528042328042327,0.4764656952252018
180,3,uniform,cosine,0.8611010284331518,0.5696732026143791,0.6222222222222222,0.5782816014394961,0.5092057040024102
200,3,uniform,cosine,0.8576527525710829,0.5587641117052882,0.6222222222222222,0.571965811965812,0.5013482991668305
220,3,uniform,cosine,0.8472474289171202,0.5255988455988455,0.6222222222222222,0.5560623781676413,0.4787546850475102
150,3,distance,cosine,0.8645493042952207,0.5966666666666667,0.6222222222222222,0.5872917588087867,0.5225387588086617
180,3,distance,cosine,0.8819116757410768,0.6442857142857144,0.6222222222222222,0.615026056189066,0.5582950783846247
200,3,distance,cosine,0.8784633998790078,0.6333766233766234,0.6222222222222222,0.6087102667153819,0.550437673549045
220,3,distance,cosine,0.8680580762250452,0.5879797979797979,0.6222222222222222,0.5900653594771242,0.5229223673167859
150,5,uniform,cosine,0.8159104658197218,0.46967698967698973,0.6222222222222222,0.5140865930671028,0.4278811222020765
180,5,uniform,cosine,0.8402298850574713,0.5157256778309409,0.6222222222222222,0.5451629072681704,0.46798040846166594
200,5,uniform,cosine,0.8298850574712642,0.49861471861471857,0.6222222222222222,0.5318295739348371,0.45241866547304443
220,5,uniform,cosine,0.8194192377495462,0.4818181818181818,0.6222222222222222,0.5203686635944701,0.43691761650314725
150,5,distance,cosine,0.8610405323653962,0.5918181818181818,0.6222222222222222,0.5834621848739496,0.5176681190709351
180,5,distance,cosine,0.8749546279491833,0.6255555555555554,0.6222222222222222,0.6040001965698559,0.544208849113394
200,5,distance,cosine,0.8680580762250454,0.607979797979798,0.6222222222222222,0.5923510737628386,0.530541021875011
220,5,distance,cosine,0.8611010284331518,0.5932085561497326,0.6222222222222222,0.5827496342666622,0.5183628707794264
150,7,uniform,cosine,0.7812462189957652,0.3875457875457876,0.5999999999999999,0.454973649538867,0.35434875862768955
180,7,uniform,cosine,0.7986085904416214,0.4168179646440516,0.5999999999999999,0.47629870129870133,0.3810593297502727
200,7,uniform,cosine,0.7882032667876587,0.39853479853479856,0.5999999999999999,0.4628787878787879,0.36477721732215873
