n_components,n_estimators,max_depth,learning_rate,accuracy,precision,recall,f1,mcc
150,100,3,0.01,0.8646098003629763,0.5857142857142857,0.5111111111111111,0.5360349402919062,0.46528041937143794
150,150,3,0.01,0.8749546279491834,0.6290476190476191,0.5111111111111111,0.5579131652661065,0.49349199786251957
150,200,3,0.01,0.8854204476709014,0.6900000000000001,0.5333333333333334,0.58662181471779,0.5364989405525913
150,100,5,0.01,0.8473684210526315,0.5309523809523808,0.4222222222222222,0.4619047619047619,0.3837597605825125
150,150,5,0.01,0.8577132486388385,0.5503968253968253,0.4444444444444445,0.4887581699346405,0.41260434075955477
150,200,5,0.01,0.8786448880822746,0.6877777777777778,0.4666666666666666,0.5429835523953171,0.4957380554176233
150,100,7,0.01,0.8646098003629763,0.5999999999999999,0.4666666666666666,0.5202631578947369,0.45071749802723937
150,150,7,0.01,0.8820326678765881,0.687857142857143,0.4666666666666666,0.5512184873949579,0.5013061009740325
150,200,7,0.01,0.8890502117362372,0.7678571428571429,0.4444444444444445,0.5503393665158371,0.5238472174763283
150,100,10,0.01,0.8715063520871142,0.6083333333333333,0.5111111111111111,0.5516357069143447,0.4825187456186087
150,150,10,0.01,0.8889292196007259,0.6834126984126984,0.5333333333333332,0.5924883286647992,0.5392953561301811
150,200,10,0.01,0.895946763460375,0.7805555555555556,0.48888888888888893,0.5808949220713926,0.556819374246079
150,100,3,0.1,0.9062915910465819,0.8,0.5555555555555556,0.6445112781954887,0.6130161625061621
150,150,3,0.1,0.9096793708408952,0.8128571428571428,0.5555555555555556,0.6428716020821283,0.6188424122558371
150,200,3,0.1,0.9096793708408955,0.803968253968254,0.5555555555555556,0.6446092796092796,0.6165315149378331
150,100,5,0.1,0.8924379915305505,0.7672727272727272,0.48888888888888893,0.5773626373626373,0.5495583458530844
150,150,5,0.1,0.8993345432546883,0.7854545454545454,0.5111111111111111,0.5973626373626374,0.5738520323614134
150,200,5,0.1,0.9027828191167574,0.8054545454545454,0.5111111111111111,0.6017582417582418,0.5841550343613859
150,100,7,0.1,0.9061705989110708,0.9016666666666667,0.4666666666666666,0.5850522026992614,0.5925594299540655
150,150,7,0.1,0.9027223230490019,0.835,0.4666666666666666,0.5789915966386554,0.5703547729475082
150,200,7,0.1,0.9062310949788264,0.82,0.5111111111111111,0.6057836899942164,0.591907162306121
150,100,10,0.1,0.9027223230490019,0.835,0.4666666666666666,0.5789915966386554,0.5703547729475082
150,150,10,0.1,0.9061705989110708,0.9016666666666667,0.4666666666666666,0.5850522026992614,0.5925594299540655
150,200,10,0.1,0.9061705989110708,0.8866666666666667,0.4888888888888888,0.5887673729778993,0.5960897763881386
150,100,3,0.3,0.9200846944948579,0.9044444444444444,0.5555555555555556,0.6682539682539682,0.6623628618624797
150,150,3,0.3,0.9166364186327888,0.8806349206349207,0.5555555555555556,0.659920634920635,0.6495366238859124
150,200,3,0.3,0.9166364186327888,0.8806349206349207,0.5555555555555556,0.659920634920635,0.6495366238859124
150,100,5,0.3,0.9027828191167574,0.8266666666666668,0.4888888888888888,0.5863697705802969,0.5774198542005244
150,150,5,0.3,0.9062915910465821,0.8266666666666668,0.5111111111111111,0.60944669365722,0.595441897125064
150,200,5,0.3,0.9062915910465821,0.8266666666666668,0.5111111111111111,0.60944669365722,0.595441897125064
150,100,7,0.3,0.9027223230490018,0.8055555555555556,0.5111111111111111,0.610940170940171,0.5866669939147011
150,150,7,0.3,0.9027223230490018,0.8055555555555556,0.5111111111111111,0.610940170940171,0.5866669939147011
150,200,7,0.3,0.9027223230490018,0.8055555555555556,0.5111111111111111,0.610940170940171,0.5866669939147011
150,100,10,0.3,0.8992740471869329,0.8714285714285716,0.4444444444444445,0.553076923076923,0.5553156313191853
150,150,10,0.3,0.8992740471869329,0.8714285714285716,0.4444444444444445,0.553076923076923,0.5553156313191853
150,200,10,0.3,0.8992740471869329,0.8714285714285716,0.4444444444444445,0.553076923076923,0.5553156313191853
150,100,3,0.5,0.9096188747731399,0.8183333333333334,0.5555555555555556,0.6499116569704804,0.6224817417721233
150,150,3,0.5,0.9096188747731399,0.8183333333333334,0.5555555555555556,0.6499116569704804,0.6224817417721233
150,200,3,0.5,0.9096188747731399,0.8183333333333334,0.5555555555555556,0.6499116569704804,0.6224817417721233
150,100,5,0.5,0.8958257713248639,0.718073593073593,0.5777777777777778,0.6271708683473389,0.5807559815657152
150,150,5,0.5,0.8958257713248639,0.718073593073593,0.5777777777777778,0.6271708683473389,0.5807559815657152
150,200,5,0.5,0.8958257713248639,0.718073593073593,0.5777777777777778,0.6271708683473389,0.5807559815657152
150,100,7,0.5,0.8959467634603749,0.740952380952381,0.4666666666666667,0.5654761904761905,0.5334901147844129
150,150,7,0.5,0.8959467634603749,0.740952380952381,0.4666666666666667,0.5654761904761905,0.5334901147844129
150,200,7,0.5,0.8959467634603749,0.740952380952381,0.4666666666666667,0.5654761904761905,0.5334901147844129
150,100,10,0.5,0.8958862673926195,0.7445238095238095,0.4666666666666667,0.5604018530489119,0.5325477790751297
150,150,10,0.5,0.8958862673926195,0.7445238095238095,0.4666666666666667,0.5604018530489119,0.5325477790751297
150,200,10,0.5,0.8958862673926195,0.7445238095238095,0.4666666666666667,0.5604018530489119,0.5325477790751297
180,100,3,0.01,0.8645493042952207,0.591031746031746,0.4666666666666666,0.517250233426704,0.4467692871660801
180,150,3,0.01,0.8715063520871145,0.65,0.42222222222222217,0.5073076923076922,0.4532554085721582
180,200,3,0.01,0.8680580762250454,0.6457142857142857,0.3777777777777777,0.4692857142857143,0.42281452451034107
180,100,5,0.01,0.833393829401089,0.5057142857142857,0.4,0.4413157894736842,0.3514644973077806
180,150,5,0.01,0.8577737447065941,0.6242857142857143,0.4222222222222222,0.489684618786786,0.4289800447658525
180,200,5,0.01,0.868118572292801,0.6904761904761905,0.4,0.49693815987933637,0.4524051636871322
180,100,7,0.01,0.8334543254688447,0.5038888888888889,0.4,0.4415823873409012,0.350889829575054
180,150,7,0.01,0.864670296430732,0.6215873015873015,0.4222222222222222,0.4963492063492064,0.43574378888797316
180,200,7,0.01,0.8785238959467634,0.7238095238095237,0.4222222222222222,0.5244871794871795,0.48661494041342923
180,100,10,0.01,0.843738656987296,0.5431746031746032,0.4222222222222222,0.47099415204678363,0.38744493912728695
180,150,10,0.01,0.8716273442226254,0.6450000000000001,0.4444444444444445,0.521218487394958,0.46326562201572025
180,200,10,0.01,0.8750756200846945,0.6933333333333332,0.4222222222222222,0.519029304029304,0.4730673264408395
180,100,3,0.1,0.899092558983666,0.8333333333333333,0.4222222222222222,0.5541391941391942,0.5462717671270044
180,150,3,0.1,0.9095583787053843,0.9,0.4666666666666666,0.6024725274725276,0.6037361912994346
180,200,3,0.1,0.9165154264972777,0.9,0.5111111111111112,0.6387847446670977,0.6355345670424861
180,100,5,0.1,0.8888687235329703,0.8,0.4,0.5246153846153846,0.5106784767470984
180,150,5,0.1,0.8854204476709014,0.78,0.4,0.5202197802197801,0.5003754747471258
180,200,5,0.1,0.8888687235329703,0.78,0.4222222222222222,0.5399999999999999,0.516700422752957
180,100,7,0.1,0.8958257713248639,0.8314285714285715,0.42222222222222217,0.548901098901099,0.5405805947580355
