n_components,max_depth,min_samples_split,min_samples_leaf,criterion,dt__max_features,accuracy,precision,recall,f1,mcc
,10,5,2,gini,,0.965275257108288,0.9527777777777778,0.8222222222222222,0.8807189542483659,0.8650499347540881
,10,10,2,gini,,0.965275257108288,0.9527777777777778,0.8222222222222222,0.8807189542483659,0.8650499347540881
,10,5,5,gini,,0.9583787053841502,0.9242063492063493,0.7999999999999999,0.8557189542483659,0.8358003824468583
,10,10,5,gini,,0.9583787053841502,0.9242063492063493,0.7999999999999999,0.8557189542483659,0.8358003824468583
,10,5,2,gini,sqrt,0.8891712038717484,0.7505952380952381,0.6444444444444445,0.6578388278388279,0.6190786294720844
,10,10,2,gini,sqrt,0.8961282516636417,0.7454945054945055,0.6888888888888889,0.6697992510921573,0.639070817437971
,10,5,5,gini,sqrt,0.8784633998790078,0.6988795518207283,0.5777777777777777,0.5597236097236097,0.5396875984798495
,10,10,5,gini,sqrt,0.8784633998790078,0.6988795518207283,0.5777777777777777,0.5597236097236097,0.5396875984798495
,10,5,2,gini,log2,0.6396249243799154,0.3860652502031812,0.711111111111111,0.409286035601825,0.3085468026148011
,10,10,2,gini,log2,0.6500907441016335,0.3872967772967773,0.7555555555555555,0.4476315876315876,0.34304524684997995
,10,5,5,gini,log2,0.6359951603145796,0.29097626511419616,0.6888888888888889,0.39239991871570823,0.254139020078052
,10,10,5,gini,log2,0.6359951603145796,0.29097626511419616,0.6888888888888889,0.39239991871570823,0.254139020078052
,20,5,2,gini,,0.965275257108288,0.9527777777777778,0.8222222222222222,0.8807189542483659,0.8650499347540881
,20,10,2,gini,,0.965275257108288,0.9527777777777778,0.8222222222222222,0.8807189542483659,0.8650499347540881
,20,5,5,gini,,0.9583787053841502,0.9242063492063493,0.7999999999999999,0.8557189542483659,0.8358003824468583
,20,10,5,gini,,0.9583787053841502,0.9242063492063493,0.7999999999999999,0.8557189542483659,0.8358003824468583
,20,5,2,gini,sqrt,0.9133696309739868,0.7964285714285715,0.6888888888888889,0.7004201680672268,0.6765311456656047
,20,10,2,gini,sqrt,0.9029038112522686,0.7743589743589744,0.6666666666666667,0.6671277997364953,0.6453104957964712
,20,5,5,gini,sqrt,0.892377495462795,0.7283333333333333,0.6222222222222222,0.6213930548295873,0.5901325411304833
,20,10,5,gini,sqrt,0.892377495462795,0.7283333333333333,0.6222222222222222,0.6213930548295873,0.5901325411304833
,20,5,2,gini,log2,0.6250453720508167,0.26236658456486045,0.7777777777777778,0.39040977629796186,0.2753203855989021
,20,10,2,gini,log2,0.6284936479128856,0.26669061302681996,0.7777777777777778,0.39409585802397096,0.27978738001455944
,20,5,5,gini,log2,0.6465214761040533,0.29357366771159876,0.6666666666666666,0.393172119487909,0.2491716018606665
,20,10,5,gini,log2,0.6465214761040533,0.29357366771159876,0.6666666666666666,0.393172119487909,0.2491716018606665
,30,5,2,gini,,0.965275257108288,0.9527777777777778,0.8222222222222222,0.8807189542483659,0.8650499347540881
,30,10,2,gini,,0.965275257108288,0.9527777777777778,0.8222222222222222,0.8807189542483659,0.8650499347540881
,30,5,5,gini,,0.9583787053841502,0.9242063492063493,0.7999999999999999,0.8557189542483659,0.8358003824468583
,30,10,5,gini,,0.9583787053841502,0.9242063492063493,0.7999999999999999,0.8557189542483659,0.8358003824468583
,30,5,2,gini,sqrt,0.9133696309739868,0.7964285714285715,0.6888888888888889,0.7004201680672268,0.6765311456656047
,30,10,2,gini,sqrt,0.9029038112522686,0.7743589743589744,0.6666666666666667,0.6671277997364953,0.6453104957964712
