threshold,max_depth,min_samples_split,min_samples_leaf,criterion,max_features,accuracy,precision,recall,f1,mcc
0.2,10,10,5,gini,sqrt,,,,,0.4627279059875521
0.30000000000000004,10,10,5,gini,sqrt,,,,,0.4673751075253604
0.4,10,10,5,gini,sqrt,,,,,0.47222690095371983
0.5,10,10,5,gini,sqrt,,,,,0.5200361096873184
0.6,10,10,5,gini,sqrt,,,,,0.5646188912925629
0.7000000000000001,10,10,5,gini,sqrt,,,,,0.5993790598152906
0.8,10,10,5,gini,sqrt,,,,,0.6110343886134765
0.9,10,10,5,gini,sqrt,,,,,0.5931910522505113
0.1,10,5,2,gini,log2,,,,,0.18765485830894837
0.2,10,5,2,gini,log2,,,,,0.21770430607837174
0.30000000000000004,10,5,2,gini,log2,,,,,0.2336332687456014
0.4,10,5,2,gini,log2,,,,,0.22212451024023924
0.5,10,5,2,gini,log2,,,,,0.2773270405284402
0.6,10,5,2,gini,log2,,,,,0.3316099023689104
0.7000000000000001,10,5,2,gini,log2,,,,,0.3316099023689104
0.8,10,5,2,gini,log2,,,,,0.3316099023689104
0.9,10,5,2,gini,log2,,,,,0.3230771105936976
0.1,10,10,2,gini,log2,,,,,0.18765485830894837
0.2,10,10,2,gini,log2,,,,,0.21770430607837174
0.30000000000000004,10,10,2,gini,log2,,,,,0.23803194682719933
0.4,10,10,2,gini,log2,,,,,0.22212451024023924
0.5,10,10,2,gini,log2,,,,,0.2773270405284402
0.6,10,10,2,gini,log2,,,,,0.3348565063621631
0.7000000000000001,10,10,2,gini,log2,,,,,0.3348565063621631
0.8,10,10,2,gini,log2,,,,,0.3348565063621631
0.9,10,10,2,gini,log2,,,,,0.3231015497408765
0.1,10,5,5,gini,log2,,,,,0.15615572735905398
0.2,10,5,5,gini,log2,,,,,0.33368364365490355
0.30000000000000004,10,5,5,gini,log2,,,,,0.35923792480932565
0.4,10,5,5,gini,log2,,,,,0.3561599330631736
0.5,10,5,5,gini,log2,,,,,0.38167405224189166
0.6,10,5,5,gini,log2,,,,,0.3050043188493998
0.7000000000000001,10,5,5,gini,log2,,,,,0.32187375416604014
0.8,10,5,5,gini,log2,,,,,0.32187375416604014
0.9,10,5,5,gini,log2,,,,,0.2300417840654699
0.1,10,10,5,gini,log2,,,,,0.15615572735905398
0.2,10,10,5,gini,log2,,,,,0.33368364365490355
0.30000000000000004,10,10,5,gini,log2,,,,,0.35923792480932565
0.4,10,10,5,gini,log2,,,,,0.3561599330631736
0.5,10,10,5,gini,log2,,,,,0.38167405224189166
0.6,10,10,5,gini,log2,,,,,0.3050043188493998
0.7000000000000001,10,10,5,gini,log2,,,,,0.32187375416604014
0.8,10,10,5,gini,log2,,,,,0.32187375416604014
0.9,10,10,5,gini,log2,,,,,0.2300417840654699
0.1,20,5,2,gini,,,,,,0.8639675781078721
0.2,20,5,2,gini,,,,,,0.8639675781078721
0.30000000000000004,20,5,2,gini,,,,,,0.8639675781078721
0.4,20,5,2,gini,,,,,,0.8639675781078721
0.5,20,5,2,gini,,,,,,0.8639675781078721
0.6,20,5,2,gini,,,,,,0.8454298941250029
0.7000000000000001,20,5,2,gini,,,,,,0.8454298941250029
0.8,20,5,2,gini,,,,,,0.8454298941250029
0.9,20,5,2,gini,,,,,,0.8454298941250029
0.1,20,10,2,gini,,,,,,0.8639675781078721
0.2,20,10,2,gini,,,,,,0.8639675781078721
0.30000000000000004,20,10,2,gini,,,,,,0.8639675781078721
0.4,20,10,2,gini,,,,,,0.8639675781078721
0.5,20,10,2,gini,,,,,,0.8639675781078721
0.6,20,10,2,gini,,,,,,0.8454298941250029
0.7000000000000001,20,10,2,gini,,,,,,0.8454298941250029
0.8,20,10,2,gini,,,,,,0.8454298941250029
0.9,20,10,2,gini,,,,,,0.8454298941250029
0.1,20,5,5,gini,,,,,,0.7222736149628831
0.2,20,5,5,gini,,,,,,0.7222736149628831
0.30000000000000004,20,5,5,gini,,,,,,0.7809219925450825
0.4,20,5,5,gini,,,,,,0.8270246531237948
0.5,20,5,5,gini,,,,,,0.8243065870888483
0.6,20,5,5,gini,,,,,,0.8243065870888483
0.7000000000000001,20,5,5,gini,,,,,,0.8557363333726453
0.8,20,5,5,gini,,,,,,0.8557363333726453
0.9,20,5,5,gini,,,,,,0.8394113853668141
0.1,20,10,5,gini,,,,,,0.7222736149628831
0.2,20,10,5,gini,,,,,,0.7222736149628831
0.30000000000000004,20,10,5,gini,,,,,,0.7809219925450825
0.4,20,10,5,gini,,,,,,0.8270246531237948
0.5,20,10,5,gini,,,,,,0.8243065870888483
0.6,20,10,5,gini,,,,,,0.8243065870888483
0.7000000000000001,20,10,5,gini,,,,,,0.8557363333726453
0.8,20,10,5,gini,,,,,,0.8557363333726453
0.9,20,10,5,gini,,,,,,0.8394113853668141
0.1,20,5,2,gini,sqrt,,,,,0.5394448095342337
0.2,20,5,2,gini,sqrt,,,,,0.5527050185966789
0.30000000000000004,20,5,2,gini,sqrt,,,,,0.5576936955602323
0.4,20,5,2,gini,sqrt,,,,,0.5668975633578859
0.5,20,5,2,gini,sqrt,,,,,0.5668975633578859
0.6,20,5,2,gini,sqrt,,,,,0.5334411869599524
0.7000000000000001,20,5,2,gini,sqrt,,,,,0.541298591795532
0.8,20,5,2,gini,sqrt,,,,,0.541298591795532
0.9,20,5,2,gini,sqrt,,,,,0.541298591795532
0.1,20,10,2,gini,sqrt,,,,,0.46514316595844657
0.2,20,10,2,gini,sqrt,,,,,0.5121829199971497
0.30000000000000004,20,10,2,gini,sqrt,,,,,0.5385430868308976
0.4,20,10,2,gini,sqrt,,,,,0.4961632729322637
0.5,20,10,2,gini,sqrt,,,,,0.46746195710261523
0.6,20,10,2,gini,sqrt,,,,,0.5460832469361236
0.7000000000000001,20,10,2,gini,sqrt,,,,,0.5445829412560772
0.8,20,10,2,gini,sqrt,,,,,0.5612343101011003
0.9,20,10,2,gini,sqrt,,,,,0.49378735021562925
0.1,20,5,5,gini,sqrt,,,,,0.4091268229332316
0.2,20,5,5,gini,sqrt,,,,,0.42872116219768375
0.30000000000000004,20,5,5,gini,sqrt,,,,,0.4758187880851555
0.4,20,5,5,gini,sqrt,,,,,0.4815667811635727
0.5,20,5,5,gini,sqrt,,,,,0.4894711753026863
0.6,20,5,5,gini,sqrt,,,,,0.533917037449187
0.7000000000000001,20,5,5,gini,sqrt,,,,,0.5517417020651638
0.8,20,5,5,gini,sqrt,,,,,0.5517417020651638
0.9,20,5,5,gini,sqrt,,,,,0.553519246704903
0.1,20,10,5,gini,sqrt,,,,,0.4091268229332316
0.2,20,10,5,gini,sqrt,,,,,0.42872116219768375
0.30000000000000004,20,10,5,gini,sqrt,,,,,0.4758187880851555
0.4,20,10,5,gini,sqrt,,,,,0.4815667811635727
0.5,20,10,5,gini,sqrt,,,,,0.4894711753026863
0.6,20,10,5,gini,sqrt,,,,,0.533917037449187
0.7000000000000001,20,10,5,gini,sqrt,,,,,0.5517417020651638
0.8,20,10,5,gini,sqrt,,,,,0.5517417020651638
0.9,20,10,5,gini,sqrt,,,,,0.553519246704903
0.1,20,5,2,gini,log2,,,,,0.19340747490641813
0.2,20,5,2,gini,log2,,,,,0.30894703352403546
0.30000000000000004,20,5,2,gini,log2,,,,,0.32639480204139143
0.4,20,5,2,gini,log2,,,,,0.32639480204139143
0.5,20,5,2,gini,log2,,,,,0.4398046447144795
0.6,20,5,2,gini,log2,,,,,0.4725800343179952
0.7000000000000001,20,5,2,gini,log2,,,,,0.48559255559812675
0.8,20,5,2,gini,log2,,,,,0.3571874817260984
0.9,20,5,2,gini,log2,,,,,0.3677980913962571
0.1,20,10,2,gini,log2,,,,,0.18053660949184608
0.2,20,10,2,gini,log2,,,,,0.3179143487606153
0.30000000000000004,20,10,2,gini,log2,,,,,0.3085230077458936
0.4,20,10,2,gini,log2,,,,,0.3085230077458936
0.5,20,10,2,gini,log2,,,,,0.403700517553964
0.6,20,10,2,gini,log2,,,,,0.4783904567207985
0.7000000000000001,20,10,2,gini,log2,,,,,0.5046631870633752
0.8,20,10,2,gini,log2,,,,,0.5024646054736237
0.9,20,10,2,gini,log2,,,,,0.5192401518545033
0.1,20,5,5,gini,log2,,,,,0.2071375833421413
0.2,20,5,5,gini,log2,,,,,0.35904642843262136
0.30000000000000004,20,5,5,gini,log2,,,,,0.41052773000774606
0.4,20,5,5,gini,log2,,,,,0.41052773000774606
0.5,20,5,5,gini,log2,,,,,0.43296385744031207
0.6,20,5,5,gini,log2,,,,,0.40958890308547247
0.7000000000000001,20,5,5,gini,log2,,,,,0.4264583384021128
0.8,20,5,5,gini,log2,,,,,0.3476973270609364
0.9,20,5,5,gini,log2,,,,,0.3394085145499455
0.1,20,10,5,gini,log2,,,,,0.2071375833421413
0.2,20,10,5,gini,log2,,,,,0.35904642843262136
0.30000000000000004,20,10,5,gini,log2,,,,,0.41052773000774606
0.4,20,10,5,gini,log2,,,,,0.41052773000774606
0.5,20,10,5,gini,log2,,,,,0.43296385744031207
0.6,20,10,5,gini,log2,,,,,0.40958890308547247
0.7000000000000001,20,10,5,gini,log2,,,,,0.4264583384021128
0.8,20,10,5,gini,log2,,,,,0.3476973270609364
0.9,20,10,5,gini,log2,,,,,0.3394085145499455
