n_neighbors,metric,accuracy,precision,recall,f1,preparationTime
3,cosine,0.7450292397660818,0.7748917748917749,0.7044444444444444,0.7316236670106638,0.0019186723404074771
5,cosine,0.7444444444444445,0.7956349206349207,0.6622222222222222,0.718610251117991,0.0019186723404074771
7,cosine,0.7456140350877194,0.8198412698412699,0.6422222222222221,0.7155555555555557,0.0019186723404074771
3,euclidean,0.7023391812865498,0.9083333333333332,0.47555555555555556,0.5973066149536738,0.0019186723404074771
5,euclidean,0.691812865497076,0.9083333333333332,0.45111111111111113,0.5800904977375565,0.0019186723404074771
7,euclidean,0.6491228070175439,0.8547619047619047,0.3866666666666666,0.5089743589743589,0.0019186723404074771
