max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1
10,2,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255
10,5,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255
10,2,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873
10,5,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873
30,2,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255
30,5,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255
30,2,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873
30,5,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873
50,2,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255
50,5,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255
50,2,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873
50,5,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873
10,2,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939
10,5,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939
10,2,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559
10,5,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559
30,2,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939
30,5,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939
30,2,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559
30,5,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559
50,2,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939
50,5,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939
50,2,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559
50,5,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559
