alpha,accuracy,precision,recall,f1
0.001,0.9064309764309764,0.7825396825396825,0.5111111111111111,0.6117620650953984
0.01,0.9097306397306397,0.8087912087912087,0.5333333333333333,0.6332467532467533
0.1,0.9063636363636364,0.7904761904761904,0.5333333333333333,0.6250365726227796
1.0,0.9097306397306397,0.7785353535353535,0.5777777777777778,0.6524712002972871
10.0,0.8829966329966329,0.6131221719457014,0.6222222222222222,0.6154953917050692
