Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
equal KNN,5-fold,0.9444444444444444,0.9,1.0,0.9473684210526316,0.8944271909999159,"{'n_neighbors': 15, 'weights': 'distance', 'algorithm': 'auto', 'leaf_size': 30, 'p': 2, 'threshold': 0.4, 'fold': 3}"
equal SVM,5-fold,0.8421052631578947,0.8,0.8888888888888888,0.8421052631578947,0.6888888888888889,"{'C': 100.0, 'kernel': 'rbf', 'threshold': 0.4, 'fold': 3}"
equal Naive Bayes,5-fold,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,"{'alpha': 0.001, 'threshold': 0.1, 'fold': 3}"
equal XGBoost,5-fold,1.0,1.0,1.0,1.0,1.0,"{'eta': 0.3, 'max_depth': 5.0, 'n_estimators': 100.0, 'threshold': 0.3, 'fold': 3}"
equal Random Forest,5-fold,1.0,1.0,1.0,1.0,1.0,"{'n_estimators': 50, 'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'threshold': 0.5, 'fold': 4}"
equal Decision Tree,5-fold,0.9642857142857144,0.9473684210526316,1.0,0.972972972972973,0.9233805168766386,"{'criterion': 'entropy', 'max_depth': 10.0, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2', 'threshold': 0.5, 'fold': 4}"
