pca__n_components,xgb__n_estimators,xgb__max_depth,xgb__learning_rate,threshold,accuracy,precision,recall,f1,mcc
150,100,3,0.5,0.1,0.8406533575317605,0.5270161977834612,0.8444444444444444,0.6371120107962213,0.5794820648815152
150,100,3,0.5,0.2,0.8788263762855413,0.6268099547511312,0.7333333333333333,0.6614951611855637,0.6030750704417529
150,100,3,0.5,0.30000000000000004,0.8891107078039926,0.669965034965035,0.6666666666666666,0.6515274818061195,0.5974587769439342
150,100,3,0.5,0.4,0.8891107078039926,0.6802020202020203,0.6,0.6277497665732958,0.5710221592787903
150,100,3,0.5,0.5,0.8925589836660617,0.736111111111111,0.5555555555555556,0.611111111111111,0.570195066267424
150,100,3,0.5,0.6,0.8821536600120992,0.7476190476190476,0.4444444444444445,0.5436414565826331,0.5094386532164289
150,100,3,0.5,0.7000000000000001,0.8821536600120992,0.7485714285714286,0.4222222222222222,0.5285714285714286,0.4979297951144569
150,100,3,0.5,0.8,0.8958862673926195,0.8933333333333333,0.39999999999999997,0.544029304029304,0.5501213099134206
150,100,3,0.5,0.9,0.9062310949788264,1.0,0.39999999999999997,0.5692307692307692,0.5987654751987279
