Model,Best Accuracy,Best Precision,Best Recall,Best F1 Score
Decision Tree,0.9564863322490441,0.9091239316239315,0.7888888888888889,0.8394285578720297
KNN,0.8363119899560578,0.4797783389450056,0.6444444444444444,0.5435216308745721
Naive Bayes,0.9130574102608001,0.7867676767676768,0.5777777777777778,0.6556877656302209
Random Forest,0.946418992181704,0.8390873015873015,0.7999999999999999,0.8178893396439034
SVM,0.9029378531073448,0.7247474747474746,0.5777777777777777,0.6234188034188035
XGBoost,0.9681980825201165,1.0,0.7888888888888891,0.8754472401987615
