C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
0.01,linear,0.7555555555555555,0.7764285714285715,0.711111111111111,0.7394736842105263,0.5164528124096002,0.02851589444455587
0.01,rbf,0.5666666666666667,0.5917948717948718,0.31111111111111106,0.316017316017316,0.13014879619978076,0.02851599999994505
0.01,poly,0.5111111111111111,1.0,0.02222222222222222,0.04,0.048507125007266595,0.028516054444480687
0.01,sigmoid,0.5222222222222221,0.6258823529411764,0.28888888888888886,0.2641758241758242,0.07331407192510828,0.02851610000005975
0.1,linear,0.7555555555555555,0.7764285714285715,0.711111111111111,0.7394736842105263,0.5164528124096002,0.028516154444595383
0.1,rbf,0.5666666666666667,0.5917948717948718,0.31111111111111106,0.316017316017316,0.13014879619978076,0.028516198889054874
0.1,poly,0.5111111111111111,0.9,0.04444444444444444,0.07636363636363637,0.048507125007266595,0.028516244444633937
0.1,sigmoid,0.5222222222222221,0.6258823529411764,0.28888888888888886,0.2641758241758242,0.07331407192510828,0.028516316666759342
1.0,linear,0.7555555555555555,0.7764285714285715,0.711111111111111,0.7394736842105263,0.5164528124096002,0.02851637111129498
1.0,rbf,0.5777777777777777,0.6533333333333333,0.3555555555555555,0.4087246087246088,0.18979852919470278,0.028516418889113184
1.0,poly,0.5,0.7,0.04444444444444444,0.07636363636363637,0.0,0.028516464444692247
1.0,sigmoid,0.6,0.67,0.4222222222222222,0.46328671328671334,0.24979946424744623,0.02851650777770879
10.0,linear,0.7555555555555555,0.7764285714285715,0.711111111111111,0.7394736842105263,0.5164528124096002,0.02851654777801337
10.0,rbf,0.7222222222222223,0.8049999999999999,0.5777777777777777,0.6658823529411764,0.46425594165865525,0.028516593333269055
10.0,poly,0.48888888888888893,0.5,0.24444444444444446,0.2259020979020979,-0.048507125007266595,0.028516637777728546
10.0,sigmoid,0.5777777777777778,0.582857142857143,0.6,0.5712406015037593,0.18262601189361605,0.028516681111068466
100.0,linear,0.7555555555555555,0.7764285714285715,0.711111111111111,0.7394736842105263,0.5164528124096002,0.02851672222216924
100.0,rbf,0.8,0.8220634920634919,0.7555555555555555,0.7834279325765394,0.606220635190951,0.02851676555550916
100.0,poly,0.5555555555555556,0.5866666666666667,0.22222222222222224,0.2790476190476191,0.0879069384478874,0.028516806666609936
100.0,sigmoid,0.5666666666666667,0.5743722943722943,0.5111111111111111,0.5288095238095238,0.13629408162089943,0.028516851111069424
