learning_rate,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
0.01,3,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.1671293899999
0.01,3,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.16712954222198784
0.01,3,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.16712963222202637
0.01,3,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.16712970888863007
0.01,5,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.16712978999971206
0.01,5,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.16712986666663912
0.01,5,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.16712994222212324
0.01,5,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.1671300211109661
0.01,7,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.1671300966664502
0.01,7,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.16713017222193433
0.01,7,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.16713025111110053
0.01,7,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.1671303244443455
0.01,10,50,0.8333333333333334,0.8745098039215686,0.8000000000000002,0.8250000000000001,0.6823489515274971,0.16713040222206876
0.01,10,100,0.8444444444444446,0.8935574229691876,0.8000000000000002,0.8341954022988506,0.7050666531211841,0.16713047888867247
0.01,10,200,0.8888888888888888,0.9369747899159663,0.8444444444444444,0.8780172413793105,0.794455046373009,0.16713055999975446
0.01,10,300,0.8666666666666667,0.9163398692810457,0.8222222222222223,0.8513888888888889,0.7541538787455057,0.16713063666668151
0.1,3,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.16713071111104608
0.1,3,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.16713079444436718
0.1,3,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713087111097089
0.1,3,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.1671309511109333
0.1,5,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.16713102888865655
0.1,5,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.16713110333334447
0.1,5,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713117555546989
0.1,5,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.1671312544443127
0.1,7,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.16713133333315555
0.1,7,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.1671314122219984
0.1,7,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713149111084122
0.1,7,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713156888888786
0.1,10,50,0.8555555555555556,0.9,0.8222222222222223,0.841919191919192,0.7348278616563455,0.1671316511110894
0.1,10,100,0.8666666666666667,0.9,0.8444444444444444,0.8585858585858586,0.7523122318158689,0.16713172666657353
0.1,10,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713180777765552
0.1,10,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713188555537878
0.3,3,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713196555534118
0.3,3,100,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.1671320455553036
0.3,3,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713212444446982
0.3,3,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.1671322011110735
0.3,5,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713227999991634
0.3,5,100,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713235999987874
0.3,5,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.1671324388887216
0.3,5,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.1671325177775644
0.3,7,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713259666640726
0.3,7,100,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713267777748925
0.3,7,200,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.167132757777775
0.3,7,300,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713283777773744
0.3,10,50,0.8666666666666667,0.9138888888888889,0.8222222222222223,0.8566308243727598,0.7474079467523845,0.16713291666658026
