pca__n_components,rf__n_estimators,rf__criterion,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.9,10,entropy,10,2,1,0.1,0.5385310734463277,0.07635133892641043,0.22063329238329238,0.0535701142332693,0.8222222222222222,0.23040490392586357,0.34675367495884885,0.08636910747721459,0.22559024543205494,0.16066382380365804
0.9,10,entropy,10,2,1,0.2,0.7223728813559323,0.048230440890756045,0.2901120448179272,0.05760199598168861,0.5777777777777777,0.14487116456005883,0.38330083210143184,0.07671422719889542,0.2550570216121688,0.1000063065731897
0.9,10,entropy,10,2,1,0.30000000000000004,0.8661581920903954,0.03366883252746739,0.5805555555555555,0.15602607411092909,0.4444444444444445,0.13608276348795434,0.4955253896430367,0.13819990448032415,0.43023230362537135,0.14949932606342636
0.9,10,entropy,10,2,1,0.4,0.86954802259887,0.032133559933132,0.6222222222222222,0.1541604102834623,0.4222222222222222,0.12171612389003693,0.489673202614379,0.12256113229899696,0.4364115243277191,0.12710830551857027
0.9,10,entropy,10,2,1,0.5,0.8795480225988701,0.034391190701883595,0.7,0.2173067468400883,0.3555555555555555,0.14487116456005888,0.46461538461538465,0.16552270124829963,0.4387557235377389,0.1830782236246908
0.9,10,entropy,10,2,1,0.6,0.8761581920903956,0.019907339052958033,0.82,0.24899799195977468,0.2444444444444444,0.09296222517045284,0.3675324675324675,0.11810329916248995,0.3982410091941263,0.13529944811741476
0.9,10,entropy,10,2,1,0.7000000000000001,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,10,2,1,0.8,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,10,2,1,0.9,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
0.9,10,entropy,10,2,2,0.1,0.5519209039548023,0.01939754630305288,0.21176135692264725,0.0157856522914988,0.7333333333333333,0.12668615834434863,0.32807525807525806,0.03155491458669747,0.18207855035210535,0.06411373472665358
0.9,10,entropy,10,2,2,0.2,0.762542372881356,0.054486319175600116,0.3310868079289132,0.10947629051028625,0.5555555555555556,0.2078698548207745,0.40921824801884765,0.13087245910130255,0.29257920089190226,0.16529450097266746
0.9,10,entropy,10,2,2,0.30000000000000004,0.8494350282485875,0.05674135087822723,0.5238888888888888,0.26732846120987475,0.4222222222222222,0.16480441082434807,0.4608305076416531,0.19949469040580778,0.38191863532771647,0.23627434421091048
0.9,10,entropy,10,2,2,0.4,0.8662146892655368,0.042503846571942366,0.6283333333333333,0.2350827277553349,0.3555555555555555,0.12171612389003693,0.4458263305322129,0.15471792979554158,0.40051448931264577,0.18361242037680714
0.9,10,entropy,10,2,2,0.5,0.876271186440678,0.03829377114059349,0.78,0.30331501776206204,0.31111111111111106,0.14487116456005888,0.4254545454545455,0.1667645746041133,0.4278253711378047,0.18816876695455692
0.9,10,entropy,10,2,2,0.6,0.862824858757062,0.03234222723149601,0.72,0.4381780460041329,0.17777777777777776,0.16850834320114555,0.2584415584415584,0.24080317621344066,0.25802693126921306,0.2789393509440553
0.9,10,entropy,10,2,2,0.7000000000000001,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,10,2,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
0.9,10,entropy,10,2,2,0.9,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
0.9,10,entropy,10,5,1,0.1,0.5515819209039547,0.06424476599837299,0.21337622610981902,0.056963897874123724,0.7333333333333333,0.18592445034090566,0.3304394193739508,0.0868709624761994,0.18081921760504358,0.16063201536271485
0.9,10,entropy,10,5,1,0.2,0.7488700564971752,0.06094268602746313,0.3191036414565826,0.10444957110859647,0.5777777777777777,0.18257418583505536,0.41016350798959494,0.13077309965976874,0.28725700307589636,0.17413814534274838
0.9,10,entropy,10,5,1,0.30000000000000004,0.8562146892655367,0.04933727219123347,0.553044733044733,0.19050181296028965,0.4666666666666666,0.12171612389003691,0.49872082166199816,0.14278071559775243,0.4225516257921901,0.17089680588945144
0.9,10,entropy,10,5,1,0.4,0.8628813559322033,0.04146657885255465,0.5793650793650793,0.18167497051205705,0.37777777777777777,0.18592445034090566,0.44209401709401713,0.17972613316518157,0.38851650727689424,0.1882939442211232
0.9,10,entropy,10,5,1,0.5,0.8829378531073446,0.02888105531969139,0.780952380952381,0.2037071393924518,0.3333333333333333,0.15713484026367724,0.44891774891774894,0.16357107197381945,0.45041679187591177,0.1581691374982276
0.9,10,entropy,10,5,1,0.6,0.8762146892655368,0.025518811527435944,0.8333333333333333,0.23570226039551584,0.26666666666666666,0.12668615834434865,0.3824708624708625,0.15051655866202301,0.4092862150177609,0.13722355206034573
0.9,10,entropy,10,5,1,0.7000000000000001,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,10,5,1,0.8,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,10,5,1,0.9,0.8561581920903955,0.009648867372810744,1.0,0.0,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103323,0.12396463866126532,0.1697455723193801
0.9,10,entropy,10,5,2,0.1,0.5652542372881356,0.0435381212741854,0.22554487179487182,0.03198623206551293,0.7777777777777778,0.13608276348795434,0.349171966245137,0.05114905059275892,0.21916209084391305,0.09445221473156709
0.9,10,entropy,10,5,2,0.2,0.762316384180791,0.045025537066846116,0.34586601307189546,0.08887040699585377,0.6666666666666667,0.19245008972987526,0.45456312014932704,0.12030891527298575,0.3507989035238759,0.1602913097283213
0.9,10,entropy,10,5,2,0.30000000000000004,0.8494915254237287,0.05001292564901166,0.5178932178932178,0.1992990826676304,0.4666666666666667,0.14487116456005886,0.4855555555555555,0.1599382596928585,0.40221359783265687,0.1901703791749179
0.9,10,entropy,10,5,2,0.4,0.8796610169491526,0.04607075302065642,0.7,0.2784798384231133,0.4444444444444445,0.13608276348795434,0.5291176470588235,0.15988344586909484,0.487190142286481,0.19535405268289316
0.9,10,entropy,10,5,2,0.5,0.8796045197740113,0.03975952323442986,0.7457142857142858,0.27075103406816303,0.3333333333333333,0.17568209223157663,0.4412337662337662,0.2056773977323036,0.43473108075668876,0.21206889404969112
0.9,10,entropy,10,5,2,0.6,0.8762146892655368,0.0304792965724371,0.8,0.27386127875258304,0.2444444444444444,0.14487116456005886,0.360979020979021,0.19032955916639424,0.38716123529366014,0.19434620744729506
0.9,10,entropy,10,5,2,0.7000000000000001,0.862824858757062,0.014583769367361403,1.0,0.0,0.08888888888888888,0.09296222517045283,0.15272727272727274,0.15459892123259142,0.21237330313496378,0.2012340645296694
0.9,10,entropy,10,5,2,0.8,0.8594915254237288,0.009865998667833114,1.0,0.0,0.06666666666666667,0.06085806194501846,0.12000000000000002,0.10954451150103323,0.18594695799189798,0.16974557231938012
0.9,10,entropy,10,5,2,0.9,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
0.9,10,entropy,30,2,1,0.1,0.541864406779661,0.08084684567077416,0.22244780851232465,0.05622450059383796,0.8222222222222222,0.23040490392586357,0.34894879691006836,0.08938724299225613,0.228261123277345,0.1642134080827248
0.9,10,entropy,30,2,1,0.2,0.7257627118644068,0.04790172558068449,0.30058823529411766,0.04336836486572315,0.6,0.09938079899999062,0.3977935857246202,0.04999356684437397,0.27296597193090993,0.06688713590306741
0.9,10,entropy,30,2,1,0.30000000000000004,0.8728813559322035,0.0346842733668388,0.6317460317460317,0.15898788600454916,0.4444444444444445,0.13608276348795434,0.5080065359477124,0.13675845871677014,0.4548120782833882,0.1412841700845952
0.9,10,entropy,30,2,1,0.4,0.8728813559322035,0.0346842733668388,0.6317460317460317,0.15898788600454916,0.4444444444444445,0.13608276348795434,0.5080065359477124,0.13675845871677014,0.4548120782833882,0.1412841700845952
0.9,10,entropy,30,2,1,0.5,0.8795480225988701,0.034391190701883595,0.7,0.2173067468400883,0.3555555555555555,0.14487116456005888,0.46461538461538465,0.16552270124829963,0.4387557235377389,0.1830782236246908
0.9,10,entropy,30,2,1,0.6,0.8761581920903956,0.019907339052958033,0.82,0.24899799195977468,0.2444444444444444,0.09296222517045284,0.3675324675324675,0.11810329916248995,0.3982410091941263,0.13529944811741476
0.9,10,entropy,30,2,1,0.7000000000000001,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,30,2,1,0.8,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,30,2,1,0.9,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
0.9,10,entropy,30,2,2,0.1,0.5619209039548023,0.03902161770292802,0.21670953567505294,0.02151419330766762,0.7333333333333333,0.12668615834434863,0.3337542053331527,0.03569789309236629,0.19086220251050376,0.0675150739349414
0.9,10,entropy,30,2,2,0.2,0.7658757062146893,0.05140055428759352,0.3377534745955798,0.10811645083257648,0.5777777777777777,0.22771001702132443,0.41979296066252586,0.13344537362750863,0.308522157114815,0.1696205383716018
0.9,10,entropy,30,2,2,0.30000000000000004,0.8494350282485875,0.05674135087822723,0.5238888888888888,0.26732846120987475,0.4222222222222222,0.16480441082434807,0.4608305076416531,0.19949469040580778,0.38191863532771647,0.23627434421091048
0.9,10,entropy,30,2,2,0.4,0.8662146892655368,0.03909986183650063,0.6222222222222222,0.22703129713002831,0.37777777777777777,0.12668615834434868,0.4584126984126984,0.14843773661980053,0.40971472614555393,0.1723818260934517
0.9,10,entropy,30,2,2,0.5,0.8729378531073447,0.038250715543872445,0.7133333333333333,0.2784879809894057,0.31111111111111106,0.14487116456005888,0.41939393939393943,0.17009032068421015,0.405807605171774,0.19248058640052138
0.9,10,entropy,30,2,2,0.6,0.862824858757062,0.03234222723149601,0.72,0.4381780460041329,0.17777777777777776,0.16850834320114555,0.2584415584415584,0.24080317621344066,0.25802693126921306,0.2789393509440553
0.9,10,entropy,30,2,2,0.7000000000000001,0.8661581920903954,0.017327924008066136,1.0,0.0,0.11111111111111112,0.1111111111111111,0.18545454545454546,0.18199990918170472,0.23879964827802955,0.2245681607845986
0.9,10,entropy,30,2,2,0.8,0.8528248587570622,0.007815726176416418,1.0,0.0,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.06198231933063266,0.13859667942639392
