rf__n_estimators,rf__criterion,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
200,entropy,10,5,5,0.3,0.927041742,0.014730824,0.820555556,0.118855135,0.711111111,0.099380799,0.751663472,0.048885966,0.718250889,0.052749963
200,entropy,10,10,5,0.3,0.927041742,0.014730824,0.820555556,0.118855135,0.711111111,0.099380799,0.751663472,0.048885966,0.718250889,0.052749963
200,entropy,20,5,5,0.3,0.927041742,0.014730824,0.820555556,0.118855135,0.711111111,0.099380799,0.751663472,0.048885966,0.718250889,0.052749963
200,entropy,20,10,5,0.3,0.927041742,0.014730824,0.820555556,0.118855135,0.711111111,0.099380799,0.751663472,0.048885966,0.718250889,0.052749963
200,entropy,30,5,5,0.3,0.927041742,0.014730824,0.820555556,0.118855135,0.711111111,0.099380799,0.751663472,0.048885966,0.718250889,0.052749963
200,entropy,30,10,5,0.3,0.927041742,0.014730824,0.820555556,0.118855135,0.711111111,0.099380799,0.751663472,0.048885966,0.718250889,0.052749963
200,entropy,10,10,2,0.3,0.92353297,0.020199935,0.788888889,0.130052221,0.733333333,0.126686158,0.747535505,0.066365843,0.711391904,0.075958274
200,entropy,20,10,2,0.3,0.92353297,0.020199935,0.788888889,0.130052221,0.733333333,0.126686158,0.747535505,0.066365843,0.711391904,0.075958274
200,entropy,30,10,2,0.3,0.92353297,0.020199935,0.788888889,0.130052221,0.733333333,0.126686158,0.747535505,0.066365843,0.711391904,0.075958274
50,gini,10,5,2,0.3,0.923593466,0.009664235,0.773232323,0.039703523,0.733333333,0.126686158,0.745620915,0.056652756,0.705994701,0.056250806
50,gini,20,5,2,0.3,0.923593466,0.009664235,0.773232323,0.039703523,0.733333333,0.126686158,0.745620915,0.056652756,0.705994701,0.056250806
50,gini,30,5,2,0.3,0.923593466,0.009664235,0.773232323,0.039703523,0.733333333,0.126686158,0.745620915,0.056652756,0.705994701,0.056250806
100,entropy,10,10,2,0.3,0.92353297,0.0234821,0.77,0.064978629,0.733333333,0.149071198,0.744685243,0.090361471,0.704535966,0.10053965
100,entropy,20,10,2,0.3,0.92353297,0.0234821,0.77,0.064978629,0.733333333,0.149071198,0.744685243,0.090361471,0.704535966,0.10053965
