pca__n_components,kernel,C,fold,threshold,accuracy,precision,recall,f1,mcc
150,linear,0.01,1,0.1,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
150,linear,0.01,1,0.2,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
150,linear,0.01,1,0.30000000000000004,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,linear,0.01,1,0.4,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.01,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.01,1,0.6,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.01,1,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.01,1,0.8,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,0.01,1,0.9,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,0.01,2,0.1,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
150,linear,0.01,2,0.2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
150,linear,0.01,2,0.30000000000000004,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
150,linear,0.01,2,0.4,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
150,linear,0.01,2,0.5,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
150,linear,0.01,2,0.6,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
150,linear,0.01,2,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.01,2,0.8,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,0.01,2,0.9,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,linear,0.01,3,0.1,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
150,linear,0.01,3,0.2,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
150,linear,0.01,3,0.30000000000000004,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
150,linear,0.01,3,0.4,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
150,linear,0.01,3,0.5,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
150,linear,0.01,3,0.6,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,0.01,3,0.7000000000000001,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,0.01,3,0.8,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,0.01,3,0.9,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,0.01,4,0.1,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
150,linear,0.01,4,0.2,0.9122807017543859,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6353446734100326
150,linear,0.01,4,0.30000000000000004,0.9122807017543859,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6353446734100326
150,linear,0.01,4,0.4,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,linear,0.01,4,0.5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,linear,0.01,4,0.6,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
150,linear,0.01,4,0.7000000000000001,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
150,linear,0.01,4,0.8,0.8421052631578947,0.5,0.1111111111111111,0.18181818181818182,0.17890661183303358
150,linear,0.01,4,0.9,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,linear,0.01,5,0.1,0.8771929824561403,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6024960939374433
150,linear,0.01,5,0.2,0.8771929824561403,0.625,0.5555555555555556,0.5882352941176471,0.5176005111238263
150,linear,0.01,5,0.30000000000000004,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.01,5,0.4,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.01,5,0.5,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.01,5,0.6,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.01,5,0.7000000000000001,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.01,5,0.8,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
150,linear,0.01,5,0.9,0.8596491228070176,0.6,0.3333333333333333,0.42857142857142855,0.37596030887070225
150,linear,0.1,1,0.1,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
150,linear,0.1,1,0.2,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
150,linear,0.1,1,0.30000000000000004,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,linear,0.1,1,0.4,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.1,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.1,1,0.6,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.1,1,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.1,1,0.8,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,0.1,1,0.9,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,0.1,2,0.1,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
150,linear,0.1,2,0.2,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
150,linear,0.1,2,0.30000000000000004,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
150,linear,0.1,2,0.4,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
150,linear,0.1,2,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
150,linear,0.1,2,0.6,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
150,linear,0.1,2,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.1,2,0.8,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,0.1,2,0.9,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
150,linear,0.1,3,0.1,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
150,linear,0.1,3,0.2,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
150,linear,0.1,3,0.30000000000000004,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
150,linear,0.1,3,0.4,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
150,linear,0.1,3,0.5,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,0.1,3,0.6,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,0.1,3,0.7000000000000001,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,0.1,3,0.8,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,linear,0.1,3,0.9,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,linear,0.1,4,0.1,0.7368421052631579,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3268602252303067
150,linear,0.1,4,0.2,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.1,4,0.30000000000000004,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
150,linear,0.1,4,0.4,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,linear,0.1,4,0.5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,linear,0.1,4,0.6,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
150,linear,0.1,4,0.7000000000000001,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
150,linear,0.1,4,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,linear,0.1,4,0.9,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,linear,0.1,5,0.1,0.8070175438596491,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.4235587248015105
150,linear,0.1,5,0.2,0.7894736842105263,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.3379631847096873
150,linear,0.1,5,0.30000000000000004,0.8070175438596491,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.36646669631246553
150,linear,0.1,5,0.4,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
150,linear,0.1,5,0.5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
150,linear,0.1,5,0.6,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.1,5,0.7000000000000001,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,0.1,5,0.8,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
150,linear,0.1,5,0.9,0.8596491228070176,0.6,0.3333333333333333,0.42857142857142855,0.37596030887070225
150,linear,1.0,1,0.1,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
150,linear,1.0,1,0.2,0.896551724137931,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6054421768707483
150,linear,1.0,1,0.30000000000000004,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,linear,1.0,1,0.4,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,1.0,1,0.5,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,1.0,1,0.6,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,1.0,1,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,1.0,1,0.8,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,1.0,1,0.9,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
150,linear,1.0,2,0.1,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
150,linear,1.0,2,0.2,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
150,linear,1.0,2,0.30000000000000004,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
150,linear,1.0,2,0.4,0.9655172413793104,1.0,0.7777777777777778,0.875,0.8644516692407731
150,linear,1.0,2,0.5,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
150,linear,1.0,2,0.6,0.9482758620689655,1.0,0.6666666666666666,0.8,0.792593923901217
150,linear,1.0,2,0.7000000000000001,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,1.0,2,0.8,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
150,linear,1.0,2,0.9,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
150,linear,1.0,3,0.1,0.8275862068965517,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.560950714127227
150,linear,1.0,3,0.2,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
150,linear,1.0,3,0.30000000000000004,0.9310344827586207,0.7272727272727273,0.8888888888888888,0.8,0.7644134116844905
150,linear,1.0,3,0.4,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
150,linear,1.0,3,0.5,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,1.0,3,0.6,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,1.0,3,0.7000000000000001,0.9310344827586207,0.8571428571428571,0.6666666666666666,0.75,0.7182761683195928
150,linear,1.0,3,0.8,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
150,linear,1.0,3,0.9,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,linear,1.0,4,0.1,0.7368421052631579,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3268602252303067
150,linear,1.0,4,0.2,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,1.0,4,0.30000000000000004,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
150,linear,1.0,4,0.4,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,linear,1.0,4,0.5,0.8771929824561403,0.75,0.3333333333333333,0.46153846153846156,0.44609151696645605
150,linear,1.0,4,0.6,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
150,linear,1.0,4,0.7000000000000001,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
150,linear,1.0,4,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,linear,1.0,4,0.9,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,linear,1.0,5,0.1,0.8070175438596491,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.4235587248015105
150,linear,1.0,5,0.2,0.7894736842105263,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.3379631847096873
150,linear,1.0,5,0.30000000000000004,0.8070175438596491,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.36646669631246553
150,linear,1.0,5,0.4,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
150,linear,1.0,5,0.5,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
150,linear,1.0,5,0.6,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
150,linear,1.0,5,0.7000000000000001,0.8947368421052632,0.7142857142857143,0.5555555555555556,0.625,0.5709223948597401
