pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,1,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,1,0.2,0.3103448275862069,0.1836734693877551,1.0,0.3103448275862069,0.1836734693877551
150,3,0.01,100,1,0.30000000000000004,0.6379310344827587,0.22727272727272727,0.5555555555555556,0.3225806451612903,0.15567036432314413
150,3,0.01,100,1,0.4,0.8275862068965517,0.45454545454545453,0.5555555555555556,0.5,0.4000081140595553
150,3,0.01,100,1,0.5,0.8275862068965517,0.42857142857142855,0.3333333333333333,0.375,0.27974966555605196
150,3,0.01,100,1,0.6,0.8275862068965517,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11492127270955815
150,3,0.01,100,1,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,2,0.2,0.3103448275862069,0.1836734693877551,1.0,0.3103448275862069,0.1836734693877551
150,3,0.01,100,2,0.30000000000000004,0.5,0.23684210526315788,1.0,0.3829787234042553,0.31091839290429074
150,3,0.01,100,2,0.4,0.7413793103448276,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.33008622524996895
150,3,0.01,100,2,0.5,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
150,3,0.01,100,2,0.6,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
150,3,0.01,100,2,0.7000000000000001,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,3,0.01,100,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,100,3,0.2,0.20689655172413793,0.16363636363636364,1.0,0.28125,0.10009272139219581
150,3,0.01,100,3,0.30000000000000004,0.4827586206896552,0.23076923076923078,1.0,0.375,0.2991353316223341
150,3,0.01,100,3,0.4,0.7758620689655172,0.4,0.8888888888888888,0.5517241379310345,0.4905601310267698
150,3,0.01,100,3,0.5,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
150,3,0.01,100,3,0.6,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
150,3,0.01,100,3,0.7000000000000001,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,3,0.01,100,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,4,0.2,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,4,0.30000000000000004,0.5789473684210527,0.25806451612903225,0.8888888888888888,0.4,0.29996036407589355
150,3,0.01,100,4,0.4,0.7894736842105263,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.3379631847096873
150,3,0.01,100,4,0.5,0.8947368421052632,0.8,0.4444444444444444,0.5714285714285714,0.5460375914550676
150,3,0.01,100,4,0.6,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
150,3,0.01,100,4,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,5,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,5,0.2,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,100,5,0.30000000000000004,0.47368421052631576,0.21621621621621623,0.8888888888888888,0.34782608695652173,0.21754413448872953
