Model,Accuracy,Precision,Recall,F1,MCC
larger Decision Tree,0.9420289855072465,0.8571428571428571,0.9473684210526315,0.9,0.8614607719763768
larger KNN,0.9333333333333332,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
larger Naive Bayes,0.9833333333333331,0.9,1.0,0.9473684210526315,0.9393364366277245
larger Random Forest,0.9666666666666668,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
larger SVM,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
larger XGBoost,0.9666666666666668,1.0,0.8000000000000002,0.8888888888888888,0.8770580193070292
