max_depth,min_samples_split,min_samples_leaf,criterion,max_features,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
10,5,2,gini,None,0.8333333333333334,0.03513641844631531,0.8441919191919192,0.08852658026103226,0.8444444444444444,0.13333333333333336,0.8316900093370683,0.04310796455881105,0.6876627092792106,0.0782375907171962,0.5452470255556464
10,10,2,gini,None,0.8444444444444444,0.022222222222222185,0.8636363636363636,0.08225891395842662,0.8444444444444444,0.13333333333333336,0.8408403361344539,0.03473588139247163,0.7107156768180869,0.04643225169788693,0.5452472166669193
10,5,5,gini,None,0.8444444444444444,0.041573970964154876,0.8772727272727273,0.06641654180092024,0.8222222222222223,0.16629588385661961,0.8322689075630253,0.0681876722508417,0.7114525059761695,0.07282762668630634,0.5452473455554961
10,10,5,gini,None,0.8444444444444444,0.041573970964154876,0.8772727272727273,0.06641654180092024,0.8222222222222223,0.16629588385661961,0.8322689075630253,0.0681876722508417,0.7114525059761695,0.07282762668630634,0.5452474422222521
10,5,2,gini,sqrt,0.7666666666666666,0.06478835438717,0.9492063492063492,0.06301407378183878,0.5777777777777777,0.17777777777777778,0.697008547008547,0.10919117027627005,0.5902296223101028,0.09476435844924745,0.5452475455557255
10,10,2,gini,sqrt,0.7555555555555555,0.05665577237325319,0.8518831168831168,0.09024441615220327,0.6444444444444444,0.17777777777777778,0.7120685197155785,0.10071906005202307,0.5434105690877582,0.09700643333827699,0.5452476377780032
10,5,5,gini,sqrt,0.8,0.05665577237325316,0.8168831168831169,0.10689187447355496,0.7999999999999999,0.08314794192830981,0.8007894736842104,0.052694698992774014,0.6110727577127479,0.11718763554315073,0.5452477255558026
10,10,5,gini,sqrt,0.8,0.05665577237325316,0.8168831168831169,0.10689187447355496,0.7999999999999999,0.08314794192830981,0.8007894736842104,0.052694698992774014,0.6110727577127479,0.11718763554315073,0.5452478166669608
10,5,2,gini,log2,0.7,0.12957670877434002,0.6623376623376623,0.34614714283548426,0.5777777777777777,0.33259176771323923,0.5930769230769231,0.3041371537382825,0.400279101136617,0.3216976826519999,0.5452478955558036
10,10,2,gini,log2,0.6888888888888889,0.1515353521887317,0.6623376623376623,0.34614714283548426,0.5777777777777777,0.33259176771323923,0.5930769230769231,0.3041371537382825,0.37807554802522886,0.3660695725316088,0.5452479833336029
10,5,5,gini,log2,0.5111111111111112,0.0737027731190089,0.7184065934065933,0.23820123028220905,0.4,0.33407325285273126,0.3492676121832132,0.2874897683597283,0.016076058085352608,0.1646335255015628,0.5452480677780437
10,10,5,gini,log2,0.5111111111111112,0.0737027731190089,0.7184065934065933,0.23820123028220905,0.4,0.33407325285273126,0.3492676121832132,0.2874897683597283,0.016076058085352608,0.1646335255015628,0.5452481522224844
20,5,2,gini,None,0.8333333333333334,0.03513641844631531,0.8441919191919192,0.08852658026103226,0.8444444444444444,0.13333333333333336,0.8316900093370683,0.04310796455881105,0.6876627092792106,0.0782375907171962,0.5452482355558055
20,10,2,gini,None,0.8444444444444444,0.022222222222222185,0.8636363636363636,0.08225891395842662,0.8444444444444444,0.13333333333333336,0.8408403361344539,0.03473588139247163,0.7107156768180869,0.04643225169788693,0.5452483233336048
20,5,5,gini,None,0.8444444444444444,0.041573970964154876,0.8772727272727273,0.06641654180092024,0.8222222222222223,0.16629588385661961,0.8322689075630253,0.0681876722508417,0.7114525059761695,0.07282762668630634,0.5452484088891651
20,10,5,gini,None,0.8444444444444444,0.041573970964154876,0.8772727272727273,0.06641654180092024,0.8222222222222223,0.16629588385661961,0.8322689075630253,0.0681876722508417,0.7114525059761695,0.07282762668630634,0.5452484911113668
20,5,2,gini,sqrt,0.7666666666666666,0.06478835438717,0.9492063492063492,0.06301407378183878,0.5777777777777777,0.17777777777777778,0.697008547008547,0.10919117027627005,0.5902296223101028,0.09476435844924745,0.5452485755558074
20,10,2,gini,sqrt,0.7555555555555555,0.05665577237325319,0.8518831168831168,0.09024441615220327,0.6444444444444444,0.17777777777777778,0.7120685197155785,0.10071906005202307,0.5434105690877582,0.09700643333827699,0.5452486566668894
20,5,5,gini,sqrt,0.8,0.05665577237325316,0.8168831168831169,0.10689187447355496,0.7999999999999999,0.08314794192830981,0.8007894736842104,0.052694698992774014,0.6110727577127479,0.11718763554315073,0.54524874111133
20,10,5,gini,sqrt,0.8,0.05665577237325316,0.8168831168831169,0.10689187447355496,0.7999999999999999,0.08314794192830981,0.8007894736842104,0.052694698992774014,0.6110727577127479,0.11718763554315073,0.5452488200001729
20,5,2,gini,log2,0.7,0.15947444549341472,0.665909090909091,0.34822454045990553,0.6,0.341384255460827,0.6077828054298642,0.3130173234862928,0.3982790502155783,0.37866447572008116,0.5452488977778962
20,10,2,gini,log2,0.6888888888888889,0.1515353521887317,0.6623376623376623,0.34614714283548426,0.5777777777777777,0.33259176771323923,0.5930769230769231,0.3041371537382825,0.37807554802522886,0.3660695725316088,0.5452489800000977
20,5,5,gini,log2,0.5111111111111112,0.0737027731190089,0.7184065934065933,0.23820123028220905,0.4,0.33407325285273126,0.3492676121832132,0.2874897683597283,0.016076058085352608,0.1646335255015628,0.5452490633334188
20,10,5,gini,log2,0.5111111111111112,0.0737027731190089,0.7184065934065933,0.23820123028220905,0.4,0.33407325285273126,0.3492676121832132,0.2874897683597283,0.016076058085352608,0.1646335255015628,0.5452491433333813
30,5,2,gini,None,0.8333333333333334,0.03513641844631531,0.8441919191919192,0.08852658026103226,0.8444444444444444,0.13333333333333336,0.8316900093370683,0.04310796455881105,0.6876627092792106,0.0782375907171962,0.5452492255555828
