n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
100,3,0.01,0.888888888888889,0.08606629658238704,0.9236363636363636,0.06913873942484196,0.8666666666666668,0.2154524381073924,0.8702595856156228,0.12865962247506674,0.8031056184084123,0.13941646278838768,0.7349515666667786
150,3,0.01,0.8777777777777779,0.0816496580927726,0.9214141414141415,0.07003548301201652,0.8444444444444443,0.20608041101101565,0.8585636791828742,0.1236800708107099,0.7797757357639847,0.1317309403682682,0.7349517844449212
200,3,0.01,0.888888888888889,0.06085806194501844,0.9214141414141415,0.07003548301201652,0.8666666666666668,0.1632993161855452,0.878343898963094,0.08509710710830373,0.7969059735882233,0.10061971862511587,0.7349519166668567
100,5,0.01,0.888888888888889,0.08606629658238704,0.9236363636363636,0.06913873942484196,0.8666666666666668,0.2154524381073924,0.8702595856156228,0.12865962247506674,0.8031056184084123,0.13941646278838768,0.7349520266664007
150,5,0.01,0.8777777777777779,0.0816496580927726,0.9214141414141415,0.07003548301201652,0.8444444444444443,0.20608041101101565,0.8585636791828742,0.1236800708107099,0.7797757357639847,0.1317309403682682,0.7349521355561188
200,5,0.01,0.888888888888889,0.06085806194501844,0.9214141414141415,0.07003548301201652,0.8666666666666668,0.1632993161855452,0.878343898963094,0.08509710710830373,0.7969059735882233,0.10061971862511587,0.7349522411111846
100,7,0.01,0.888888888888889,0.08606629658238704,0.9236363636363636,0.06913873942484196,0.8666666666666668,0.2154524381073924,0.8702595856156228,0.12865962247506674,0.8031056184084123,0.13941646278838768,0.7349523466662504
150,7,0.01,0.8777777777777779,0.0816496580927726,0.9214141414141415,0.07003548301201652,0.8444444444444443,0.20608041101101565,0.8585636791828742,0.1236800708107099,0.7797757357639847,0.1317309403682682,0.7349524488892509
200,7,0.01,0.888888888888889,0.06085806194501844,0.9214141414141415,0.07003548301201652,0.8666666666666668,0.1632993161855452,0.878343898963094,0.08509710710830373,0.7969059735882233,0.10061971862511587,0.7349525588887951
100,10,0.01,0.888888888888889,0.08606629658238704,0.9236363636363636,0.06913873942484196,0.8666666666666668,0.2154524381073924,0.8702595856156228,0.12865962247506674,0.8031056184084123,0.13941646278838768,0.7349526622229152
150,10,0.01,0.8777777777777779,0.0816496580927726,0.9214141414141415,0.07003548301201652,0.8444444444444443,0.20608041101101565,0.8585636791828742,0.1236800708107099,0.7797757357639847,0.1317309403682682,0.7349527688891005
200,10,0.01,0.888888888888889,0.06085806194501844,0.9214141414141415,0.07003548301201652,0.8666666666666668,0.1632993161855452,0.878343898963094,0.08509710710830373,0.7969059735882233,0.10061971862511587,0.7349528733330468
100,3,0.1,0.9222222222222222,0.04444444444444447,0.9214141414141415,0.07003548301201652,0.9333333333333332,0.08888888888888889,0.922251461988304,0.04586193694134197,0.8535306078425251,0.08377714689825634,0.7349529788894061
150,3,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349530844444719
200,3,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349531844452334
100,5,0.1,0.9222222222222222,0.04444444444444447,0.9214141414141415,0.07003548301201652,0.9333333333333332,0.08888888888888889,0.922251461988304,0.04586193694134197,0.8535306078425251,0.08377714689825634,0.7349532866669405
150,5,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349533933331258
200,5,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349534944450069
100,7,0.1,0.9222222222222222,0.04444444444444447,0.9214141414141415,0.07003548301201652,0.9333333333333332,0.08888888888888889,0.922251461988304,0.04586193694134197,0.8535306078425251,0.08377714689825634,0.7349536000000727
150,7,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349537022217798
200,7,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349538044447803
100,10,0.1,0.9222222222222222,0.04444444444444447,0.9214141414141415,0.07003548301201652,0.9333333333333332,0.08888888888888889,0.922251461988304,0.04586193694134197,0.8535306078425251,0.08377714689825634,0.7349539066664874
