learning_rate,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,50,5,0.2,0.8135593220338984,0.4,0.4444444444444444,0.42105263157894735,0.3109199282999708
0.01,3,50,5,0.30000000000000004,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,50,5,0.4,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,50,5,0.5,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,50,5,0.6,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,50,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,50,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,50,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,100,1,0.1,0.7,0.3333333333333333,1.0,0.5,0.46442036401282394
0.01,3,100,1,0.2,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
0.01,3,100,1,0.30000000000000004,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,3,100,1,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,100,1,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,100,1,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,1,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,2,0.1,0.5333333333333333,0.22857142857142856,0.8888888888888888,0.36363636363636365,0.26035958758213296
0.01,3,100,2,0.2,0.75,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.3361227822436774
0.01,3,100,2,0.30000000000000004,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.01,3,100,2,0.4,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,3,100,2,0.5,0.85,1.0,0.0,0.0,0.0
0.01,3,100,2,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,2,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.1,0.6,0.25806451612903225,0.8888888888888888,0.4,0.3129031021373593
0.01,3,100,3,0.2,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
0.01,3,100,3,0.30000000000000004,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,3,100,3,0.4,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,3,100,3,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,100,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.1,0.4166666666666667,0.20454545454545456,1.0,0.33962264150943394,0.25332019855244947
0.01,3,100,4,0.2,0.85,0.5,0.7777777777777778,0.6086956521739131,0.5407518998772
0.01,3,100,4,0.30000000000000004,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,3,100,4,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,100,4,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,100,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,100,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,100,5,0.1,0.5423728813559322,0.23529411764705882,0.8888888888888888,0.37209302325581395,0.2684060917068752
0.01,3,100,5,0.2,0.864406779661017,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47555555555555556
0.01,3,100,5,0.30000000000000004,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365,0.44151078568834795
0.01,3,100,5,0.4,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,100,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,3,100,5,0.6,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,100,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,100,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
