criterion,max_depth,min_samples_split,min_samples_leaf,max_features,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
entropy,,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,10,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,10,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,10,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,10,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,10,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,30,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,30,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,30,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,30,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,30,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,50,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,50,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,50,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,50,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,50,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,100,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,100,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,100,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,100,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,100,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,300,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,300,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,300,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
