max_depth,criterion,min_samples_split,min_samples_leaf,accuracy,precision,recall,f1,preparationTime
10,gini,2,1,0.6,0.6411170528817588,0.547008547008547,0.5703703703703703,0.0022407899999961956
10,gini,5,1,0.5866666666666668,0.6209150326797386,0.5491452991452991,0.5708513708513708,0.0022407899999961956
10,gini,2,2,0.56,0.5997510115157173,0.49786324786324787,0.5253968253968254,0.0022407899999961956
10,gini,5,2,0.5866666666666668,0.647370059134765,0.5235042735042735,0.5587301587301586,0.0022407899999961956
30,gini,2,1,0.6,0.6411170528817588,0.547008547008547,0.5703703703703703,0.0022407899999961956
30,gini,5,1,0.5866666666666668,0.6209150326797386,0.5491452991452991,0.5708513708513708,0.0022407899999961956
30,gini,2,2,0.56,0.5997510115157173,0.49786324786324787,0.5253968253968254,0.0022407899999961956
30,gini,5,2,0.5866666666666668,0.647370059134765,0.5235042735042735,0.5587301587301586,0.0022407899999961956
50,gini,2,1,0.6,0.6411170528817588,0.547008547008547,0.5703703703703703,0.0022407899999961956
50,gini,5,1,0.5866666666666668,0.6209150326797386,0.5491452991452991,0.5708513708513708,0.0022407899999961956
50,gini,2,2,0.56,0.5997510115157173,0.49786324786324787,0.5253968253968254,0.0022407899999961956
50,gini,5,2,0.5866666666666668,0.647370059134765,0.5235042735042735,0.5587301587301586,0.0022407899999961956
100,gini,2,1,0.6,0.6411170528817588,0.547008547008547,0.5703703703703703,0.0022407899999961956
100,gini,5,1,0.5866666666666668,0.6209150326797386,0.5491452991452991,0.5708513708513708,0.0022407899999961956
100,gini,2,2,0.56,0.5997510115157173,0.49786324786324787,0.5253968253968254,0.0022407899999961956
100,gini,5,2,0.5866666666666668,0.647370059134765,0.5235042735042735,0.5587301587301586,0.0022407899999961956
300,gini,2,1,0.6,0.6411170528817588,0.547008547008547,0.5703703703703703,0.0022407899999961956
300,gini,5,1,0.5866666666666668,0.6209150326797386,0.5491452991452991,0.5708513708513708,0.0022407899999961956
300,gini,2,2,0.56,0.5997510115157173,0.49786324786324787,0.5253968253968254,0.0022407899999961956
300,gini,5,2,0.5866666666666668,0.647370059134765,0.5235042735042735,0.5587301587301586,0.0022407899999961956
500,gini,2,1,0.6,0.6411170528817588,0.547008547008547,0.5703703703703703,0.0022407899999961956
500,gini,5,1,0.5866666666666668,0.6209150326797386,0.5491452991452991,0.5708513708513708,0.0022407899999961956
500,gini,2,2,0.56,0.5997510115157173,0.49786324786324787,0.5253968253968254,0.0022407899999961956
500,gini,5,2,0.5866666666666668,0.647370059134765,0.5235042735042735,0.5587301587301586,0.0022407899999961956
10,entropy,2,1,0.6666666666666666,0.6849206349206348,0.6538461538461539,0.6594356261022928,0.0022407899999961956
10,entropy,5,1,0.64,0.6388888888888888,0.6282051282051282,0.6303896103896104,0.0022407899999961956
10,entropy,2,2,0.64,0.6643578643578644,0.5747863247863249,0.6040100250626566,0.0022407899999961956
10,entropy,5,2,0.6266666666666667,0.6262626262626263,0.6025641025641025,0.6103896103896104,0.0022407899999961956
30,entropy,2,1,0.6666666666666666,0.6849206349206348,0.6538461538461539,0.6594356261022928,0.0022407899999961956
30,entropy,5,1,0.64,0.6388888888888888,0.6282051282051282,0.6303896103896104,0.0022407899999961956
30,entropy,2,2,0.64,0.6643578643578644,0.5747863247863249,0.6040100250626566,0.0022407899999961956
30,entropy,5,2,0.6266666666666667,0.6262626262626263,0.6025641025641025,0.6103896103896104,0.0022407899999961956
50,entropy,2,1,0.6666666666666666,0.6849206349206348,0.6538461538461539,0.6594356261022928,0.0022407899999961956
50,entropy,5,1,0.64,0.6388888888888888,0.6282051282051282,0.6303896103896104,0.0022407899999961956
50,entropy,2,2,0.64,0.6643578643578644,0.5747863247863249,0.6040100250626566,0.0022407899999961956
50,entropy,5,2,0.6266666666666667,0.6262626262626263,0.6025641025641025,0.6103896103896104,0.0022407899999961956
100,entropy,2,1,0.6666666666666666,0.6849206349206348,0.6538461538461539,0.6594356261022928,0.0022407899999961956
100,entropy,5,1,0.64,0.6388888888888888,0.6282051282051282,0.6303896103896104,0.0022407899999961956
100,entropy,2,2,0.64,0.6643578643578644,0.5747863247863249,0.6040100250626566,0.0022407899999961956
100,entropy,5,2,0.6266666666666667,0.6262626262626263,0.6025641025641025,0.6103896103896104,0.0022407899999961956
300,entropy,2,1,0.6666666666666666,0.6849206349206348,0.6538461538461539,0.6594356261022928,0.0022407899999961956
300,entropy,5,1,0.64,0.6388888888888888,0.6282051282051282,0.6303896103896104,0.0022407899999961956
300,entropy,2,2,0.64,0.6643578643578644,0.5747863247863249,0.6040100250626566,0.0022407899999961956
300,entropy,5,2,0.6266666666666667,0.6262626262626263,0.6025641025641025,0.6103896103896104,0.0022407899999961956
500,entropy,2,1,0.6666666666666666,0.6849206349206348,0.6538461538461539,0.6594356261022928,0.0022407899999961956
500,entropy,5,1,0.64,0.6388888888888888,0.6282051282051282,0.6303896103896104,0.0022407899999961956
500,entropy,2,2,0.64,0.6643578643578644,0.5747863247863249,0.6040100250626566,0.0022407899999961956
500,entropy,5,2,0.6266666666666667,0.6262626262626263,0.6025641025641025,0.6103896103896104,0.0022407899999961956
