criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
gini,None,2,1,None,0.6991982732038237,0.5833333333333334,0.5527777777777777,0.5602150537634408,0.0010658925571419785
gini,None,5,1,None,0.6993524514338576,0.564102564102564,0.5513888888888889,0.5547500870776733,0.0010658925571419785
gini,None,10,1,None,0.7069071847055195,0.576923076923077,0.48888888888888893,0.5287356321839081,0.0010658925571419785
gini,None,2,2,None,0.6993524514338576,0.5747549019607843,0.5305555555555556,0.5476190476190476,0.0010658925571419785
gini,None,5,2,None,0.6851680542707369,0.5458019105077928,0.5097222222222223,0.5247728958101595,0.0010658925571419785
gini,None,10,2,None,0.7069071847055195,0.576923076923077,0.48888888888888893,0.5287356321839081,0.0010658925571419785
gini,None,2,5,None,0.7070613629355536,0.5820261437908497,0.5333333333333333,0.5523233486943164,0.0010658925571419785
gini,None,5,5,None,0.7070613629355536,0.5820261437908497,0.5333333333333333,0.5523233486943164,0.0010658925571419785
gini,None,10,5,None,0.7070613629355536,0.5820261437908497,0.5333333333333333,0.5523233486943164,0.0010658925571419785
gini,None,2,10,None,0.6786925686093124,0.5217948717948718,0.44861111111111107,0.4807334428024084,0.0010658925571419785
gini,None,5,10,None,0.6786925686093124,0.5217948717948718,0.44861111111111107,0.4807334428024084,0.0010658925571419785
gini,None,10,10,None,0.6786925686093124,0.5217948717948718,0.44861111111111107,0.4807334428024084,0.0010658925571419785
gini,None,2,1,sqrt,0.6931853222325008,0.539031339031339,0.5333333333333333,0.5340094658553077,0.0010658925571419785
gini,None,5,1,sqrt,0.6645081714461918,0.5,0.4055555555555556,0.44745484400656815,0.0010658925571419785
gini,None,10,1,sqrt,0.6998149861239593,0.5427350427350427,0.5527777777777777,0.5452681628825057,0.0010658925571419785
gini,None,2,2,sqrt,0.6285846438482886,0.4240740740740741,0.27777777777777773,0.33371320037986707,0.0010658925571419785
gini,None,5,2,sqrt,0.6144002466851681,0.3888888888888889,0.27777777777777773,0.32250440917107587,0.0010658925571419785
gini,None,10,2,sqrt,0.6711378353376504,0.5050366300366301,0.4666666666666666,0.48419540229885055,0.0010658925571419785
gini,None,2,5,sqrt,0.6716003700277521,0.5330634278002698,0.48888888888888893,0.506896551724138,0.0010658925571419785
gini,None,5,5,sqrt,0.6716003700277521,0.5330634278002698,0.48888888888888893,0.506896551724138,0.0010658925571419785
gini,None,10,5,sqrt,0.6716003700277521,0.5330634278002698,0.48888888888888893,0.506896551724138,0.0010658925571419785
gini,None,2,10,sqrt,0.6003700277520815,0.40641711229946526,0.3819444444444444,0.3908313908313908,0.0010658925571419785
gini,None,5,10,sqrt,0.6003700277520815,0.40641711229946526,0.3819444444444444,0.3908313908313908,0.0010658925571419785
gini,None,10,10,sqrt,0.6003700277520815,0.40641711229946526,0.3819444444444444,0.3908313908313908,0.0010658925571419785
gini,None,2,1,log2,0.6005242059821153,0.4166666666666667,0.45,0.42699192699192695,0.0010658925571419785
gini,None,5,1,log2,0.6288930003083565,0.4713804713804714,0.45,0.4526969036772958,0.0010658925571419785
gini,None,10,1,log2,0.6931853222325008,0.5373048004626951,0.5361111111111111,0.5313950867703403,0.0010658925571419785
gini,None,2,2,log2,0.56490903484428,0.33398692810457514,0.3013888888888889,0.31328671328671326,0.0010658925571419785
gini,None,5,2,log2,0.6074622263336417,0.4339869281045751,0.36388888888888893,0.39020979020979024,0.0010658925571419785
gini,None,10,2,log2,0.6854764107308048,0.5513071895424836,0.44861111111111107,0.48717948717948717,0.0010658925571419785
gini,None,2,5,log2,0.6492445266728338,0.5208333333333334,0.3611111111111111,0.4170506912442396,0.0010658925571419785
