pca__n_components,n_neighbors,weights,metric,threshold,accuracy,precision,recall,f1,mcc
180,3,distance,cosine,0.1,0.8253107344632769,0.44793650793650797,0.6833333333333333,0.5331634549025853,0.45349047437232254
180,3,distance,cosine,0.2,0.832090395480226,0.4572954822954823,0.6611111111111111,0.534795156534287,0.4527316790110051
180,3,distance,cosine,0.30000000000000004,0.8588700564971752,0.539047619047619,0.6611111111111111,0.5835150536187015,0.5121524615035093
180,3,distance,cosine,0.4,0.8857062146892656,0.6335775335775335,0.6611111111111111,0.6341269841269841,0.5763919998405822
180,3,distance,cosine,0.5,0.8924293785310734,0.6720695970695971,0.6611111111111111,0.6499439775910364,0.5986905799693324
180,3,distance,cosine,0.6,0.8958757062146893,0.6840909090909091,0.638888888888889,0.6453073861123396,0.5957235377710595
180,3,distance,cosine,0.7000000000000001,0.909322033898305,0.7977777777777778,0.5916666666666666,0.66037310470747,0.630215687719881
180,3,distance,cosine,0.8,0.9025988700564971,0.7977777777777778,0.5472222222222223,0.6201533244876898,0.5970459905950118
180,3,distance,cosine,0.9,0.9059322033898305,0.8111111111111111,0.5472222222222223,0.6271708683473389,0.6058942456506653
180,3,distance,euclidean,0.1,0.7950847457627119,0.4041401391865788,0.7944444444444445,0.5325045325045326,0.4616277536947889
180,3,distance,euclidean,0.2,0.8153107344632768,0.4310457516339869,0.7944444444444445,0.55591045991046,0.4887950356609766
180,3,distance,euclidean,0.30000000000000004,0.8253672316384181,0.4489483065953654,0.75,0.5574827201783724,0.4846596078522484
180,3,distance,euclidean,0.4,0.855593220338983,0.512987012987013,0.6833333333333333,0.5795721925133689,0.5072898369023483
180,3,distance,euclidean,0.5,0.855593220338983,0.512987012987013,0.6833333333333333,0.5795721925133689,0.5072898369023483
180,3,distance,euclidean,0.6,0.8623163841807908,0.5285547785547786,0.6833333333333333,0.5908276037687802,0.5199760997483077
180,3,distance,euclidean,0.7000000000000001,0.9025423728813559,0.7457575757575757,0.5944444444444444,0.638272604588394,0.6032464442457016
180,3,distance,euclidean,0.8,0.9092655367231638,0.77,0.5944444444444444,0.6523076923076923,0.6200346345124574
180,3,distance,euclidean,0.9,0.9092655367231638,0.77,0.5944444444444444,0.6523076923076923,0.6200346345124574
180,3,uniform,cosine,0.1,0.7817514124293785,0.3792258721670486,0.7055555555555555,0.48647236821149864,0.3993261046217556
180,3,uniform,cosine,0.2,0.7817514124293785,0.3792258721670486,0.7055555555555555,0.48647236821149864,0.3993261046217556
180,3,uniform,cosine,0.30000000000000004,0.7817514124293785,0.3792258721670486,0.7055555555555555,0.48647236821149864,0.3993261046217556
180,3,uniform,cosine,0.4,0.8621468926553673,0.5601587301587301,0.6611111111111111,0.5943165672065928,0.5246835613412689
180,3,uniform,cosine,0.5,0.8621468926553673,0.5601587301587301,0.6611111111111111,0.5943165672065928,0.5246835613412689
180,3,uniform,cosine,0.6,0.8621468926553673,0.5601587301587301,0.6611111111111111,0.5943165672065928,0.5246835613412689
180,3,uniform,cosine,0.7000000000000001,0.9059322033898305,0.8111111111111111,0.5472222222222223,0.6271708683473389,0.6058942456506653
180,3,uniform,cosine,0.8,0.9059322033898305,0.8111111111111111,0.5472222222222223,0.6271708683473389,0.6058942456506653
180,3,uniform,cosine,0.9,0.9059322033898305,0.8111111111111111,0.5472222222222223,0.6271708683473389,0.6058942456506653
180,3,uniform,euclidean,0.1,0.7615254237288136,0.3612590187590188,0.7944444444444445,0.4948477732459935,0.4174996982964741
180,3,uniform,euclidean,0.2,0.7615254237288136,0.3612590187590188,0.7944444444444445,0.4948477732459935,0.4174996982964741
180,3,uniform,euclidean,0.30000000000000004,0.7615254237288136,0.3612590187590188,0.7944444444444445,0.4948477732459935,0.4174996982964741
180,3,uniform,euclidean,0.4,0.8319774011299435,0.4564452214452214,0.7055555555555555,0.5512121212121212,0.47279154434767223
180,3,uniform,euclidean,0.5,0.8319774011299435,0.4564452214452214,0.7055555555555555,0.5512121212121212,0.47279154434767223
180,3,uniform,euclidean,0.6,0.8319774011299435,0.4564452214452214,0.7055555555555555,0.5512121212121212,0.47279154434767223
180,3,uniform,euclidean,0.7000000000000001,0.9092655367231638,0.77,0.5944444444444444,0.6523076923076923,0.6200346345124574
180,3,uniform,euclidean,0.8,0.9092655367231638,0.77,0.5944444444444444,0.6523076923076923,0.6200346345124574
180,3,uniform,euclidean,0.9,0.9092655367231638,0.77,0.5944444444444444,0.6523076923076923,0.6200346345124574
180,5,distance,cosine,0.1,0.7884745762711864,0.3845751633986928,0.75,0.5050538222952016,0.4265255686485738
180,5,distance,cosine,0.2,0.8286440677966102,0.45475490196078433,0.7277777777777777,0.5535438596491228,0.4796444039826032
180,5,distance,cosine,0.30000000000000004,0.8353672316384181,0.46996503496503494,0.6833333333333333,0.5514832535885168,0.4718461769833627
180,5,distance,cosine,0.4,0.8655367231638419,0.571008991008991,0.6611111111111111,0.5975563822366892,0.5315239647824446
180,5,distance,cosine,0.5,0.8688700564971752,0.5937362637362638,0.6388888888888888,0.5987328528249244,0.5342677009181342
180,5,distance,cosine,0.6,0.885819209039548,0.6666666666666667,0.5944444444444444,0.6076190476190476,0.5569725974814987
180,5,distance,cosine,0.7000000000000001,0.8992090395480226,0.7515151515151515,0.5944444444444444,0.6386967418546365,0.6028878614424406
180,5,distance,cosine,0.8,0.9160451977401131,0.8533333333333333,0.5944444444444444,0.6754578754578755,0.6583542375365004
180,5,distance,cosine,0.9,0.9025423728813559,0.8428571428571429,0.47777777777777775,0.5909340659340659,0.5790768782549159
180,5,distance,euclidean,0.1,0.7145762711864407,0.32061244019138757,0.8166666666666667,0.4590108184036078,0.3774562727920881
180,5,distance,euclidean,0.2,0.7849717514124295,0.39111012826183106,0.7944444444444445,0.5213634940771372,0.4482813151380379
180,5,distance,euclidean,0.30000000000000004,0.8118079096045199,0.43156862745098035,0.7944444444444445,0.5551062271062271,0.4870425343288372
180,5,distance,euclidean,0.4,0.8388135593220338,0.4719347319347319,0.7277777777777777,0.5700263504611331,0.495592578729157
180,5,distance,euclidean,0.5,0.8388135593220338,0.4712698412698413,0.6611111111111111,0.5452035886818496,0.46453194747354204
180,5,distance,euclidean,0.6,0.8757062146892656,0.5994505494505494,0.6166666666666666,0.5947478991596639,0.5314164224036436
180,5,distance,euclidean,0.7000000000000001,0.8757062146892656,0.6034188034188034,0.5722222222222222,0.5753968253968254,0.5118695374691272
180,5,distance,euclidean,0.8,0.9025988700564971,0.7607575757575757,0.5722222222222222,0.6344390387734041,0.5996960326784825
180,5,distance,euclidean,0.9,0.909322033898305,0.8099999999999999,0.5277777777777778,0.6239603533721181,0.6021530841627201
180,5,uniform,cosine,0.1,0.6980225988700565,0.29543701226309926,0.775,0.425281512605042,0.33470930348693684
180,5,uniform,cosine,0.2,0.6980225988700565,0.29543701226309926,0.775,0.425281512605042,0.33470930348693684
180,5,uniform,cosine,0.30000000000000004,0.7715819209039548,0.3712065712065712,0.7277777777777777,0.4860661230153903,0.39886726631278885
