eta,max_depth,n_estimators,accuracy,precision,recall,f1,preparationTime
0.01,3,50,0.8172119487908962,0.8300357396457141,0.8172119487908962,0.8151029538449308,0.0017502214285611574
0.01,3,100,0.8278805120910384,0.8420187742727789,0.8278805120910384,0.8256327928492742,0.0017502214285611574
0.01,3,200,0.8493598862019913,0.864811862465315,0.8493598862019913,0.8476796156136448,0.0017502214285611574
0.01,3,300,0.843954480796586,0.8633974887235757,0.843954480796586,0.8416361010433613,0.0017502214285611574
0.01,5,50,0.812091038406828,0.8231974224365528,0.812091038406828,0.8101708124023028,0.0017502214285611574
0.01,5,100,0.8438122332859175,0.8539175164346788,0.8438122332859175,0.8425231167555415,0.0017502214285611574
0.01,5,200,0.8708392603129445,0.8825966014009492,0.8708392603129445,0.8697155471640106,0.0017502214285611574
0.01,5,300,0.8762446657183499,0.8863917074147253,0.8762446657183499,0.8750781578539639,0.0017502214285611574
0.01,7,50,0.812091038406828,0.8231974224365528,0.812091038406828,0.8101708124023028,0.0017502214285611574
0.01,7,100,0.838406827880512,0.8475357450529076,0.838406827880512,0.8372625229153206,0.0017502214285611574
0.01,7,200,0.8654338549075391,0.8752982358417141,0.8654338549075391,0.8643921845235747,0.0017502214285611574
0.01,7,300,0.8762446657183499,0.8863917074147253,0.8762446657183499,0.8750781578539639,0.0017502214285611574
0.01,10,50,0.812091038406828,0.8231974224365528,0.812091038406828,0.8101708124023028,0.0017502214285611574
0.01,10,100,0.838406827880512,0.8475357450529076,0.838406827880512,0.8372625229153206,0.0017502214285611574
0.01,10,200,0.8654338549075391,0.8752982358417141,0.8654338549075391,0.8643921845235747,0.0017502214285611574
0.01,10,300,0.8762446657183499,0.8863917074147253,0.8762446657183499,0.8750781578539639,0.0017502214285611574
0.1,3,50,0.8761024182076813,0.8870318087709392,0.8761024182076813,0.8750454754207679,0.0017502214285611574
0.1,3,100,0.8761024182076813,0.8856545580128834,0.8761024182076813,0.8751489249050224,0.0017502214285611574
0.1,3,200,0.8759601706970127,0.8827905545296849,0.8759601706970127,0.8752285290377111,0.0017502214285611574
0.1,3,300,0.8705547652916075,0.880172456054809,0.8705547652916075,0.8691692439253413,0.0017502214285611574
0.1,5,50,0.892176386913229,0.8966802720053494,0.892176386913229,0.8916368617489964,0.0017502214285611574
0.1,5,100,0.8813655761024182,0.885161610486688,0.8813655761024182,0.880969135198917,0.0017502214285611574
0.1,5,200,0.8867709815078235,0.8897515250766025,0.8867709815078235,0.8865670469230841,0.0017502214285611574
0.1,5,300,0.8867709815078235,0.8897515250766025,0.8867709815078235,0.8865670469230841,0.0017502214285611574
0.1,7,50,0.8867709815078235,0.8906942019016322,0.8867709815078235,0.8863191005488822,0.0017502214285611574
0.1,7,100,0.8813655761024182,0.885161610486688,0.8813655761024182,0.880969135198917,0.0017502214285611574
0.1,7,200,0.8867709815078235,0.8897515250766025,0.8867709815078235,0.8865670469230841,0.0017502214285611574
0.1,7,300,0.8867709815078235,0.8897515250766025,0.8867709815078235,0.8865670469230841,0.0017502214285611574
0.1,10,50,0.8867709815078235,0.8906942019016322,0.8867709815078235,0.8863191005488822,0.0017502214285611574
0.1,10,100,0.8813655761024182,0.885161610486688,0.8813655761024182,0.880969135198917,0.0017502214285611574
0.1,10,200,0.8867709815078235,0.8897515250766025,0.8867709815078235,0.8865670469230841,0.0017502214285611574
0.1,10,300,0.8867709815078235,0.8897515250766025,0.8867709815078235,0.8865670469230841,0.0017502214285611574
0.3,3,50,0.8706970128022758,0.8790896814480069,0.8706970128022758,0.8698401427956665,0.0017502214285611574
0.3,3,100,0.8600284495021336,0.8670253864425355,0.8600284495021336,0.8592675680767503,0.0017502214285611574
0.3,3,200,0.8600284495021336,0.8670253864425355,0.8600284495021336,0.8592675680767503,0.0017502214285611574
0.3,3,300,0.8600284495021336,0.8670253864425355,0.8600284495021336,0.8592675680767503,0.0017502214285611574
0.3,5,50,0.8759601706970128,0.881958581958582,0.8759601706970128,0.8753091718299751,0.0017502214285611574
0.3,5,100,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,5,200,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,5,300,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,7,50,0.8759601706970128,0.881958581958582,0.8759601706970128,0.8753091718299751,0.0017502214285611574
0.3,7,100,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,7,200,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,7,300,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,10,50,0.8759601706970128,0.881958581958582,0.8759601706970128,0.8753091718299751,0.0017502214285611574
0.3,10,100,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,10,200,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.3,10,300,0.8866287339971551,0.890490522990523,0.8866287339971551,0.8861706959267934,0.0017502214285611574
0.5,3,50,0.8867709815078235,0.8929462476830897,0.8867709815078235,0.8861694046988164,0.0017502214285611574
0.5,3,100,0.8867709815078235,0.8929462476830897,0.8867709815078235,0.8861694046988164,0.0017502214285611574
0.5,3,200,0.8867709815078235,0.8929462476830897,0.8867709815078235,0.8861694046988164,0.0017502214285611574
