n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
500,50,5,2,gini,0.9899176311125014,0.990180394919477,0.9899176311125014,0.9899160651452394,0.0012578548223319756
10,100,2,1,gini,0.9582212490876862,0.9585833120334681,0.9582212490876862,0.9582138006528048,0.0012578548223319756
50,100,2,1,gini,0.9899176311125014,0.9902905474847922,0.9899176311125014,0.9899115896301371,0.0012578548223319756
100,100,2,1,gini,0.9884683557501825,0.9888290142946969,0.9884683557501825,0.9884647657444766,0.0012578548223319756
300,100,2,1,gini,0.9899176311125014,0.9900993330084423,0.9899176311125014,0.9899163630435668,0.0012578548223319756
500,100,2,1,gini,0.9913669064748202,0.9916089663480484,0.9913669064748202,0.9913654166129703,0.0012578548223319756
10,100,5,1,gini,0.9784172661870503,0.9784357435344185,0.9784172661870503,0.9784165213255704,0.0012578548223319756
50,100,5,1,gini,0.988478782191638,0.9887198648045084,0.988478782191638,0.9884772163632659,0.0012578548223319756
100,100,5,1,gini,0.9827233865081848,0.983316120702324,0.9827233865081848,0.9827164551771863,0.0012578548223319756
300,100,5,1,gini,0.9942446043165468,0.9943664866899237,0.9942446043165468,0.9942441574459234,0.0012578548223319756
500,100,5,1,gini,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,100,2,2,gini,0.9639557918882286,0.964285266462346,0.9639557918882286,0.9639501933979264,0.0012578548223319756
50,100,2,2,gini,0.9899280575539569,0.990144260098693,0.9899280575539569,0.9899256739972209,0.0012578548223319756
100,100,2,2,gini,0.9899176311125014,0.9900993330084423,0.9899176311125014,0.9899163630435668,0.0012578548223319756
300,100,2,2,gini,0.9899280575539569,0.9901093126024069,0.9899280575539569,0.9899268655904343,0.0012578548223319756
500,100,2,2,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
10,100,5,2,gini,0.981253258262955,0.9816308016340141,0.981253258262955,0.9812477877877299,0.0012578548223319756
50,100,5,2,gini,0.9870399332707749,0.9873009089473598,0.9870399332707749,0.9870380694051855,0.0012578548223319756
100,100,5,2,gini,0.9913564800333645,0.9914785113559053,0.9913564800333645,0.9913559570573293,0.0012578548223319756
300,100,5,2,gini,0.9899176311125014,0.9900590831682481,0.9899176311125014,0.9899166609418941,0.0012578548223319756
500,100,5,2,gini,0.988478782191638,0.9887198648045084,0.988478782191638,0.9884772163632659,0.0012578548223319756
10,300,2,1,gini,0.9683244708580961,0.968751856826805,0.9683244708580961,0.968317752666217,0.0012578548223319756
50,300,2,1,gini,0.9942446043165468,0.9943245403677057,0.9942446043165468,0.9942437102513516,0.0012578548223319756
100,300,2,1,gini,0.9913669064748202,0.9914884909498698,0.9913669064748202,0.9913664596041969,0.0012578548223319756
300,300,2,1,gini,0.9884892086330936,0.988769257885617,0.9884892086330936,0.9884869738172345,0.0012578548223319756
500,300,2,1,gini,0.9899280575539569,0.9901093126024069,0.9899280575539569,0.9899268655904343,0.0012578548223319756
10,300,5,1,gini,0.9639870712125951,0.9644625713796249,0.9639870712125951,0.9639757136754021,0.0012578548223319756
50,300,5,1,gini,0.9870399332707749,0.9872216351667158,0.9870399332707749,0.9870386652018401,0.0012578548223319756
100,300,5,1,gini,0.9899176311125014,0.9902173442745763,0.9899176311125014,0.9899145739406112,0.0012578548223319756
300,300,5,1,gini,0.9913669064748202,0.9914884909498698,0.9913669064748202,0.9913664596041969,0.0012578548223319756
500,300,5,1,gini,0.9899280575539569,0.9901093126024069,0.9899280575539569,0.9899268655904343,0.0012578548223319756
10,300,2,2,gini,0.9726097382963195,0.9729025860655774,0.9726097382963195,0.9726043750107433,0.0012578548223319756
50,300,2,2,gini,0.9841622354290482,0.9844598709539074,0.9841622354290482,0.984158433395678,0.0012578548223319756
100,300,2,2,gini,0.9913564800333645,0.9915587369138894,0.9913564800333645,0.9913552119644301,0.0012578548223319756
300,300,2,2,gini,0.9884892086330936,0.988769257885617,0.9884892086330936,0.9884869738172345,0.0012578548223319756
500,300,2,2,gini,0.9899280575539569,0.9901093126024069,0.9899280575539569,0.9899268655904343,0.0012578548223319756
10,300,5,2,gini,0.9726305911792306,0.9730469673237323,0.9726305911792306,0.9726258920272915,0.0012578548223319756
50,300,5,2,gini,0.9827233865081848,0.9830797200667293,0.9827233865081848,0.9827195851696958,0.0012578548223319756
100,300,5,2,gini,0.9913669064748202,0.9915670280676867,0.9913669064748202,0.9913654167518601,0.0012578548223319756
300,300,5,2,gini,0.9913669064748202,0.9916089663480484,0.9913669064748202,0.9913654166129703,0.0012578548223319756
500,300,5,2,gini,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
10,500,2,1,gini,0.9683140444166405,0.9690107368789732,0.9683140444166405,0.9682879854545007,0.0012578548223319756
50,500,2,1,gini,0.9870503597122301,0.9872318549468627,0.9870503597122301,0.9870493169986876,0.0012578548223319756
100,500,2,1,gini,0.9913669064748202,0.9915670280676867,0.9913669064748202,0.9913654167518601,0.0012578548223319756
300,500,2,1,gini,0.9928057553956835,0.9929873083424609,0.9928057553956835,0.992804563432161,0.0012578548223319756
500,500,2,1,gini,0.988478782191638,0.9888390022801637,0.988478782191638,0.9884754271214206,0.0012578548223319756
10,500,5,1,gini,0.9611197998123242,0.96160245360068,0.9611197998123242,0.9611100302285681,0.0012578548223319756
50,500,5,1,gini,0.9870295068293192,0.9871267256697609,0.9870295068293192,0.9870275697266327,0.0012578548223319756
100,500,5,1,gini,0.9884892086330936,0.9888464570809106,0.9884892086330936,0.9884851847142787,0.0012578548223319756
300,500,5,1,gini,0.9913669064748202,0.9914884909498698,0.9913669064748202,0.9913664596041969,0.0012578548223319756
500,500,5,1,gini,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,500,2,2,gini,0.9668751954957774,0.9676113314809006,0.9668751954957774,0.9668546505457206,0.0012578548223319756
50,500,2,2,gini,0.9899280575539569,0.9902297960424417,0.9899280575539569,0.9899262699326696,0.0012578548223319756
100,500,2,2,gini,0.9913669064748202,0.9915279044370138,0.9913669064748202,0.9913657145112976,0.0012578548223319756
300,500,2,2,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
500,500,2,2,gini,0.9884892086330936,0.988769257885617,0.9884892086330936,0.9884869738172345,0.0012578548223319756
10,500,5,2,gini,0.9726305911792306,0.9731230790262991,0.9726305911792306,0.9726231714485387,0.0012578548223319756
50,500,5,2,gini,0.9870399332707749,0.9871014576668646,0.9870399332707749,0.9870397081930667,0.0012578548223319756
100,500,5,2,gini,0.9884683557501825,0.9885891038721818,0.9884683557501825,0.9884674616849873,0.0012578548223319756
300,500,5,2,gini,0.9899176311125014,0.9900599195212983,0.9899176311125014,0.9899171081364659,0.0012578548223319756
500,500,5,2,gini,0.9928057553956835,0.9928668329442824,0.9928057553956835,0.9928056064233874,0.0012578548223319756
10,10,2,1,entropy,0.9697216140131373,0.9700858072958931,0.9697216140131373,0.969712514466524,0.0012578548223319756
50,10,2,1,entropy,0.9913669064748202,0.9915695612524065,0.9913669064748202,0.9913660127335735,0.0012578548223319756
100,10,2,1,entropy,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
300,10,2,1,entropy,0.988478782191638,0.9887198648045084,0.988478782191638,0.9884772163632659,0.0012578548223319756
500,10,2,1,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,10,5,1,entropy,0.9697841726618706,0.9701867698733222,0.9697841726618706,0.9697759778896046,0.0012578548223319756
50,10,5,1,entropy,0.9856010843499113,0.9858802425274025,0.9856010843499113,0.9855980271780214,0.0012578548223319756
100,10,5,1,entropy,0.9884683557501825,0.9885091762125249,0.9884683557501825,0.9884682067778865,0.0012578548223319756
300,10,5,1,entropy,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
500,10,5,1,entropy,0.988478782191638,0.9888403402026871,0.988478782191638,0.9884761733720395,0.0012578548223319756
10,10,2,2,entropy,0.9668960483786883,0.9671904770049455,0.9668960483786883,0.9668931420309759,0.0012578548223319756
50,10,2,2,entropy,0.9856010843499113,0.9858815804499258,0.9856010843499113,0.9855987734286401,0.0012578548223319756
100,10,2,2,entropy,0.9870399332707749,0.9875369993137543,0.9870399332707749,0.9870350889410592,0.0012578548223319756
300,10,2,2,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
500,10,2,2,entropy,0.988478782191638,0.9889161776612172,0.988478782191638,0.9884746829548219,0.0012578548223319756
10,10,5,2,entropy,0.9726305911792306,0.9732289476739119,0.9726305911792306,0.9726181286877909,0.0012578548223319756
50,10,5,2,entropy,0.9870190803878638,0.9871607598574327,0.9870190803878638,0.987018405201004,0.0012578548223319756
100,10,5,2,entropy,0.9841622354290482,0.9845401878106126,0.9841622354290482,0.9841581354048212,0.0012578548223319756
300,10,5,2,entropy,0.9856010843499113,0.9858033412304362,0.9856010843499113,0.9855998162809769,0.0012578548223319756
500,10,5,2,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,30,2,1,entropy,0.9610780940465018,0.9616981744057764,0.9610780940465018,0.9610604729415702,0.0012578548223319756
50,30,2,1,entropy,0.9812845375873216,0.9817395740512185,0.9812845375873216,0.9812792462944533,0.0012578548223319756
100,30,2,1,entropy,0.9870399332707749,0.987500285485897,0.9870399332707749,0.9870362815988395,0.0012578548223319756
300,30,2,1,entropy,0.9870399332707749,0.9874989475633738,0.9870399332707749,0.9870355353482207,0.0012578548223319756
500,30,2,1,entropy,0.9870399332707749,0.9874989475633738,0.9870399332707749,0.9870355353482207,0.0012578548223319756
10,30,5,1,entropy,0.9683140444166407,0.9686638078590516,0.9683140444166407,0.9683081525601771,0.0012578548223319756
50,30,5,1,entropy,0.9899176311125014,0.9902186821970995,0.9899176311125014,0.9899153201912301,0.0012578548223319756
100,30,5,1,entropy,0.9870399332707749,0.9874559374027196,0.9870399332707749,0.9870353868393865,0.0012578548223319756
300,30,5,1,entropy,0.988478782191638,0.9888403402026871,0.988478782191638,0.9884761733720395,0.0012578548223319756
500,30,5,1,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
10,30,2,2,entropy,0.9755187154624126,0.9758546325567643,0.9755187154624126,0.9755148289011579,0.0012578548223319756
50,30,2,2,entropy,0.9927953289542281,0.9929379152613524,0.9927953289542281,0.9927948059781926,0.0012578548223319756
100,30,2,2,entropy,0.988478782191638,0.98880038826082,0.988478782191638,0.9884764712703668,0.0012578548223319756
300,30,2,2,entropy,0.9899176311125014,0.9900599195212983,0.9899176311125014,0.9899171081364659,0.0012578548223319756
500,30,2,2,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,30,5,2,entropy,0.9726201647377749,0.9727578338714322,0.9726201647377749,0.9726185261350485,0.0012578548223319756
50,30,5,2,entropy,0.9856010843499113,0.9857610221445284,0.9856010843499113,0.9855992203455282,0.0012578548223319756
100,30,5,2,entropy,0.9841413825461371,0.9844024112043632,0.9841413825461371,0.9841396645069409,0.0012578548223319756
300,30,5,2,entropy,0.9870399332707749,0.9874978837249377,0.9870399332707749,0.9870358340339586,0.0012578548223319756
500,30,5,2,entropy,0.9870399332707749,0.9874165239155758,0.9870399332707749,0.9870361319322857,0.0012578548223319756
10,50,2,1,entropy,0.9668439161714106,0.9672850712083518,0.9668439161714106,0.9668328795221107,0.0012578548223319756
50,50,2,1,entropy,0.9870295068293192,0.9874461983651509,0.9870295068293192,0.987025483697915,0.0012578548223319756
100,50,2,1,entropy,0.988478782191638,0.9887621009831975,0.988478782191638,0.9884772162243761,0.0012578548223319756
300,50,2,1,entropy,0.9899176311125014,0.9900590831682481,0.9899176311125014,0.9899166609418941,0.0012578548223319756
500,50,2,1,entropy,0.9870399332707749,0.9875369993137543,0.9870399332707749,0.9870350889410592,0.0012578548223319756
10,50,5,1,entropy,0.9740694401000939,0.9745792260576286,0.9740694401000939,0.9740618718136798,0.0012578548223319756
50,50,5,1,entropy,0.9841622354290482,0.984384451497502,0.9841622354290482,0.9841609673601136,0.0012578548223319756
100,50,5,1,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
300,50,5,1,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
500,50,5,1,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,50,2,2,entropy,0.9668439161714106,0.9670212970607526,0.9668439161714106,0.9668421284112336,0.0012578548223319756
50,50,2,2,entropy,0.9870295068293192,0.9874073102617199,0.9870295068293192,0.9870254829105045,0.0012578548223319756
100,50,2,2,entropy,0.9870295068293192,0.9872110597760966,0.9870295068293192,0.9870283148657967,0.0012578548223319756
300,50,2,2,entropy,0.988478782191638,0.9888403402026871,0.988478782191638,0.9884761733720395,0.0012578548223319756
500,50,2,2,entropy,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
10,50,5,2,entropy,0.9740381607757274,0.974625423324694,0.9740381607757274,0.9740289123493472,0.0012578548223319756
50,50,5,2,entropy,0.9841518089875926,0.9844116011538595,0.9841518089875926,0.9841495741717333,0.0012578548223319756
100,50,5,2,entropy,0.988478782191638,0.9887621009831975,0.988478782191638,0.9884772162243761,0.0012578548223319756
300,50,5,2,entropy,0.988478782191638,0.9887198648045084,0.988478782191638,0.9884772163632659,0.0012578548223319756
500,50,5,2,entropy,0.9870399332707749,0.9872607587973887,0.9870399332707749,0.9870383674424026,0.0012578548223319756
10,100,2,1,entropy,0.9798039829006362,0.9798827667656382,0.9798039829006362,0.9798027085397996,0.0012578548223319756
50,100,2,1,entropy,0.9841622354290479,0.9844249992360237,0.9841622354290479,0.9841606694617863,0.0012578548223319756
100,100,2,1,entropy,0.988478782191638,0.9885999771611281,0.988478782191638,0.9884778120210308,0.0012578548223319756
300,100,2,1,entropy,0.9899176311125014,0.9902173442745763,0.9899176311125014,0.9899145739406112,0.0012578548223319756
500,100,2,1,entropy,0.988478782191638,0.9888403402026871,0.988478782191638,0.9884761733720395,0.0012578548223319756
10,100,5,1,entropy,0.9754978625795016,0.9756345842819881,0.9754978625795016,0.9754951549780859,0.0012578548223319756
50,100,5,1,entropy,0.9856010843499113,0.9857630336780969,0.9856010843499113,0.9856002634292841,0.0012578548223319756
100,100,5,1,entropy,0.9927953289542281,0.9929379152613524,0.9927953289542281,0.9927948059781926,0.0012578548223319756
300,100,5,1,entropy,0.9899176311125014,0.9900599195212983,0.9899176311125014,0.9899171081364659,0.0012578548223319756
500,100,5,1,entropy,0.9856010843499113,0.9859992938177322,0.9856010843499113,0.9855969843256845,0.0012578548223319756
10,100,2,2,entropy,0.9725993118548638,0.9727755726812694,0.9725993118548638,0.9725961827423901,0.0012578548223319756
50,100,2,2,entropy,0.9827233865081848,0.9832392194053577,0.9827233865081848,0.9827182442801419,0.0012578548223319756
100,100,2,2,entropy,0.9855906579084559,0.9857125402818327,0.9855906579084559,0.9855902110378325,0.0012578548223319756
300,100,2,2,entropy,0.9870399332707749,0.9874165239155758,0.9870399332707749,0.9870361319322857,0.0012578548223319756
500,100,2,2,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
10,100,5,2,entropy,0.9769679908247315,0.9772004148789989,0.9769679908247315,0.9769647863011036,0.0012578548223319756
50,100,5,2,entropy,0.9841622354290482,0.9845425602942903,0.9841622354290482,0.9841593287111221,0.0012578548223319756
100,100,5,2,entropy,0.9870399332707749,0.9872216351667158,0.9870399332707749,0.9870386652018401,0.0012578548223319756
300,100,5,2,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
500,100,5,2,entropy,0.9870399332707749,0.9874165239155758,0.9870399332707749,0.9870361319322857,0.0012578548223319756
10,300,2,1,entropy,0.9668960483786883,0.967614790808739,0.9668960483786883,0.9668708864888528,0.0012578548223319756
50,300,2,1,entropy,0.9827025336252738,0.9830616945667042,0.9827025336252738,0.9826994746965237,0.0012578548223319756
100,300,2,1,entropy,0.9870399332707749,0.9873400325780327,0.9870399332707749,0.9870377716457479,0.0012578548223319756
300,300,2,1,entropy,0.9899176311125014,0.990180394919477,0.9899176311125014,0.9899160651452394,0.0012578548223319756
500,300,2,1,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
10,300,5,1,entropy,0.961078094046502,0.9616654168509979,0.961078094046502,0.9610616296804185,0.0012578548223319756
50,300,5,1,entropy,0.9827233865081848,0.9832392194053577,0.9827233865081848,0.9827182442801419,0.0012578548223319756
100,300,5,1,entropy,0.9884683557501825,0.9888311885702705,0.9884683557501825,0.9884659591896675,0.0012578548223319756
300,300,5,1,entropy,0.9870399332707749,0.9874989475633738,0.9870399332707749,0.9870355353482207,0.0012578548223319756
500,300,5,1,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
10,300,2,2,entropy,0.9755187154624126,0.9758480042701725,0.9755187154624126,0.9755129046171918,0.0012578548223319756
50,300,2,2,entropy,0.9870503597122303,0.9872316231521825,0.9870503597122303,0.9870490187764117,0.0012578548223319756
100,300,2,2,entropy,0.9899072046710458,0.9901704069340103,0.9899072046710458,0.9899054037682955,0.0012578548223319756
300,300,2,2,entropy,0.988478782191638,0.9888390022801637,0.988478782191638,0.9884754271214206,0.0012578548223319756
500,300,2,2,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
10,300,5,2,entropy,0.9711604629340005,0.9712774539383322,0.9711604629340005,0.9711586361163169,0.0012578548223319756
50,300,5,2,entropy,0.9870399332707749,0.9874165239155758,0.9870399332707749,0.9870361319322857,0.0012578548223319756
100,300,5,2,entropy,0.9899176311125014,0.9900590831682481,0.9899176311125014,0.9899166609418941,0.0012578548223319756
300,300,5,2,entropy,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
500,300,5,2,entropy,0.988478782191638,0.988641625585019,0.988478782191638,0.9884782592156027,0.0012578548223319756
10,500,2,1,entropy,0.9769471379418204,0.9776469624446588,0.9769471379418204,0.9769343774132594,0.0012578548223319756
50,500,2,1,entropy,0.9884683557501825,0.9887920649395976,0.9884683557501825,0.9884662569491048,0.0012578548223319756
100,500,2,1,entropy,0.9870399332707749,0.9874559374027196,0.9870399332707749,0.9870353868393865,0.0012578548223319756
300,500,2,1,entropy,0.988478782191638,0.9888390022801637,0.988478782191638,0.9884754271214206,0.0012578548223319756
500,500,2,1,entropy,0.9899176311125014,0.990180394919477,0.9899176311125014,0.9899160651452394,0.0012578548223319756
10,500,5,1,entropy,0.9697320404545928,0.9703348345672238,0.9697320404545928,0.9697224185522785,0.0012578548223319756
50,500,5,1,entropy,0.9913564800333645,0.9914776750028549,0.9913564800333645,0.9913555098627574,0.0012578548223319756
100,500,5,1,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
300,500,5,1,entropy,0.9899176311125014,0.9902195185501499,0.9899176311125014,0.9899157673858021,0.0012578548223319756
500,500,5,1,entropy,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
10,500,2,2,entropy,0.9726514440621414,0.9733800629839484,0.9726514440621414,0.972628545119524,0.0012578548223319756
50,500,2,2,entropy,0.9856010843499113,0.9858027454337815,0.9856010843499113,0.9855998162809769,0.0012578548223319756
100,500,2,2,entropy,0.9870399332707749,0.987182519577899,0.9870399332707749,0.9870394102947394,0.0012578548223319756
300,500,2,2,entropy,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
500,500,2,2,entropy,0.988478782191638,0.9889161776612172,0.988478782191638,0.9884746829548219,0.0012578548223319756
10,500,5,2,entropy,0.981274111145866,0.9816124265754063,0.981274111145866,0.9812702232418328,0.0012578548223319756
50,500,5,2,entropy,0.9856010843499113,0.9860373455681127,0.9856010843499113,0.9855965379185232,0.0012578548223319756
100,500,5,2,entropy,0.9856010843499113,0.985922392520766,0.9856010843499113,0.9855987734286401,0.0012578548223319756
300,500,5,2,entropy,0.9870399332707749,0.9873393485345223,0.9870399332707749,0.9870368760988846,0.0012578548223319756
500,500,5,2,entropy,0.988478782191638,0.9888403402026871,0.988478782191638,0.9884761733720395,0.0012578548223319756
