svm__C,svm__kernel,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.01,linear,0.1,0.7363841807909605,0.15832790275793623,0.40533333333333327,0.16110469335876662,0.9111111111111111,0.1448711645600589,0.5408236021681401,0.14211727032304955,0.4870691334523255,0.15753241441721413
0.01,linear,0.2,0.9063276836158192,0.05088769594303972,0.7242857142857143,0.19753584019935552,0.6444444444444445,0.24088314876309777,0.6659774436090226,0.18454540299421018,0.6241042491731321,0.21399003509429038
0.01,linear,0.30000000000000004,0.906271186440678,0.056238248477206036,0.8157142857142856,0.23938697217889615,0.5111111111111111,0.28974232912011777,0.5996385193753615,0.2310421978374948,0.5869697768243409,0.25213465122082906
0.01,linear,0.4,0.9063276836158192,0.04808097150238842,0.9,0.22360679774997896,0.4444444444444445,0.24845199749997662,0.5682352941176471,0.21292980145113732,0.5796427339179739,0.21950539013925432
0.01,linear,0.5,0.9029943502824859,0.029871195074682878,0.9199999999999999,0.17888543819998318,0.4,0.14907119849998596,0.5457142857142857,0.14547599563543964,0.5622508867160055,0.14789745940359159
0.01,linear,0.6,0.8963276836158192,0.03610131914961421,0.9,0.22360679774997896,0.3555555555555555,0.18257418583505536,0.4942657342657343,0.19066520449826987,0.5178334385689775,0.19285142637136296
0.01,linear,0.7000000000000001,0.8796045197740113,0.03609767180929247,0.8666666666666666,0.29814239699997197,0.2444444444444444,0.18257418583505539,0.36164502164502166,0.217088150830858,0.40579931421584065,0.21911180034478606
0.01,linear,0.8,0.8729378531073447,0.03638994848484063,0.8,0.4472135954999579,0.2,0.16480441082434807,0.3085314685314685,0.22759761608950546,0.35033341397330076,0.26625122685095887
0.01,linear,0.9,0.8696045197740112,0.02715878032692405,0.8,0.4472135954999579,0.15555555555555553,0.14907119849998596,0.24545454545454545,0.23088045634909626,0.2749965015134535,0.2799354097201946
0.01,poly,0.1,0.1505084745762712,0.0011369837173727845,0.1505084745762712,0.0011369837173727845,1.0,0.0,0.2616368286445013,0.0017156531796673625,0.0,0.0
0.01,poly,0.2,0.8461581920903954,0.007253344014558579,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.010938056352464587,0.024458237545834215
0.01,poly,0.30000000000000004,0.8461581920903954,0.007253344014558579,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.010938056352464587,0.024458237545834215
