pca__n_components,svm__C,svm__kernel,threshold,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
220,0.01,linear,0.1,0.7849364791288567,0.07744619077003333,0.435879917184265,0.09281805797612026,0.9333333333333332,0.09938079899999065,0.5855943987465727,0.07530119050335088,0.5388373209641436,0.07547743696490301
220,0.01,linear,0.2,0.9201451905626135,0.01540572483756423,0.7559884559884561,0.049611766276784035,0.7333333333333334,0.16850834320114555,0.7338888888888888,0.082224099077678,0.6944788239439755,0.08652024746744924
220,0.01,linear,0.30000000000000004,0.9236539624924379,0.0230745119574001,0.8445238095238097,0.1050847298779168,0.6444444444444445,0.18257418583505536,0.7145371913947766,0.109877939260558,0.6900579514916741,0.10715241460921066
220,0.01,linear,0.4,0.9201451905626135,0.03148048776533875,0.8833333333333332,0.13629522694830107,0.5777777777777777,0.19876159799998133,0.6789355742296918,0.15514697901275362,0.6661485425906407,0.14599920212607467
220,0.01,linear,0.5,0.9131881427707198,0.034796415785073566,0.925,0.11180339887498948,0.4888888888888888,0.23040490392586357,0.6128177704648293,0.20274366472478253,0.6219847223957898,0.17513253785398739
220,0.01,linear,0.6,0.9027828191167574,0.04164056887810459,0.875,0.21650635094610965,0.4222222222222222,0.2652741419180738,0.5397308573779163,0.26260486605120775,0.5533548907981077,0.24690152391276407
220,0.01,linear,0.7000000000000001,0.8853599516031458,0.04177734221565529,0.8,0.44721359549995804,0.28888888888888886,0.23040490392586357,0.405934065934066,0.2979051766317225,0.4295805228027506,0.31184075290790864
220,0.01,linear,0.8,0.8784633998790078,0.0386384742849922,0.8,0.44721359549995804,0.24444444444444446,0.21372648957412607,0.35558441558441556,0.2739681110817365,0.39076165391614626,0.2912707765431435
220,0.01,linear,0.9,0.8679975801572898,0.031613609280885996,0.8,0.44721359549995804,0.17777777777777776,0.16850834320114555,0.2758041958041958,0.22945035285152254,0.3272918351047883,0.2529008851939334
