pca__n_components,svm__C,svm__kernel,threshold,accuracy,precision,recall,f1,mcc
220,0.01,linear,0.1,0.7849364791288567,0.435879917184265,0.9333333333333332,0.5855943987465727,0.5388373209641436
220,0.01,linear,0.2,0.9201451905626135,0.7559884559884561,0.7333333333333334,0.7338888888888888,0.6944788239439755
220,0.01,linear,0.30000000000000004,0.9236539624924379,0.8445238095238097,0.6444444444444445,0.7145371913947766,0.6900579514916741
220,0.01,linear,0.4,0.9201451905626135,0.8833333333333332,0.5777777777777777,0.6789355742296918,0.6661485425906407
220,0.01,linear,0.5,0.9131881427707198,0.925,0.4888888888888888,0.6128177704648293,0.6219847223957898
220,0.01,linear,0.6,0.9027828191167574,0.875,0.4222222222222222,0.5397308573779163,0.5533548907981077
220,0.01,linear,0.7000000000000001,0.8853599516031458,0.8,0.28888888888888886,0.405934065934066,0.4295805228027506
220,0.01,linear,0.8,0.8784633998790078,0.8,0.24444444444444446,0.35558441558441556,0.39076165391614626
220,0.01,linear,0.9,0.8679975801572898,0.8,0.17777777777777776,0.2758041958041958,0.3272918351047883
