pca__n_components,knn__n_neighbors,knn__metric,knn__weights,threshold,accuracy,precision,recall,f1,mcc
150,3,cosine,uniform,0.1,0.8090744101633394,0.43626984126984125,0.6222222222222222,0.49916764132553604,0.4075485450316198
150,3,cosine,uniform,0.2,0.8090744101633394,0.43626984126984125,0.6222222222222222,0.49916764132553604,0.4075485450316198
150,3,cosine,uniform,0.30000000000000004,0.8090744101633394,0.43626984126984125,0.6222222222222222,0.49916764132553604,0.4075485450316198
150,3,cosine,uniform,0.4,0.8543254688445252,0.5233333333333333,0.24444444444444446,0.3304029304029304,0.28974624332589033
150,3,cosine,uniform,0.5,0.8543254688445252,0.5233333333333333,0.24444444444444446,0.3304029304029304,0.28974624332589033
150,3,cosine,uniform,0.6,0.8543254688445252,0.5233333333333333,0.24444444444444446,0.3304029304029304,0.28974624332589033
150,3,cosine,uniform,0.7000000000000001,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862
150,3,cosine,uniform,0.8,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862
150,3,cosine,uniform,0.9,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862
150,3,cosine,distance,0.1,0.854204476709014,0.5332167832167832,0.6,0.5557575757575757,0.4769076726324527
150,3,cosine,distance,0.2,0.8646098003629763,0.5681818181818181,0.6,0.5754621848739496,0.5014079957769454
150,3,cosine,distance,0.30000000000000004,0.8681790683605566,0.5888888888888888,0.5111111111111112,0.5422222222222222,0.4708210767704112
150,3,cosine,distance,0.4,0.8820931639443435,0.740952380952381,0.37777777777777777,0.48398268398268396,0.4665198303381704
150,3,cosine,distance,0.5,0.878584392014519,0.7742857142857142,0.3333333333333333,0.4464535464535465,0.4455500397908122
150,3,cosine,distance,0.6,0.878584392014519,0.7742857142857142,0.3333333333333333,0.4464535464535465,0.4455500397908122
150,3,cosine,distance,0.7000000000000001,0.8819721718088325,0.86,0.28888888888888886,0.4233766233766234,0.4513328157534395
150,3,cosine,distance,0.8,0.8784633998790079,0.86,0.26666666666666666,0.39064935064935064,0.42497705452816736
150,3,cosine,distance,0.9,0.8784029038112522,0.9,0.2444444444444444,0.35944055944055947,0.38086325870547
150,3,euclidean,uniform,0.1,0.8090139140955838,0.42892857142857144,0.6,0.4918605465069323,0.3939483675779497
150,3,euclidean,uniform,0.2,0.8090139140955838,0.42892857142857144,0.6,0.4918605465069323,0.3939483675779497
150,3,euclidean,uniform,0.30000000000000004,0.8090139140955838,0.42892857142857144,0.6,0.4918605465069323,0.3939483675779497
150,3,euclidean,uniform,0.4,0.8543254688445252,0.5999999999999999,0.17777777777777776,0.2727272727272727,0.2696170339722582
150,3,euclidean,uniform,0.5,0.8543254688445252,0.5999999999999999,0.17777777777777776,0.2727272727272727,0.2696170339722582
150,3,euclidean,uniform,0.6,0.8543254688445252,0.5999999999999999,0.17777777777777776,0.2727272727272727,0.2696170339722582
150,3,euclidean,uniform,0.7000000000000001,0.854204476709014,1.0,0.06666666666666667,0.11272727272727275,0.14988861120647756
150,3,euclidean,uniform,0.8,0.854204476709014,1.0,0.06666666666666667,0.11272727272727275,0.14988861120647756
150,3,euclidean,uniform,0.9,0.854204476709014,1.0,0.06666666666666667,0.11272727272727275,0.14988861120647756
150,3,euclidean,distance,0.1,0.8506957047791893,0.5366666666666667,0.6,0.5503105590062111,0.4744087570192395
150,3,euclidean,distance,0.2,0.8575922565033274,0.5533333333333333,0.5777777777777777,0.5533333333333332,0.4774737083054322
150,3,euclidean,distance,0.30000000000000004,0.8749546279491833,0.65,0.5555555555555556,0.578974358974359,0.521503451009319
150,3,euclidean,distance,0.4,0.8889897156684814,0.8742857142857143,0.37777777777777777,0.5100899100899101,0.5185342432628173
150,3,euclidean,distance,0.5,0.892377495462795,0.9199999999999999,0.3555555555555555,0.4971028971028971,0.5219631354804009
150,3,euclidean,distance,0.6,0.892377495462795,0.9199999999999999,0.3555555555555555,0.4971028971028971,0.5219631354804009
150,3,euclidean,distance,0.7000000000000001,0.8818511796733212,1.0,0.2444444444444444,0.37272727272727274,0.4150376255244096
150,3,euclidean,distance,0.8,0.8818511796733212,1.0,0.2444444444444444,0.37272727272727274,0.4150376255244096
150,3,euclidean,distance,0.9,0.8818511796733212,1.0,0.2444444444444444,0.37272727272727274,0.4150376255244096
150,5,cosine,uniform,0.1,0.7084694494857834,0.30054061624649864,0.6444444444444445,0.40109838561850947,0.28273833838704443
150,5,cosine,uniform,0.2,0.7084694494857834,0.30054061624649864,0.6444444444444445,0.40109838561850947,0.28273833838704443
150,5,cosine,uniform,0.30000000000000004,0.8543254688445252,0.5406060606060605,0.37777777777777777,0.4238095238095238,0.3650462266445495
150,5,cosine,uniform,0.4,0.8543254688445252,0.5406060606060605,0.37777777777777777,0.4238095238095238,0.3650462266445495
150,5,cosine,uniform,0.5,0.8613430127041741,0.6,0.22222222222222224,0.3090909090909091,0.3009312283167659
150,5,cosine,uniform,0.6,0.8613430127041741,0.6,0.22222222222222224,0.3090909090909091,0.3009312283167659
150,5,cosine,uniform,0.7000000000000001,0.8612220205686631,1.0,0.11111111111111112,0.18545454545454548,0.23796571241658643
150,5,cosine,uniform,0.8,0.8612220205686631,1.0,0.11111111111111112,0.18545454545454548,0.23796571241658643
150,5,cosine,uniform,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,cosine,distance,0.1,0.8161524500907442,0.43983516483516477,0.6,0.49951496329757195,0.4041730134453651
