pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,1,0.1,0.5,0.23684210526315788,1.0,0.3829787234042553,0.31091839290429074
150,3,0.01,100,1,0.2,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
150,3,0.01,100,1,0.30000000000000004,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
150,3,0.01,100,1,0.4,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
150,3,0.01,100,1,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,3,0.01,100,1,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,100,1,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.1,0.3275862068965517,0.1590909090909091,0.7777777777777778,0.2641509433962264,0.019186261048223338
150,3,0.01,100,2,0.2,0.7758620689655172,0.375,0.6666666666666666,0.48,0.3747367070507946
150,3,0.01,100,2,0.30000000000000004,0.8275862068965517,0.42857142857142855,0.3333333333333333,0.375,0.27974966555605196
150,3,0.01,100,2,0.4,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,3,0.01,100,2,0.5,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,100,2,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,100,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.1,0.3448275862068966,0.19148936170212766,1.0,0.32142857142857145,0.20733404864867003
150,3,0.01,100,3,0.2,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
150,3,0.01,100,3,0.30000000000000004,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
150,3,0.01,100,3,0.4,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
150,3,0.01,100,3,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.1,0.42105263157894735,0.21428571428571427,1.0,0.35294117647058826,0.25877458475338283
150,3,0.01,100,4,0.2,0.8596491228070176,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5672953457626894
150,3,0.01,100,4,0.30000000000000004,0.8947368421052632,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6041666666666666
150,3,0.01,100,4,0.4,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
150,3,0.01,100,4,0.5,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
150,3,0.01,100,4,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,100,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
