dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,threshold,accuracy,precision,recall,f1,mcc
10,5,2,entropy,log2,0.1,0.6284936479128855,0.3208852258852259,0.7555555555555555,0.4086854591365333,0.3109038109114603
10,5,2,entropy,log2,0.2,0.8332728372655778,0.4798319327731092,0.4666666666666666,0.4237883855275159,0.36208629976887946
10,5,2,entropy,log2,0.30000000000000004,0.8437991530550514,0.5032085561497326,0.4666666666666666,0.4394405594405594,0.3813232727822948
10,5,2,entropy,log2,0.4,0.8542649727767696,0.6,0.3555555555555555,0.4106493506493506,0.3713370834316381
10,5,2,entropy,log2,0.5,0.8680580762250454,0.7333333333333333,0.3555555555555555,0.43004329004329006,0.4260996623161888
10,5,2,entropy,log2,0.6,0.8646098003629763,0.7333333333333333,0.22222222222222224,0.3193939393939394,0.3384296177626644
10,5,2,entropy,log2,0.7000000000000001,0.8646098003629763,0.75,0.2,0.305034965034965,0.33188147563677817
10,5,2,entropy,log2,0.8,0.8611615245009074,0.8,0.15555555555555553,0.25272727272727274,0.3042671696267769
10,5,2,entropy,log2,0.9,0.8611615245009074,0.8,0.15555555555555553,0.25272727272727274,0.3042671696267769
10,5,2,entropy,sqrt,0.1,0.8678765880217785,0.5505250305250305,0.8444444444444444,0.6601742058263798,0.6092738757953111
10,5,2,entropy,sqrt,0.2,0.8853599516031458,0.5974603174603175,0.8222222222222222,0.6855708110856853,0.6350249923161061
10,5,2,entropy,sqrt,0.30000000000000004,0.8922565033272838,0.6229148629148629,0.8,0.6955708110856852,0.6427828163764294
10,5,2,entropy,sqrt,0.4,0.8957047791893527,0.634025974025974,0.8,0.7007995692556198,0.6504925669433229
10,5,2,entropy,sqrt,0.5,0.8992135511191772,0.6625974025974026,0.7333333333333333,0.6866691344730111,0.6352563244481427
10,5,2,entropy,sqrt,0.6,0.9062310949788264,0.7216450216450216,0.6888888888888889,0.691498599439776,0.6458785808295522
10,5,2,entropy,sqrt,0.7000000000000001,0.899092558983666,0.7216450216450216,0.5777777777777777,0.6316666666666666,0.5859194945148295
10,5,2,entropy,sqrt,0.8,0.899092558983666,0.7216450216450216,0.5777777777777777,0.6316666666666666,0.5859194945148295
10,5,2,entropy,sqrt,0.9,0.9061101028433152,0.7716450216450216,0.5777777777777777,0.643974358974359,0.610778207614637
10,5,2,gini,log2,0.1,0.7357531760435572,0.3526751207729469,0.7555555555555555,0.45750155748683924,0.38159290480222197
10,5,2,gini,log2,0.2,0.8021778584392015,0.5107843137254902,0.5777777777777777,0.42330680813439436,0.38304524019657066
10,5,2,gini,log2,0.30000000000000004,0.8437386569872958,0.5977591036414566,0.5333333333333333,0.46448717948717955,0.43356962707367075
10,5,2,gini,log2,0.4,0.854204476709014,0.6466666666666667,0.3555555555555555,0.4076190476190476,0.3770320289946736
10,5,2,gini,log2,0.5,0.8679975801572898,0.78,0.3555555555555555,0.427012987012987,0.4317946078792243
10,5,2,gini,log2,0.6,0.8680580762250454,0.8099999999999999,0.22222222222222224,0.322957042957043,0.35815080494485063
10,5,2,gini,log2,0.7000000000000001,0.868118572292801,0.85,0.2,0.3086713286713287,0.3578214932550082
10,5,2,gini,log2,0.8,0.868118572292801,0.85,0.2,0.3086713286713287,0.3578214932550082
10,5,2,gini,log2,0.9,0.868118572292801,0.85,0.2,0.3086713286713287,0.3578214932550082
10,5,2,gini,sqrt,0.1,0.8851784633998789,0.5989861119272885,0.9111111111111111,0.7191770548292288,0.6769603928063666
10,5,2,gini,sqrt,0.2,0.9131881427707199,0.6806526806526807,0.888888888888889,0.7672089314194578,0.7279425957891617
10,5,2,gini,sqrt,0.30000000000000004,0.9200846944948579,0.6970629370629371,0.888888888888889,0.7793301435406699,0.7412028048516068
10,5,2,gini,sqrt,0.4,0.9306110102843315,0.733986013986014,0.888888888888889,0.8022966507177033,0.7672607301876175
10,5,2,gini,sqrt,0.5,0.9235934664246823,0.7313886113886114,0.8222222222222222,0.7672966507177034,0.7287304259636104
10,5,2,gini,sqrt,0.6,0.9375075620084694,0.8216450216450216,0.7777777777777778,0.7948039215686274,0.7614500532759998
10,5,2,gini,sqrt,0.7000000000000001,0.9375075620084694,0.8216450216450216,0.7777777777777778,0.7948039215686274,0.7614500532759998
10,5,2,gini,sqrt,0.8,0.9375075620084694,0.8216450216450216,0.7777777777777778,0.7948039215686274,0.7614500532759998
10,5,2,gini,sqrt,0.9,0.9375075620084694,0.8216450216450216,0.7777777777777778,0.7948039215686274,0.7614500532759998
10,5,5,entropy,log2,0.1,0.4267392619479734,0.2198839526792599,0.9111111111111111,0.34892213812122275,0.1952912515815119
10,5,5,entropy,log2,0.2,0.7920145190562613,0.3236363636363636,0.3111111111111111,0.2828037836526801,0.19556951707433615
10,5,5,entropy,log2,0.30000000000000004,0.809255898366606,0.3036363636363636,0.28888888888888886,0.2617511520737327,0.18946138695475834
10,5,5,entropy,log2,0.4,0.8437991530550514,0.4033333333333333,0.17777777777777776,0.2446886446886447,0.19908460415527157
10,5,5,entropy,log2,0.5,0.843859649122807,0.6333333333333333,0.13333333333333333,0.20093240093240095,0.18588666305124804
10,5,5,entropy,log2,0.6,0.8507562008469449,0.9,0.08888888888888888,0.13426573426573427,0.13991815396742477
10,5,5,entropy,log2,0.7000000000000001,0.854204476709014,0.9333333333333332,0.08888888888888888,0.1393939393939394,0.15406415457237127
10,5,5,entropy,log2,0.8,0.854204476709014,0.9333333333333332,0.08888888888888888,0.1393939393939394,0.15406415457237127
