rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,entropy,0.5,0.9617664851784633,0.9464285714285714,0.8,0.8661764705882353,0.8487345249535231
50,10,5,2,gini,0.5,0.9340592861464005,0.9714285714285713,0.6,0.7278571428571429,0.7271414356330365
50,10,5,5,entropy,0.5,0.9339382940108892,0.9666666666666666,0.6,0.7342673992673993,0.7287116073737152
50,10,5,5,gini,0.5,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
50,10,10,2,entropy,0.5,0.9409558378705384,0.9178571428571429,0.6888888888888889,0.782563025210084,0.7623084375972206
50,10,10,2,gini,0.5,0.9409558378705384,1.0,0.6222222222222222,0.760934065934066,0.7600662795679766
50,10,10,5,entropy,0.5,0.9339382940108892,0.9666666666666666,0.6,0.7342673992673993,0.7287116073737152
50,10,10,5,gini,0.5,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
50,20,5,2,entropy,0.5,0.9582577132486388,0.9019841269841269,0.8222222222222222,0.8584967320261437,0.8365236574148589
50,20,5,2,gini,0.5,0.9444646098003631,0.9380952380952381,0.6888888888888889,0.7933333333333333,0.7749773575069362
50,20,5,5,entropy,0.5,0.9304900181488204,0.9666666666666666,0.5777777777777777,0.7171245421245421,0.713528349854727
50,20,5,5,gini,0.5,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
50,20,10,2,entropy,0.5,0.9408953418027828,0.85,0.7555555555555555,0.8,0.7672907492939597
50,20,10,2,gini,0.5,0.9444041137326075,1.0,0.6444444444444445,0.7807142857142857,0.7763912275738077
50,20,10,5,entropy,0.5,0.9304900181488204,0.9666666666666666,0.5777777777777777,0.7171245421245421,0.713528349854727
50,20,10,5,gini,0.5,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
50,30,5,2,entropy,0.5,0.9582577132486388,0.9019841269841269,0.8222222222222222,0.8584967320261437,0.8365236574148589
50,30,5,2,gini,0.5,0.9444646098003631,0.9380952380952381,0.6888888888888889,0.7933333333333333,0.7749773575069362
50,30,5,5,entropy,0.5,0.9304900181488204,0.9666666666666666,0.5777777777777777,0.7171245421245421,0.713528349854727
50,30,5,5,gini,0.5,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
50,30,10,2,entropy,0.5,0.9408953418027828,0.85,0.7555555555555555,0.8,0.7672907492939597
50,30,10,2,gini,0.5,0.9444041137326075,1.0,0.6444444444444445,0.7807142857142857,0.7763912275738077
50,30,10,5,entropy,0.5,0.9304900181488204,0.9666666666666666,0.5777777777777777,0.7171245421245421,0.713528349854727
50,30,10,5,gini,0.5,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,10,5,2,entropy,0.5,0.9582577132486388,0.975,0.7555555555555555,0.8479411764705883,0.8354246195304793
100,10,5,2,gini,0.5,0.951361161524501,1.0,0.6888888888888889,0.8128571428571428,0.8059634087101003
100,10,5,5,entropy,0.5,0.9166969147005444,0.9666666666666666,0.48888888888888893,0.6454212454212455,0.6513236472561653
100,10,5,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
100,10,10,2,entropy,0.5,0.9444041137326075,0.9714285714285713,0.6666666666666666,0.7878571428571429,0.7766703682306666
100,10,10,2,gini,0.5,0.937568058076225,1.0,0.6,0.745934065934066,0.7457121050494585
100,10,10,5,entropy,0.5,0.9166969147005444,0.9666666666666666,0.48888888888888893,0.6454212454212455,0.6513236472561653
100,10,10,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
100,20,5,2,entropy,0.5,0.9582577132486388,0.95,0.7777777777777778,0.8526470588235295,0.8359534537978549
100,20,5,2,gini,0.5,0.9548094373865699,0.975,0.7333333333333333,0.8347058823529412,0.8216482867119671
100,20,5,5,entropy,0.5,0.9166969147005444,0.9666666666666666,0.48888888888888893,0.6454212454212455,0.6513236472561653
100,20,5,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
100,20,10,2,entropy,0.5,0.9478523895946763,0.9464285714285714,0.711111111111111,0.8097058823529413,0.7923824600170304
100,20,10,2,gini,0.5,0.9375075620084694,1.0,0.6,0.745934065934066,0.7456947305000653
100,20,10,5,entropy,0.5,0.9166969147005444,0.9666666666666666,0.48888888888888893,0.6454212454212455,0.6513236472561653
100,20,10,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
100,30,5,2,entropy,0.5,0.9582577132486388,0.95,0.7777777777777778,0.8526470588235295,0.8359534537978549
100,30,5,2,gini,0.5,0.9548094373865699,0.975,0.7333333333333333,0.8347058823529412,0.8216482867119671
100,30,5,5,entropy,0.5,0.9166969147005444,0.9666666666666666,0.48888888888888893,0.6454212454212455,0.6513236472561653
100,30,5,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
100,30,10,2,entropy,0.5,0.9478523895946763,0.9464285714285714,0.711111111111111,0.8097058823529413,0.7923824600170304
100,30,10,2,gini,0.5,0.9375075620084694,1.0,0.6,0.745934065934066,0.7456947305000653
100,30,10,5,entropy,0.5,0.9166969147005444,0.9666666666666666,0.48888888888888893,0.6454212454212455,0.6513236472561653
100,30,10,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
200,10,5,2,entropy,0.5,0.9444041137326075,0.9714285714285713,0.6666666666666666,0.79,0.7774820766817435
200,10,5,2,gini,0.5,0.9444646098003631,0.9714285714285713,0.6666666666666666,0.775,0.7710923873012108
200,10,5,5,entropy,0.5,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769231,0.6317664517981927
200,10,5,5,gini,0.5,0.9062310949788264,0.95,0.4222222222222222,0.5813186813186814,0.5954522888946391
200,10,10,2,entropy,0.5,0.9306110102843315,0.9714285714285713,0.5777777777777777,0.7161538461538461,0.7144656656321049
