pca__n_components,n_neighbors,weights,metric,threshold,accuracy,precision,recall,f1,mcc
150,3,distance,cosine,0.1,0.854204476709014,0.5332167832167832,0.6,0.5557575757575758,0.47690767263245276
150,3,distance,cosine,0.2,0.8646098003629763,0.5681818181818181,0.6,0.5754621848739496,0.5014079957769454
150,3,distance,cosine,0.30000000000000004,0.8681790683605566,0.5888888888888889,0.5111111111111111,0.5422222222222223,0.4708210767704112
150,3,distance,cosine,0.4,0.8820931639443437,0.740952380952381,0.37777777777777777,0.48398268398268396,0.4665198303381704
150,3,distance,cosine,0.5,0.878584392014519,0.7742857142857142,0.3333333333333333,0.4464535464535465,0.4455500397908122
150,3,distance,cosine,0.6,0.878584392014519,0.7742857142857142,0.3333333333333333,0.4464535464535465,0.4455500397908122
150,3,distance,cosine,0.7000000000000001,0.8819721718088325,0.86,0.28888888888888886,0.4233766233766234,0.4513328157534394
150,3,distance,cosine,0.8,0.8784633998790079,0.86,0.26666666666666666,0.39064935064935064,0.42497705452816736
150,3,distance,cosine,0.9,0.8784029038112523,0.9,0.2444444444444444,0.35944055944055947,0.38086325870547
150,3,distance,euclidean,0.1,0.8506957047791893,0.5366666666666667,0.6,0.5503105590062112,0.4744087570192395
150,3,distance,euclidean,0.2,0.8575922565033272,0.5533333333333333,0.5777777777777777,0.5533333333333333,0.47747370830543207
150,3,distance,euclidean,0.30000000000000004,0.8749546279491833,0.65,0.5555555555555556,0.578974358974359,0.5215034510093192
150,3,distance,euclidean,0.4,0.8889897156684816,0.8742857142857143,0.37777777777777777,0.5100899100899101,0.5185342432628174
150,3,distance,euclidean,0.5,0.8923774954627948,0.9199999999999999,0.3555555555555555,0.4971028971028971,0.5219631354804009
150,3,distance,euclidean,0.6,0.8923774954627948,0.9199999999999999,0.3555555555555555,0.4971028971028971,0.5219631354804009
150,3,distance,euclidean,0.7000000000000001,0.8818511796733212,1.0,0.2444444444444444,0.37272727272727274,0.4150376255244096
150,3,distance,euclidean,0.8,0.8818511796733212,1.0,0.2444444444444444,0.37272727272727274,0.4150376255244096
150,3,distance,euclidean,0.9,0.8818511796733212,1.0,0.2444444444444444,0.37272727272727274,0.4150376255244096
150,3,uniform,cosine,0.1,0.8090744101633394,0.43626984126984125,0.6222222222222222,0.49916764132553604,0.40754854503161975
150,3,uniform,cosine,0.2,0.8090744101633394,0.43626984126984125,0.6222222222222222,0.49916764132553604,0.40754854503161975
150,3,uniform,cosine,0.30000000000000004,0.8090744101633394,0.43626984126984125,0.6222222222222222,0.49916764132553604,0.40754854503161975
150,3,uniform,cosine,0.4,0.854325468844525,0.5233333333333333,0.2444444444444444,0.3304029304029304,0.2897462433258903
150,3,uniform,cosine,0.5,0.854325468844525,0.5233333333333333,0.2444444444444444,0.3304029304029304,0.2897462433258903
150,3,uniform,cosine,0.6,0.854325468844525,0.5233333333333333,0.2444444444444444,0.3304029304029304,0.2897462433258903
150,3,uniform,cosine,0.7000000000000001,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862
150,3,uniform,cosine,0.8,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862
150,3,uniform,cosine,0.9,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862
150,3,uniform,euclidean,0.1,0.8090139140955838,0.42892857142857144,0.6,0.4918605465069323,0.3939483675779497
150,3,uniform,euclidean,0.2,0.8090139140955838,0.42892857142857144,0.6,0.4918605465069323,0.3939483675779497
150,3,uniform,euclidean,0.30000000000000004,0.8090139140955838,0.42892857142857144,0.6,0.4918605465069323,0.3939483675779497
150,3,uniform,euclidean,0.4,0.8543254688445252,0.6,0.17777777777777776,0.2727272727272727,0.2696170339722582
150,3,uniform,euclidean,0.5,0.8543254688445252,0.6,0.17777777777777776,0.2727272727272727,0.2696170339722582
150,3,uniform,euclidean,0.6,0.8543254688445252,0.6,0.17777777777777776,0.2727272727272727,0.2696170339722582
150,3,uniform,euclidean,0.7000000000000001,0.854204476709014,1.0,0.06666666666666667,0.11272727272727275,0.14988861120647756
150,3,uniform,euclidean,0.8,0.854204476709014,1.0,0.06666666666666667,0.11272727272727275,0.14988861120647756
150,3,uniform,euclidean,0.9,0.854204476709014,1.0,0.06666666666666667,0.11272727272727275,0.14988861120647756
150,5,distance,cosine,0.1,0.8161524500907442,0.43983516483516477,0.6,0.49951496329757195,0.4041730134453651
150,5,distance,cosine,0.2,0.8612220205686629,0.5622222222222222,0.5111111111111111,0.528187134502924,0.45290495017471794
150,5,distance,cosine,0.30000000000000004,0.8889897156684816,0.7642857142857142,0.4666666666666667,0.5539618276460382,0.5300306828179762
150,5,distance,cosine,0.4,0.8960072595281308,0.8242857142857144,0.4444444444444445,0.5543206793206793,0.5449107375627529
150,5,distance,cosine,0.5,0.8820931639443437,0.7742857142857142,0.3555555555555555,0.4662337662337662,0.46188476088379576
150,5,distance,cosine,0.6,0.8820326678765881,0.8142857142857143,0.3333333333333333,0.4552447552447553,0.4631575839529517
150,5,distance,cosine,0.7000000000000001,0.8888687235329703,1.0,0.28888888888888886,0.43580419580419577,0.4947552534348783
150,5,distance,cosine,0.8,0.8888687235329703,1.0,0.28888888888888886,0.43580419580419577,0.4947552534348783
150,5,distance,cosine,0.9,0.8713853599516032,1.0,0.17777777777777776,0.27999999999999997,0.3415125543464319
150,5,distance,euclidean,0.1,0.7985480943738656,0.4073529411764706,0.6222222222222222,0.48702564102564094,0.38631183239926703
