n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,0.9340592861464005,0.9714285714285715,0.5999999999999999,0.7278571428571429,0.7271414356330366
100,10,5,2,gini,0.951361161524501,1.0,0.6888888888888889,0.8128571428571428,0.8059634087101003
200,10,5,2,gini,0.9444646098003631,0.9714285714285715,0.6666666666666666,0.775,0.7710923873012108
50,10,10,2,gini,0.9409558378705386,1.0,0.6222222222222222,0.760934065934066,0.7600662795679766
100,10,10,2,gini,0.937568058076225,1.0,0.6,0.745934065934066,0.7457121050494585
200,10,10,2,gini,0.9272232304900181,1.0,0.5333333333333333,0.6837912087912088,0.695378685464722
50,10,5,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,10,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
200,10,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
50,10,10,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,10,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
200,10,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
50,20,5,2,gini,0.9444646098003631,0.9380952380952381,0.6888888888888889,0.7933333333333333,0.7749773575069362
100,20,5,2,gini,0.9548094373865699,0.975,0.7333333333333333,0.8347058823529411,0.8216482867119673
200,20,5,2,gini,0.9479128856624319,0.9714285714285715,0.6888888888888889,0.7980769230769231,0.7891131143740218
50,20,10,2,gini,0.9444041137326075,1.0,0.6444444444444444,0.7807142857142857,0.7763912275738079
100,20,10,2,gini,0.9375075620084695,1.0,0.5999999999999999,0.745934065934066,0.7456947305000653
200,20,10,2,gini,0.9341197822141559,1.0,0.5777777777777777,0.7207142857142858,0.7268868909895414
50,20,5,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,20,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
200,20,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
50,20,10,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,20,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
200,20,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
50,30,5,2,gini,0.9444646098003631,0.9380952380952381,0.6888888888888889,0.7933333333333333,0.7749773575069362
100,30,5,2,gini,0.9548094373865699,0.975,0.7333333333333333,0.8347058823529411,0.8216482867119673
200,30,5,2,gini,0.9479128856624319,0.9714285714285715,0.6888888888888889,0.7980769230769231,0.7891131143740218
50,30,10,2,gini,0.9444041137326075,1.0,0.6444444444444444,0.7807142857142857,0.7763912275738079
100,30,10,2,gini,0.9375075620084695,1.0,0.5999999999999999,0.745934065934066,0.7456947305000653
200,30,10,2,gini,0.9341197822141559,1.0,0.5777777777777777,0.7207142857142858,0.7268868909895414
50,30,5,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,30,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
200,30,5,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
50,30,10,5,gini,0.9097398669086509,0.96,0.4444444444444445,0.5958041958041959,0.6109683099843991
100,30,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
200,30,10,5,gini,0.9062310949788264,0.95,0.42222222222222217,0.5813186813186814,0.5954522888946391
50,10,5,2,entropy,0.9617664851784635,0.9464285714285715,0.7999999999999999,0.8661764705882353,0.8487345249535231
100,10,5,2,entropy,0.9582577132486388,0.975,0.7555555555555554,0.8479411764705882,0.8354246195304793
200,10,5,2,entropy,0.9444041137326075,0.9714285714285715,0.6666666666666666,0.79,0.7774820766817435
50,10,10,2,entropy,0.9409558378705384,0.9178571428571429,0.6888888888888889,0.782563025210084,0.7623084375972206
100,10,10,2,entropy,0.9444041137326075,0.9714285714285715,0.6666666666666666,0.7878571428571428,0.7766703682306667
200,10,10,2,entropy,0.9306110102843317,0.9714285714285715,0.5777777777777777,0.7161538461538461,0.7144656656321049
50,10,5,5,entropy,0.9339382940108892,0.9666666666666668,0.6,0.7342673992673994,0.7287116073737152
100,10,5,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653
200,10,5,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927
50,10,10,5,entropy,0.9339382940108892,0.9666666666666668,0.6,0.7342673992673994,0.7287116073737152
100,10,10,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653
200,10,10,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927
50,20,5,2,entropy,0.9582577132486388,0.9019841269841269,0.8222222222222222,0.8584967320261437,0.8365236574148588
100,20,5,2,entropy,0.9582577132486388,0.95,0.7777777777777777,0.8526470588235293,0.8359534537978549
200,20,5,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304
50,20,10,2,entropy,0.940895341802783,0.85,0.7555555555555555,0.8,0.7672907492939598
100,20,10,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304
200,20,10,2,entropy,0.9375075620084695,0.9428571428571428,0.6444444444444444,0.7628571428571428,0.7474352680464306
50,20,5,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727
100,20,5,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653
200,20,5,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927
50,20,10,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727
100,20,10,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653
200,20,10,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927
50,30,5,2,entropy,0.9582577132486388,0.9019841269841269,0.8222222222222222,0.8584967320261437,0.8365236574148588
100,30,5,2,entropy,0.9582577132486388,0.95,0.7777777777777777,0.8526470588235293,0.8359534537978549
200,30,5,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304
50,30,10,2,entropy,0.940895341802783,0.85,0.7555555555555555,0.8,0.7672907492939598
100,30,10,2,entropy,0.9478523895946763,0.9464285714285715,0.711111111111111,0.8097058823529413,0.7923824600170304
200,30,10,2,entropy,0.9375075620084695,0.9428571428571428,0.6444444444444444,0.7628571428571428,0.7474352680464306
50,30,5,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727
100,30,5,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653
200,30,5,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927
50,30,10,5,entropy,0.9304900181488203,0.9666666666666668,0.5777777777777778,0.7171245421245421,0.713528349854727
100,30,10,5,entropy,0.9166969147005444,0.9666666666666668,0.48888888888888893,0.6454212454212455,0.6513236472561653
200,30,10,5,entropy,0.9131881427707199,0.96,0.4666666666666666,0.6230769230769232,0.6317664517981927
