Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
equal Decision Tree,5-fold,0.8333333333333334,0.8,0.8888888888888888,0.8421052631578947,0.6708203932499369,"{'criterion': 'entropy', 'max_depth': 10.0, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'threshold': 0.5, 'fold': 5}"
equal Random Forest,5-fold,1.0,1.0,1.0,1.0,1.0,"{'n_estimators': 10, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'threshold': 0.5, 'fold': 4}"
equal SVM,5-fold,0.8947368421052632,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7888888888888889,"{'C': 10.0, 'kernel': 'rbf', 'threshold': 0.6, 'fold': 3}"
equal XGBoost,5-fold,0.8888888888888888,0.8181818181818182,1.0,0.9,0.7977240352174656,"{'eta': 0.3, 'max_depth': 5.0, 'n_estimators': 100.0, 'threshold': 0.2, 'fold': 5}"
not equal Decision Tree,5-fold,0.9344262295081968,0.875,0.7,0.7777777777777778,0.7462106764573243,"{'criterion': 'entropy', 'max_depth': 10.0, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'threshold': 0.1, 'fold': 1}"
not equal Random Forest,5-fold,1.0,1.0,1.0,1.0,1.0,"{'n_estimators': 50, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'threshold': 0.3, 'fold': 4}"
not equal SVM,5-fold,0.9666666666666668,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634,"{'C': 10.0, 'kernel': 'rbf', 'threshold': 0.4, 'fold': 3}"
not equal XGBoost,5-fold,0.9833333333333332,1.0,0.8888888888888888,0.9411764705882352,0.9336995618478524,"{'eta': 0.1, 'max_depth': 7.0, 'n_estimators': 100.0, 'threshold': 0.4, 'fold': 4}"
