C,kernel,accuracy,precision,recall,f1,mcc
0.01,linear,0.9096296296296296,0.7473262032085563,0.6,0.6498745819397994,0.6141281029418811
0.01,rbf,0.6995622895622896,0.4079861111111111,0.2888888888888889,0.21824956202038148,0.13259863178353334
0.01,poly,0.4073063973063973,0.1003584229390681,0.6222222222222222,0.1728395061728395,-0.021752447674062095
0.01,sigmoid,0.6493602693602694,0.32342066679416076,0.5111111111111111,0.32129173508483855,0.2025457381606001
0.1,linear,0.9096296296296296,0.7473262032085563,0.6,0.6498745819397994,0.6141281029418811
0.1,rbf,0.6995622895622896,0.4079861111111111,0.2888888888888889,0.21824956202038148,0.13259863178353334
0.1,poly,0.6328282828282829,0.2168458781362007,0.3333333333333333,0.12563543936092955,0.048505379583447465
0.1,sigmoid,0.645993265993266,0.3069371503106443,0.4888888888888889,0.30158730158730157,0.18141365346959318
1.0,linear,0.9096296296296296,0.7473262032085563,0.6,0.6498745819397994,0.6141281029418811
1.0,rbf,0.892996632996633,0.8055555555555555,0.4222222222222222,0.5381105743424585,0.5252016175490675
1.0,poly,0.6661952861952862,0.6019690576652602,0.31111111111111106,0.19375492513790385,0.1450226101910789
1.0,sigmoid,0.7493265993265993,0.30169753086419754,0.4888888888888889,0.3640661938534279,0.2375219433628318
10.0,linear,0.9096296296296296,0.7473262032085563,0.6,0.6498745819397994,0.6141281029418811
10.0,rbf,0.9029966329966331,0.7754578754578755,0.5111111111111111,0.6065800865800867,0.5755497315723269
10.0,poly,0.8728619528619529,0.6642857142857143,0.3333333333333333,0.41215970961887477,0.39612791360045135
10.0,sigmoid,0.6091245791245791,0.2157444005270092,0.5555555555555555,0.30219616838706936,0.13389999235707076
100.0,linear,0.9096296296296296,0.7473262032085563,0.6,0.6498745819397994,0.6141281029418811
100.0,rbf,0.9029966329966331,0.8015873015873015,0.4666666666666666,0.5802469135802469,0.5610332734946999
100.0,poly,0.8628956228956229,0.5794871794871795,0.3555555555555556,0.4266666666666667,0.3763126663860857
100.0,sigmoid,0.5824242424242424,0.2036602957086188,0.5555555555555555,0.28942838620257977,0.1100937104974944
