n_components,C,kernel,accuracy,precision,recall,f1,mcc
150,0.01,linear,0.9130671506352087,0.7683333333333333,0.6222222222222222,0.6708558727134578,0.6374755085479231
150,0.01,rbf,0.8370235934664247,0.5166666666666666,0.3333333333333333,0.3903169688928202,0.319637984881232
150,0.01,poly,0.5725347852389595,0.5143062200956938,0.4222222222222222,0.1415646853146853,0.04212388047428624
150,0.01,sigmoid,0.6039927404718692,0.25668003418578655,0.4666666666666667,0.2533502304147465,0.1177092284203874
150,0.1,linear,0.8992135511191772,0.7457142857142858,0.5333333333333333,0.6030364372469637,0.5698240465689876
150,0.1,rbf,0.8370235934664247,0.5166666666666666,0.3333333333333333,0.3903169688928202,0.319637984881232
150,0.1,poly,0.7023593466424682,0.8254545454545454,0.15555555555555556,0.04375,-0.06598705336226243
150,0.1,sigmoid,0.7539624924379915,0.34895752895752896,0.3555555555555555,0.2902795031055901,0.20061501167078108
150,1.0,linear,0.8992135511191772,0.7457142857142858,0.5333333333333333,0.6030364372469637,0.5698240465689876
150,1.0,rbf,0.8889897156684816,0.7872727272727272,0.48888888888888893,0.5714802844214609,0.5498033677661135
150,1.0,poly,0.719600725952813,0.7307692307692307,0.2,0.08882265275707898,0.033839898316793834
150,1.0,sigmoid,0.8093768905021174,0.4365481740481741,0.5777777777777778,0.4929292929292929,0.3882819870201873
150,10.0,linear,0.8992135511191772,0.7457142857142858,0.5333333333333333,0.6030364372469637,0.5698240465689876
150,10.0,rbf,0.9027223230490018,0.782034632034632,0.5777777777777777,0.637843137254902,0.608255724599946
150,10.0,poly,0.8470659407138535,0.6,0.15555555555555556,0.2127272727272727,0.19063546656609215
150,10.0,sigmoid,0.7952813067150635,0.42028388278388285,0.6666666666666666,0.5106147186147185,0.4117149757831885
150,100.0,linear,0.8992135511191772,0.7457142857142858,0.5333333333333333,0.6030364372469637,0.5698240465689876
150,100.0,rbf,0.9062915910465819,0.7888888888888889,0.5777777777777777,0.6445751633986928,0.6149195340019847
150,100.0,poly,0.8888082274652147,0.6892857142857143,0.5333333333333334,0.5988235294117648,0.5430943408927782
150,100.0,sigmoid,0.7396249243799153,0.3365079365079365,0.6,0.4272486772486772,0.30010333249546817
180,0.01,linear,0.9062310949788263,0.7422222222222222,0.6,0.6569561157796451,0.6125654746484939
180,0.01,rbf,0.8370235934664247,0.5166666666666666,0.3333333333333333,0.3903169688928202,0.319637984881232
180,0.01,poly,0.5725347852389595,0.5143062200956938,0.4222222222222222,0.1415646853146853,0.04212388047428624
180,0.01,sigmoid,0.6039927404718692,0.25668003418578655,0.4666666666666667,0.2533502304147465,0.1177092284203874
180,0.1,linear,0.9062310949788263,0.7422222222222222,0.6,0.6569561157796451,0.6125654746484939
180,0.1,rbf,0.8370235934664247,0.5166666666666666,0.3333333333333333,0.3903169688928202,0.319637984881232
180,0.1,poly,0.7023593466424682,0.8254545454545454,0.15555555555555556,0.04375,-0.06598705336226243
180,0.1,sigmoid,0.7643073200241984,0.34946428571428567,0.3333333333333333,0.289006968641115,0.19481801286432598
180,1.0,linear,0.9062310949788263,0.7422222222222222,0.6,0.6569561157796451,0.6125654746484939
180,1.0,rbf,0.8924984875983062,0.8,0.48888888888888893,0.5788487054740925,0.5586222048137888
180,1.0,poly,0.719600725952813,0.7307692307692307,0.2,0.08882265275707898,0.033839898316793834
180,1.0,sigmoid,0.8093768905021174,0.4365481740481741,0.5777777777777778,0.4929292929292929,0.3882819870201873
180,10.0,linear,0.9062310949788263,0.7422222222222222,0.6,0.6569561157796451,0.6125654746484939
180,10.0,rbf,0.9165759225650332,0.8333333333333334,0.6222222222222222,0.6824561403508771,0.6630875068170669
180,10.0,poly,0.8470659407138535,0.6,0.15555555555555556,0.2127272727272727,0.19063546656609215
180,10.0,sigmoid,0.7952813067150635,0.4184981684981685,0.6444444444444444,0.5029625447016751,0.40061734941728694
180,100.0,linear,0.9062310949788263,0.7422222222222222,0.6,0.6569561157796451,0.6125654746484939
180,100.0,rbf,0.9062915910465819,0.7777777777777778,0.6,0.6511111111111111,0.6205431167684247
180,100.0,poly,0.8819116757410768,0.6592857142857143,0.5333333333333334,0.5839628482972137,0.5238184836200264
180,100.0,sigmoid,0.7395644283121597,0.3398356029934977,0.6444444444444444,0.4412721686915235,0.32238984917039015
200,0.01,linear,0.9166969147005444,0.8400793650793652,0.6,0.6785947712418301,0.6568502333348756
200,0.01,rbf,0.8335753176043557,0.5033333333333333,0.31111111111111106,0.37277310924369744,0.3000873927995841
200,0.01,poly,0.5725347852389595,0.5143062200956938,0.4222222222222222,0.1415646853146853,0.04212388047428624
200,0.01,sigmoid,0.6039927404718692,0.25668003418578655,0.4666666666666667,0.2533502304147465,0.1177092284203874
200,0.1,linear,0.9166969147005444,0.8400793650793652,0.6,0.6785947712418301,0.6568502333348756
200,0.1,rbf,0.8335753176043557,0.5033333333333333,0.31111111111111106,0.37277310924369744,0.3000873927995841
200,0.1,poly,0.7023593466424682,0.8254545454545454,0.15555555555555556,0.04375,-0.06598705336226243
200,0.1,sigmoid,0.7643073200241984,0.34946428571428567,0.3333333333333333,0.289006968641115,0.19481801286432598
200,1.0,linear,0.9166969147005444,0.8400793650793652,0.6,0.6785947712418301,0.6568502333348756
200,1.0,rbf,0.8924984875983062,0.8,0.48888888888888893,0.5788487054740925,0.5586222048137888
200,1.0,poly,0.719600725952813,0.7307692307692307,0.2,0.08882265275707898,0.033839898316793834
200,1.0,sigmoid,0.8128251663641863,0.447457264957265,0.5777777777777778,0.49924508240297705,0.396139391855767
