dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,accuracy,precision,recall,f1,mcc
10,5,2,gini,,1,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
10,5,2,gini,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
10,5,2,gini,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
10,5,2,gini,,4,1.0,1.0,1.0,1.0,1.0
10,5,2,gini,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
10,5,2,gini,sqrt,1,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
10,5,2,gini,sqrt,2,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
10,5,2,gini,sqrt,3,0.8620689655172413,0.5454545454545454,0.6666666666666666,0.6,0.5214765466012004
10,5,2,gini,sqrt,4,0.8596491228070176,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4722222222222222
10,5,2,gini,sqrt,5,0.8421052631578947,0.5,0.3333333333333333,0.4,0.32179795146741913
10,5,2,gini,log2,1,0.7586206896551724,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.3517215088579076
10,5,2,gini,log2,2,0.6379310344827587,0.2857142857142857,0.8888888888888888,0.43243243243243246,0.34831880614423594
10,5,2,gini,log2,3,0.8620689655172413,0.6,0.3333333333333333,0.42857142857142855,0.37735271462657
10,5,2,gini,log2,4,0.631578947368421,0.25,0.6666666666666666,0.36363636363636365,0.2154101092138323
10,5,2,gini,log2,5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
10,5,2,entropy,,1,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
10,5,2,entropy,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
10,5,2,entropy,,3,0.896551724137931,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6831754428961164
10,5,2,entropy,,4,1.0,1.0,1.0,1.0,1.0
10,5,2,entropy,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
10,5,2,entropy,sqrt,1,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
10,5,2,entropy,sqrt,2,0.8103448275862069,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.36887782999545776
10,5,2,entropy,sqrt,3,0.8448275862068966,0.5,0.7777777777777778,0.6086956521739131,0.5372153093502535
10,5,2,entropy,sqrt,4,0.8596491228070176,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5672953457626894
10,5,2,entropy,sqrt,5,0.9298245614035088,0.8571428571428571,0.6666666666666666,0.75,0.7175105773237274
10,5,2,entropy,log2,1,0.7931034482758621,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5125535214347595
10,5,2,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
10,5,2,entropy,log2,3,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
10,5,2,entropy,log2,4,0.631578947368421,0.25,0.6666666666666666,0.36363636363636365,0.2154101092138323
10,5,2,entropy,log2,5,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
10,5,5,gini,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
