n_components,max_depth,min_samples_split,min_samples_leaf,criterion,dt__max_features,accuracy,precision,recall,f1,mcc
,10,5,2,gini,,0.9582577132486388,0.9380952380952381,0.7777777777777778,0.8465686274509803,0.8302349055452047
,10,10,2,gini,,0.9582577132486388,0.9380952380952381,0.7777777777777778,0.8465686274509803,0.8302349055452047
,10,5,5,gini,,0.951361161524501,0.8944444444444445,0.7777777777777777,0.8287581699346406,0.8054596379659262
,10,10,5,gini,,0.951361161524501,0.8944444444444445,0.7777777777777777,0.8287581699346406,0.8054596379659262
,10,5,2,gini,sqrt,0.9164549304295221,0.7300000000000001,0.7333333333333332,0.7306501547987617,0.6819384260046115
,10,10,2,gini,sqrt,0.9061101028433154,0.6944444444444444,0.711111111111111,0.7014103887168902,0.6466988499109981
,10,5,5,gini,sqrt,0.8784633998790078,0.6111904761904763,0.6888888888888889,0.6356295149638803,0.5739670481645341
,10,10,5,gini,sqrt,0.8784633998790078,0.6111904761904763,0.6888888888888889,0.6356295149638803,0.5739670481645341
,10,5,2,gini,log2,0.7162129461584997,0.4093279569892473,0.5111111111111112,0.3482335550628234,0.26479753890660795
,10,10,2,gini,log2,0.7162129461584997,0.4093279569892473,0.5111111111111112,0.3482335550628234,0.26479753890660795
,10,5,5,gini,log2,0.7160919540229884,0.3884045335658239,0.48888888888888893,0.3411036789297659,0.2567681146061913
,10,10,5,gini,log2,0.7160919540229884,0.3884045335658239,0.48888888888888893,0.3411036789297659,0.2567681146061913
,20,5,2,gini,,0.9582577132486388,0.9380952380952381,0.7777777777777778,0.8465686274509803,0.8302349055452047
,20,10,2,gini,,0.9582577132486388,0.9380952380952381,0.7777777777777778,0.8465686274509803,0.8302349055452047
,20,5,5,gini,,0.951361161524501,0.8944444444444445,0.7777777777777777,0.8287581699346406,0.8054596379659262
,20,10,5,gini,,0.951361161524501,0.8944444444444445,0.7777777777777777,0.8287581699346406,0.8054596379659262
,20,5,2,gini,sqrt,0.9130671506352087,0.7805555555555556,0.6444444444444445,0.6998692810457516,0.6575885473105979
,20,10,2,gini,sqrt,0.8925589836660617,0.670940170940171,0.711111111111111,0.6767676767676767,0.6229734862230212
,20,5,5,gini,sqrt,0.8853599516031458,0.6137878787878789,0.7555555555555555,0.6706295149638803,0.6124295970217498
,20,10,5,gini,sqrt,0.8853599516031458,0.6137878787878789,0.7555555555555555,0.6706295149638803,0.6124295970217498
,20,5,2,gini,log2,0.764670296430732,0.5071199633699633,0.6,0.4732926829268293,0.39679806961844016
,20,10,2,gini,log2,0.7508166969147007,0.45207535121328224,0.5777777777777778,0.4401199076121677,0.34885492223079195
,20,5,5,gini,log2,0.6988505747126437,0.32657657657657657,0.5333333333333333,0.32900157682766384,0.23560895040561772
,20,10,5,gini,log2,0.6988505747126437,0.32657657657657657,0.5333333333333333,0.32900157682766384,0.23560895040561772
,30,5,2,gini,,0.9582577132486388,0.9380952380952381,0.7777777777777778,0.8465686274509803,0.8302349055452047
,30,10,2,gini,,0.9582577132486388,0.9380952380952381,0.7777777777777778,0.8465686274509803,0.8302349055452047
,30,5,5,gini,,0.951361161524501,0.8944444444444445,0.7777777777777777,0.8287581699346406,0.8054596379659262
,30,10,5,gini,,0.951361161524501,0.8944444444444445,0.7777777777777777,0.8287581699346406,0.8054596379659262
,30,5,2,gini,sqrt,0.9130671506352087,0.7805555555555556,0.6444444444444445,0.6998692810457516,0.6575885473105979
,30,10,2,gini,sqrt,0.8925589836660617,0.670940170940171,0.711111111111111,0.6767676767676767,0.6229734862230212
,30,5,5,gini,sqrt,0.8853599516031458,0.6137878787878789,0.7555555555555555,0.6706295149638803,0.6124295970217498
,30,10,5,gini,sqrt,0.8853599516031458,0.6137878787878789,0.7555555555555555,0.6706295149638803,0.6124295970217498
,30,5,2,gini,log2,0.764670296430732,0.53378663003663,0.5555555555555556,0.45424506387921026,0.38511266933757515
,30,10,2,gini,log2,0.7543859649122807,0.4954255195634506,0.5555555555555556,0.4504093567251462,0.3603195245265227
,30,5,5,gini,log2,0.6988505747126437,0.32657657657657657,0.5333333333333333,0.32900157682766384,0.23560895040561772
,30,10,5,gini,log2,0.6988505747126437,0.32657657657657657,0.5333333333333333,0.32900157682766384,0.23560895040561772
,10,5,2,entropy,,0.9653357531760435,0.9244444444444444,0.8444444444444444,0.8770553835569315,0.8619425303049933
,10,10,2,entropy,,0.9618874773139746,0.9022222222222223,0.8444444444444444,0.8665978672170622,0.8489720087630431
,10,5,5,entropy,,0.9444041137326072,0.8422222222222222,0.7999999999999999,0.8139662882696939,0.7861634364206797
,10,10,5,entropy,,0.9444041137326072,0.8422222222222222,0.7999999999999999,0.8139662882696939,0.7861634364206797
,10,5,2,entropy,sqrt,0.8887477313974591,0.6797258297258297,0.6,0.620348627980207,0.5682233884642912
,10,10,2,entropy,sqrt,0.8924379915305505,0.6446464646464646,0.7555555555555554,0.6920315280956013,0.6333895235653797
,10,5,5,entropy,sqrt,0.8855414398064125,0.6252813852813852,0.7333333333333332,0.664047619047619,0.6070452617331022
,10,10,5,entropy,sqrt,0.8855414398064125,0.6252813852813852,0.7333333333333332,0.664047619047619,0.6070452617331022
,10,5,2,entropy,log2,0.6600725952813067,0.47394352335528805,0.6222222222222222,0.37147636825594355,0.29785450387662893
,10,10,2,entropy,log2,0.6600725952813067,0.47026705276705283,0.6,0.3648966745520298,0.2843252231697202
,10,5,5,entropy,log2,0.7255293405928614,0.4327670527670528,0.5777777777777777,0.40798688344454936,0.3255145727506155
,10,10,5,entropy,log2,0.7255293405928614,0.4327670527670528,0.5777777777777777,0.40798688344454936,0.3255145727506155
,20,5,2,entropy,,0.9653357531760435,0.9244444444444444,0.8444444444444444,0.8770553835569315,0.8619425303049933
,20,10,2,entropy,,0.9618874773139746,0.9022222222222223,0.8444444444444444,0.8665978672170622,0.8489720087630431
,20,5,5,entropy,,0.9444041137326072,0.8422222222222222,0.7999999999999999,0.8139662882696939,0.7861634364206797
,20,10,5,entropy,,0.9444041137326072,0.8422222222222222,0.7999999999999999,0.8139662882696939,0.7861634364206797
,20,5,2,entropy,sqrt,0.8958862673926195,0.6925241425241426,0.6888888888888889,0.6637795537795539,0.6208553755948295
,20,10,2,entropy,sqrt,0.9132486388384755,0.7525396825396825,0.6888888888888889,0.7168386652906777,0.6683287415780541
,20,5,5,entropy,sqrt,0.8820931639443435,0.6333333333333332,0.711111111111111,0.6476190476190476,0.5950594523900704
,20,10,5,entropy,sqrt,0.8820931639443435,0.6333333333333332,0.711111111111111,0.6476190476190476,0.5950594523900704
,20,5,2,entropy,log2,0.6678765880217785,0.36803316781257955,0.7777777777777778,0.4532040893498636,0.3598907812471057
,20,10,2,entropy,log2,0.68173018753781,0.37116777745580987,0.7333333333333333,0.4499108615826725,0.3471011044441668
,20,5,5,entropy,log2,0.6600120992135511,0.34285108638049816,0.6666666666666667,0.3667078136771075,0.2831088435923735
,20,10,5,entropy,log2,0.6600120992135511,0.34285108638049816,0.6666666666666667,0.3667078136771075,0.2831088435923735
,30,5,2,entropy,,0.9653357531760435,0.9244444444444444,0.8444444444444444,0.8770553835569315,0.8619425303049933
,30,10,2,entropy,,0.9618874773139746,0.9022222222222223,0.8444444444444444,0.8665978672170622,0.8489720087630431
,30,5,5,entropy,,0.9444041137326072,0.8422222222222222,0.7999999999999999,0.8139662882696939,0.7861634364206797
,30,10,5,entropy,,0.9444041137326072,0.8422222222222222,0.7999999999999999,0.8139662882696939,0.7861634364206797
,30,5,2,entropy,sqrt,0.8958862673926195,0.6925241425241426,0.6888888888888889,0.6637795537795539,0.6208553755948295
,30,10,2,entropy,sqrt,0.9132486388384755,0.7525396825396825,0.6888888888888889,0.7168386652906777,0.6683287415780541
,30,5,5,entropy,sqrt,0.8820931639443435,0.6333333333333332,0.711111111111111,0.6476190476190476,0.5950594523900704
,30,10,5,entropy,sqrt,0.8820931639443435,0.6333333333333332,0.711111111111111,0.6476190476190476,0.5950594523900704
,30,5,2,entropy,log2,0.6989110707803994,0.38318468296409475,0.7555555555555554,0.46733619380454866,0.37490758560971693
,30,10,2,entropy,log2,0.7128251663641862,0.41348909799854605,0.7111111111111111,0.47403366860021645,0.37553737644808327
,30,5,5,entropy,log2,0.6600120992135511,0.34285108638049816,0.6666666666666667,0.3667078136771075,0.2831088435923735
,30,10,5,entropy,log2,0.6600120992135511,0.34285108638049816,0.6666666666666667,0.3667078136771075,0.2831088435923735
