n_estimators,max_depth,learning_rate,accuracy,precision,recall,f1,mcc
100,3,0.01,0.9598305084745762,0.9514285714285714,0.7777777777777778,0.8494736842105264,0.8364683230407021
150,3,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
200,3,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
300,3,0.01,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
100,5,0.01,0.9598305084745762,0.9514285714285714,0.7777777777777778,0.8494736842105264,0.8364683230407021
150,5,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
200,5,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
300,5,0.01,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
100,7,0.01,0.9598305084745762,0.9514285714285714,0.7777777777777778,0.8494736842105264,0.8364683230407021
150,7,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
200,7,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
300,7,0.01,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
100,10,0.01,0.9598305084745762,0.9514285714285714,0.7777777777777778,0.8494736842105264,0.8364683230407021
150,10,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
200,10,0.01,0.9631638418079096,0.9714285714285715,0.7777777777777778,0.86,0.8486010357151572
300,10,0.01,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
100,3,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
150,3,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
200,3,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
300,3,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
100,5,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
150,5,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
200,5,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
300,5,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
100,7,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
150,7,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
200,7,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
300,7,0.1,0.9664971751412429,1.0,0.7777777777777778,0.86609243697479,0.8619217708393456
100,10,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
150,10,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
200,10,0.1,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
300,10,0.1,0.9664971751412429,1.0,0.7777777777777778,0.86609243697479,0.8619217708393456
100,3,0.3,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
150,3,0.3,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
200,3,0.3,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
300,3,0.3,0.9631638418079096,1.0,0.7555555555555555,0.8528571428571429,0.8482052872828667
100,5,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
150,5,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
200,5,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
300,5,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
100,7,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
150,7,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
200,7,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
300,7,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
100,10,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
150,10,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
200,10,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
300,10,0.3,0.9598305084745762,1.0,0.7333333333333333,0.8378571428571429,0.8338802679929497
100,3,0.5,0.9564406779661017,0.9666666666666668,0.7333333333333334,0.8261904761904761,0.817071759586047
150,3,0.5,0.9564406779661017,0.9666666666666668,0.7333333333333334,0.8261904761904761,0.817071759586047
200,3,0.5,0.9564406779661017,0.9666666666666668,0.7333333333333334,0.8261904761904761,0.817071759586047
300,3,0.5,0.9564406779661017,0.9666666666666668,0.7333333333333334,0.8261904761904761,0.817071759586047
100,5,0.5,0.959774011299435,1.0,0.7333333333333334,0.8378571428571429,0.8338640754967523
150,5,0.5,0.959774011299435,1.0,0.7333333333333334,0.8378571428571429,0.8338640754967523
200,5,0.5,0.959774011299435,1.0,0.7333333333333334,0.8378571428571429,0.8338640754967523
300,5,0.5,0.959774011299435,1.0,0.7333333333333334,0.8378571428571429,0.8338640754967523
100,7,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
150,7,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
200,7,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
300,7,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
100,10,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
150,10,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
200,10,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
300,10,0.5,0.9664406779661017,1.0,0.7777777777777777,0.86609243697479,0.8619055783431484
