C,kernel,accuracy,precision,recall,f1,mcc
0.01,linear,0.917049180327869,0.8603174603174603,0.5555555555555556,0.6445780741446376,0.6375656014114381
0.01,rbf,0.7125683060109289,0.5236575481256333,0.36444444444444446,0.3432695374800638,0.21238420216723736
0.01,poly,0.7072131147540983,0.02807017543859649,0.17777777777777776,0.048484848484848485,-0.023558060760785305
0.01,sigmoid,0.5760655737704918,0.2500821018062397,0.5111111111111112,0.2768919848641211,0.09522326126884559
0.1,linear,0.9037158469945356,0.85,0.5777777777777777,0.631961371961372,0.6271427388857302
0.1,rbf,0.715846994535519,0.524120082815735,0.36444444444444446,0.34389610389610387,0.21709231284366748
0.1,poly,0.7138251366120218,0.22857142857142856,0.19777777777777777,0.08559440559440559,0.0433398951771506
0.1,sigmoid,0.7506010928961749,0.3250808015513898,0.45111111111111113,0.3465768882544592,0.2356666959766282
1.0,linear,0.9103825136612024,0.8766666666666667,0.5777777777777777,0.6480014722119986,0.6452654458849748
1.0,rbf,0.8837704918032788,0.7107142857142857,0.47555555555555556,0.5579831932773109,0.5146704871637425
1.0,poly,0.7260109289617487,0.6290909090909091,0.29111111111111115,0.2593939393939394,0.20707552248978045
1.0,sigmoid,0.717431693989071,0.25066239316239314,0.4288888888888889,0.31562492258144437,0.1617570835150779
10.0,linear,0.9103825136612024,0.8766666666666667,0.5777777777777777,0.6480014722119986,0.6452654458849748
10.0,rbf,0.8904918032786885,0.6838888888888889,0.5799999999999998,0.6160190136660725,0.5632881015684108
10.0,poly,0.7193989071038251,0.5592592592592592,0.29333333333333333,0.27129578754578754,0.17867048713109251
10.0,sigmoid,0.7040437158469945,0.2923960097873141,0.5333333333333334,0.36851503759398496,0.2228402330375041
100.0,linear,0.9103825136612024,0.8766666666666667,0.5777777777777777,0.6480014722119986,0.6452654458849748
100.0,rbf,0.8904918032786885,0.72,0.5111111111111111,0.5751158645276292,0.5391001801326132
100.0,poly,0.8639890710382513,0.6583333333333333,0.3911111111111111,0.4757002801120448,0.42888779621670564
100.0,sigmoid,0.6873770491803278,0.2646704458775397,0.49333333333333335,0.3371778711484594,0.1783951384817807
0.01,linear,0.9103825136612022,0.8222222222222222,0.6044444444444445,0.6694318753142283,0.6447549905428981
0.01,rbf,0.7159016393442623,0.5427051671732522,0.36444444444444446,0.3499362041467305,0.22306321607931476
0.01,poly,0.7072131147540983,0.02807017543859649,0.17777777777777776,0.048484848484848485,-0.023558060760785305
0.01,sigmoid,0.579344262295082,0.2506265664160401,0.5111111111111112,0.27768215167711496,0.10371936303984564
0.1,linear,0.9036612021857924,0.7822222222222223,0.5800000000000001,0.6449456975772765,0.6125169317158468
0.1,rbf,0.7191803278688524,0.5431677018633541,0.36444444444444446,0.3505627705627705,0.2277713267557449
0.1,poly,0.7138251366120218,0.22857142857142856,0.19777777777777777,0.08559440559440559,0.0433398951771506
0.1,sigmoid,0.7506010928961749,0.3250808015513898,0.45111111111111113,0.3465768882544592,0.2356666959766282
1.0,linear,0.9036612021857924,0.7822222222222223,0.5800000000000001,0.6449456975772765,0.6125169317158468
1.0,rbf,0.8871038251366119,0.7162698412698413,0.49777777777777776,0.5723622782446312,0.5305664967329345
1.0,poly,0.7260109289617487,0.6290909090909091,0.29111111111111115,0.2593939393939394,0.20707552248978045
1.0,sigmoid,0.720655737704918,0.2555601905834104,0.4288888888888889,0.31772893772893773,0.16676660354581624
10.0,linear,0.9036612021857924,0.7822222222222223,0.5800000000000001,0.6449456975772765,0.6125169317158468
10.0,rbf,0.9037704918032787,0.795,0.5577777777777777,0.6346735617323852,0.6062076997214841
10.0,poly,0.7193989071038251,0.5592592592592592,0.29333333333333333,0.27129578754578754,0.17867048713109251
10.0,sigmoid,0.7140437158469946,0.30707854946985386,0.5555555555555556,0.3865118627944715,0.24733411041566225
100.0,linear,0.9036612021857924,0.7822222222222223,0.5800000000000001,0.6449456975772765,0.6125169317158468
100.0,rbf,0.9003825136612023,0.8400000000000001,0.5377777777777778,0.622753036437247,0.6064311411680997
100.0,poly,0.8573224043715847,0.6511904761904762,0.3466666666666667,0.4322510822510822,0.39112060878199123
100.0,sigmoid,0.6840437158469945,0.27271642288903397,0.5333333333333334,0.3516575091575092,0.19927671036930591
0.01,linear,0.9137158469945355,0.8313131313131313,0.6244444444444444,0.6837175895999426,0.6610692566090756
0.01,rbf,0.7159016393442623,0.5427051671732522,0.36444444444444446,0.3499362041467305,0.22306321607931476
0.01,poly,0.7072131147540983,0.02807017543859649,0.17777777777777776,0.048484848484848485,-0.023558060760785305
0.01,sigmoid,0.579344262295082,0.2506265664160401,0.5111111111111112,0.27768215167711496,0.10371936303984564
0.1,linear,0.9037704918032787,0.79,0.5822222222222223,0.6443949239614875,0.61562238684781
0.1,rbf,0.7191803278688524,0.5431677018633541,0.36444444444444446,0.3505627705627705,0.2277713267557449
0.1,poly,0.7138251366120218,0.22857142857142856,0.19777777777777777,0.08559440559440559,0.0433398951771506
0.1,sigmoid,0.7506010928961749,0.3250808015513898,0.45111111111111113,0.3465768882544592,0.2356666959766282
1.0,linear,0.9037704918032787,0.79,0.5822222222222223,0.6443949239614875,0.61562238684781
1.0,rbf,0.8904371584699454,0.7341269841269842,0.49777777777777776,0.5797152194211017,0.5410761328981262
1.0,poly,0.7260109289617487,0.6290909090909091,0.29111111111111115,0.2593939393939394,0.20707552248978045
1.0,sigmoid,0.7306557377049181,0.2634549274255157,0.4288888888888889,0.3245860805860806,0.17746431937810875
10.0,linear,0.9037704918032787,0.79,0.5822222222222223,0.6443949239614875,0.61562238684781
10.0,rbf,0.9004371584699454,0.7924242424242424,0.5577777777777777,0.6361904761904762,0.6040007439368232
10.0,poly,0.7193989071038251,0.5592592592592592,0.29333333333333333,0.27129578754578754,0.17867048713109251
10.0,sigmoid,0.7173224043715847,0.3143512767425811,0.5555555555555556,0.3903213866039953,0.2532026195436492
100.0,linear,0.9037704918032787,0.79,0.5822222222222223,0.6443949239614875,0.61562238684781
100.0,rbf,0.9004371584699454,0.849090909090909,0.5377777777777778,0.6113977250819356,0.6031818293399914
100.0,poly,0.8573224043715847,0.6511904761904762,0.3466666666666667,0.4322510822510822,0.39112060878199123
100.0,sigmoid,0.6873770491803278,0.27419425540134923,0.5333333333333334,0.35327694235588974,0.20229971066846858
0.01,linear,0.9103825136612022,0.8246464646464646,0.6022222222222222,0.6646699705523235,0.6432602683259183
0.01,rbf,0.7159016393442623,0.5427051671732522,0.36444444444444446,0.3499362041467305,0.22306321607931476
0.01,poly,0.7072131147540983,0.02807017543859649,0.17777777777777776,0.048484848484848485,-0.023558060760785305
0.01,sigmoid,0.579344262295082,0.2506265664160401,0.5111111111111112,0.27768215167711496,0.10371936303984564
0.1,linear,0.9037704918032787,0.7655555555555555,0.5822222222222223,0.6437908496732027,0.6080957450930552
0.1,rbf,0.7191803278688524,0.5431677018633541,0.36444444444444446,0.3505627705627705,0.2277713267557449
0.1,poly,0.7138251366120218,0.22857142857142856,0.19777777777777777,0.08559440559440559,0.0433398951771506
0.1,sigmoid,0.7506010928961749,0.3250808015513898,0.45111111111111113,0.3465768882544592,0.2356666959766282
1.0,linear,0.9037704918032787,0.7655555555555555,0.5822222222222223,0.6437908496732027,0.6080957450930552
1.0,rbf,0.8904371584699454,0.7341269841269842,0.49777777777777776,0.5797152194211017,0.5410761328981262
1.0,poly,0.7260109289617487,0.6290909090909091,0.29111111111111115,0.2593939393939394,0.20707552248978045
1.0,sigmoid,0.7240983606557376,0.25274064171122995,0.4288888888888889,0.3168937728937729,0.16742826083915907
10.0,linear,0.9037704918032787,0.7655555555555555,0.5822222222222223,0.6437908496732027,0.6080957450930552
10.0,rbf,0.8971038251366121,0.7924242424242424,0.5355555555555555,0.6164102564102565,0.5876944334798389
10.0,poly,0.7193989071038251,0.5592592592592592,0.29333333333333333,0.27129578754578754,0.17867048713109251
10.0,sigmoid,0.7173224043715847,0.3143512767425811,0.5555555555555556,0.3903213866039953,0.2532026195436492
100.0,linear,0.9037704918032787,0.7655555555555555,0.5822222222222223,0.6437908496732027,0.6080957450930552
100.0,rbf,0.9004371584699454,0.849090909090909,0.5377777777777778,0.6113977250819356,0.6031818293399914
100.0,poly,0.8573224043715847,0.6511904761904762,0.3466666666666667,0.4322510822510822,0.39112060878199123
100.0,sigmoid,0.6873770491803278,0.27419425540134923,0.5333333333333334,0.35327694235588974,0.20229971066846858
