max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
10,2,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255,0.8098380360541387
10,5,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255,0.8098380360541387
10,2,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873,0.819763999879393
10,5,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873,0.819763999879393
30,2,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255,0.8098380360541387
30,5,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255,0.8098380360541387
30,2,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873,0.819763999879393
30,5,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873,0.819763999879393
50,2,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255,0.8098380360541387
50,5,1,gini,0.9531649831649832,0.8754578754578755,0.8000000000000002,0.8357963875205255,0.8098380360541387
50,2,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873,0.819763999879393
50,5,2,gini,0.9564983164983164,0.919047619047619,0.7777777777777777,0.8377011494252873,0.819763999879393
10,2,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939,0.8224897564700321
10,5,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939,0.8224897564700321
10,2,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559,0.8324157202952863
10,5,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559,0.8324157202952863
30,2,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939,0.8224897564700321
30,5,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939,0.8224897564700321
30,2,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559,0.8324157202952863
30,5,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559,0.8324157202952863
50,2,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939,0.8224897564700321
50,5,1,entropy,0.9565319865319865,0.8974358974358975,0.8000000000000002,0.8456486042692939,0.8224897564700321
50,2,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559,0.8324157202952863
50,5,2,entropy,0.9598653198653198,0.9410256410256409,0.7777777777777777,0.8475533661740559,0.8324157202952863
