svd__n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
,3,uniform,euclidean,0.8125,0.41879207823480263,0.5333333333333333,0.46827342047930287,0.3609924295303406
,3,uniform,euclidean,0.7986111111111112,0.3944203944203944,0.5333333333333333,0.4527254527254527,0.3390745658010523
,3,uniform,euclidean,,,,,
,3,uniform,euclidean,,,,,
,3,distance,euclidean,0.8402777777777777,0.4889705882352941,0.5111111111111111,0.49895717463848727,0.40478209348222643
,3,distance,euclidean,0.8298611111111112,0.4616557734204793,0.5111111111111111,0.48446969696969705,0.3841472068956901
,3,distance,euclidean,,,,,
,3,distance,euclidean,,,,,
,5,uniform,euclidean,0.8125,0.43173150266971777,0.5777777777777778,0.4932920536635706,0.3882390639308104
,5,uniform,euclidean,0.7986111111111112,0.40970695970695975,0.6000000000000001,0.48563685636856374,0.3776634320252545
,5,uniform,euclidean,,,,,
,5,uniform,euclidean,,,,,
,5,distance,euclidean,0.84375,0.5018704850361196,0.5777777777777778,0.5365670461733081,0.44524664733844643
,5,distance,euclidean,0.8333333333333334,0.474765344734385,0.6000000000000001,0.5292755991285403,0.4347353942047434
,5,distance,euclidean,,,,,
,5,distance,euclidean,,,,,
,7,uniform,euclidean,0.7951388888888888,0.39660580964928793,0.5777777777777778,0.47018070702281234,0.35833048852633526
,7,uniform,euclidean,0.7847222222222222,0.38202898550724634,0.6000000000000001,0.46666666666666673,0.3538578367728415
,7,uniform,euclidean,,,,,
,7,uniform,euclidean,,,,,
,7,distance,euclidean,0.8402777777777777,0.4891067538126362,0.5777777777777778,0.5296717171717171,0.4365116782764907
,7,distance,euclidean,0.8333333333333334,0.4734892787524367,0.6000000000000001,0.5290892114421527,0.4341536283387523
,7,distance,euclidean,,,,,
,7,distance,euclidean,,,,,
,9,uniform,euclidean,0.7881944444444445,0.38164251207729466,0.5777777777777778,0.4593642225221173,0.34581722771722295
,9,uniform,euclidean,0.78125,0.37367521367521367,0.6000000000000001,0.4597109304426377,0.3471206565331293
,9,uniform,euclidean,,,,,
,9,uniform,euclidean,,,,,
,9,distance,euclidean,0.8402777777777778,0.49259259259259264,0.5777777777777778,0.5301587301587302,0.4380259347051389
,9,distance,euclidean,0.8368055555555555,0.48253968253968255,0.6000000000000001,0.5322751322751323,0.4407717471301025
,9,distance,euclidean,,,,,
,9,distance,euclidean,,,,,
,11,uniform,euclidean,0.78125,0.3754320987654321,0.6000000000000001,0.4603174603174603,0.34803553092831446
,11,uniform,euclidean,0.7881944444444443,0.3816239316239316,0.6000000000000001,0.4652074213049822,0.35591386509544504
,11,uniform,euclidean,,,,,
,11,uniform,euclidean,,,,,
,11,distance,euclidean,0.829861111111111,0.46704545454545454,0.6000000000000001,0.5232532071241749,0.4282614254727035
,11,distance,euclidean,0.8402777777777777,0.48618421052631583,0.6000000000000001,0.5359718080780699,0.44520973185838725
,11,distance,euclidean,,,,,
,11,distance,euclidean,,,,,
,15,uniform,euclidean,0.7986111111111112,0.4033333333333333,0.6444444444444445,0.49471544715447163,0.39456762311795684
,15,uniform,euclidean,0.7881944444444445,0.38587301587301587,0.6444444444444445,0.4811800172265288,0.3784807274292759
,15,uniform,euclidean,,,,,
,15,uniform,euclidean,,,,,
,15,distance,euclidean,0.8472222222222222,0.5053571428571428,0.6444444444444445,0.5648233486943165,0.4802877441890339
