n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
10,10,2,1,gini,0.923063973063973,0.7862712336396546,0.7111111111111111,0.7299977462249267,0.00038722876254124584
50,10,2,1,gini,0.9296969696969697,0.7767857142857143,0.7555555555555555,0.7652947719688544,0.00038722876254124584
100,10,2,1,gini,0.933063973063973,0.7771825396825397,0.7777777777777778,0.7768879001359535,0.00038722876254124584
10,10,5,1,gini,0.9196969696969698,0.7564102564102564,0.7111111111111111,0.7274330607663941,0.00038722876254124584
50,10,5,1,gini,0.923030303030303,0.7522435897435898,0.7333333333333334,0.7413210445468511,0.00038722876254124584
100,10,5,1,gini,0.9196632996632997,0.738763197586727,0.7333333333333334,0.7339285714285714,0.00038722876254124584
10,10,2,2,gini,0.9162962962962963,0.7421652421652422,0.7111111111111111,0.7222222222222222,0.00038722876254124584
50,10,2,2,gini,0.9263299663299662,0.779788838612368,0.7333333333333334,0.7529761904761904,0.00038722876254124584
100,10,2,2,gini,0.9330303030303031,0.7951007326007327,0.7555555555555555,0.773504952592828,0.00038722876254124584
10,10,5,2,gini,0.9063299663299663,0.7145207733443028,0.6444444444444444,0.6723901098901099,0.00038722876254124584
50,10,5,2,gini,0.9229966329966329,0.7429298642533936,0.7555555555555555,0.7468317972350231,0.00038722876254124584
100,10,5,2,gini,0.9296969696969697,0.774465811965812,0.7555555555555555,0.7635432667690732,0.00038722876254124584
10,30,2,1,gini,0.9331313131313131,0.8603988603988605,0.6666666666666666,0.746031746031746,0.00038722876254124584
50,30,2,1,gini,0.9330976430976431,0.804029304029304,0.7333333333333334,0.7668308702791462,0.00038722876254124584
100,30,2,1,gini,0.9364309764309763,0.8260073260073261,0.7333333333333334,0.7766830870279146,0.00038722876254124584
10,30,5,1,gini,0.9096632996632996,0.7384135472370766,0.6444444444444444,0.6821581196581197,0.00038722876254124584
50,30,5,1,gini,0.9263636363636364,0.7712912087912088,0.7333333333333334,0.7505164468457016,0.00038722876254124584
100,30,5,1,gini,0.9363973063973065,0.8140415140415141,0.7555555555555555,0.7830322933771209,0.00038722876254124584
10,30,2,2,gini,0.9263636363636364,0.7736111111111111,0.7333333333333334,0.7501393866985264,0.00038722876254124584
50,30,2,2,gini,0.9363973063973065,0.8140415140415141,0.7555555555555555,0.7830322933771209,0.00038722876254124584
100,30,2,2,gini,0.9330303030303031,0.7987637362637363,0.7555555555555555,0.7751469887176228,0.00038722876254124584
10,30,5,2,gini,0.9297306397306397,0.7884004884004884,0.7333333333333333,0.7592227695675972,0.00038722876254124584
50,30,5,2,gini,0.9364309764309763,0.7946428571428571,0.7777777777777778,0.7853170189098998,0.00038722876254124584
100,30,5,2,gini,0.933063973063973,0.8085470085470087,0.7333333333333334,0.7682539682539682,0.00038722876254124584
10,50,2,1,gini,0.9331313131313131,0.8603988603988605,0.6666666666666666,0.746031746031746,0.00038722876254124584
50,50,2,1,gini,0.9330976430976431,0.804029304029304,0.7333333333333334,0.7668308702791462,0.00038722876254124584
100,50,2,1,gini,0.9364309764309763,0.8260073260073261,0.7333333333333334,0.7766830870279146,0.00038722876254124584
10,50,5,1,gini,0.9096632996632996,0.7384135472370766,0.6444444444444444,0.6821581196581197,0.00038722876254124584
50,50,5,1,gini,0.9263636363636364,0.7712912087912088,0.7333333333333334,0.7505164468457016,0.00038722876254124584
100,50,5,1,gini,0.9363973063973065,0.8140415140415141,0.7555555555555555,0.7830322933771209,0.00038722876254124584
10,50,2,2,gini,0.9263636363636364,0.7736111111111111,0.7333333333333334,0.7501393866985264,0.00038722876254124584
50,50,2,2,gini,0.9363973063973065,0.8140415140415141,0.7555555555555555,0.7830322933771209,0.00038722876254124584
100,50,2,2,gini,0.9330303030303031,0.7987637362637363,0.7555555555555555,0.7751469887176228,0.00038722876254124584
10,50,5,2,gini,0.9297306397306397,0.7884004884004884,0.7333333333333333,0.7592227695675972,0.00038722876254124584
50,50,5,2,gini,0.9364309764309763,0.7946428571428571,0.7777777777777778,0.7853170189098998,0.00038722876254124584
100,50,5,2,gini,0.933063973063973,0.8085470085470087,0.7333333333333334,0.7682539682539682,0.00038722876254124584
10,10,2,1,entropy,0.9263636363636364,0.7680555555555556,0.7333333333333334,0.7476702508960574,0.00038722876254124584
50,10,2,1,entropy,0.9263299663299662,0.748424369747899,0.7777777777777778,0.7616101223581757,0.00038722876254124584
100,10,2,1,entropy,0.9263299663299662,0.7609854198089492,0.7555555555555555,0.7561507936507937,0.00038722876254124584
10,10,5,1,entropy,0.9263973063973063,0.7682539682539682,0.7333333333333334,0.750191570881226,0.00038722876254124584
50,10,5,1,entropy,0.933063973063973,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.00038722876254124584
100,10,5,1,entropy,0.932996632996633,0.7900452488687782,0.7777777777777778,0.781547619047619,0.00038722876254124584
10,10,2,2,entropy,0.9229966329966329,0.7596423184658478,0.7333333333333333,0.7439449917898194,0.00038722876254124584
50,10,2,2,entropy,0.933063973063973,0.7771825396825397,0.7777777777777778,0.7768879001359535,0.00038722876254124584
100,10,2,2,entropy,0.9330303030303031,0.7799603174603175,0.7777777777777778,0.7783215918922259,0.00038722876254124584
10,10,5,2,entropy,0.9196632996632997,0.738763197586727,0.7333333333333334,0.7339285714285714,0.00038722876254124584
50,10,5,2,entropy,0.933030303030303,0.7666666666666666,0.7999999999999999,0.7827956989247312,0.00038722876254124584
100,10,5,2,entropy,0.9330303030303031,0.7799603174603175,0.7777777777777778,0.7783215918922259,0.00038722876254124584
10,30,2,1,entropy,0.9164646464646465,0.8863636363636364,0.5111111111111111,0.6424445120097294,0.00038722876254124584
50,30,2,1,entropy,0.9331313131313131,0.8414918414918415,0.6888888888888888,0.7564102564102564,0.00038722876254124584
100,30,2,1,entropy,0.9330976430976431,0.8195970695970697,0.7111111111111111,0.7608100711548987,0.00038722876254124584
10,30,5,1,entropy,0.9297979797979798,0.8350815850815851,0.6666666666666666,0.7405372405372406,0.00038722876254124584
50,30,5,1,entropy,0.9364309764309763,0.8260073260073261,0.7333333333333334,0.7766830870279146,0.00038722876254124584
100,30,5,1,entropy,0.9330976430976431,0.8238705738705739,0.7111111111111111,0.7625737395852338,0.00038722876254124584
10,30,2,2,entropy,0.9297643097643098,0.8333333333333334,0.6666666666666666,0.7407407407407408,0.00038722876254124584
50,30,2,2,entropy,0.9364646464646466,0.8260073260073261,0.7333333333333333,0.7766830870279146,0.00038722876254124584
100,30,2,2,entropy,0.9364309764309763,0.8516483516483516,0.7111111111111111,0.7730200833649109,0.00038722876254124584
10,30,5,2,entropy,0.9330976430976431,0.8397435897435898,0.6888888888888888,0.7566137566137566,0.00038722876254124584
50,30,5,2,entropy,0.9431313131313132,0.8516483516483517,0.7555555555555555,0.8004926108374383,0.00038722876254124584
100,30,5,2,entropy,0.9397306397306396,0.815873015873016,0.7777777777777778,0.7961685823754788,0.00038722876254124584
10,50,2,1,entropy,0.9164646464646465,0.8863636363636364,0.5111111111111111,0.6424445120097294,0.00038722876254124584
50,50,2,1,entropy,0.9331313131313131,0.8414918414918415,0.6888888888888888,0.7564102564102564,0.00038722876254124584
100,50,2,1,entropy,0.9330976430976431,0.8195970695970697,0.7111111111111111,0.7608100711548987,0.00038722876254124584
10,50,5,1,entropy,0.9297979797979798,0.8350815850815851,0.6666666666666666,0.7405372405372406,0.00038722876254124584
50,50,5,1,entropy,0.9364309764309763,0.8260073260073261,0.7333333333333334,0.7766830870279146,0.00038722876254124584
100,50,5,1,entropy,0.9330976430976431,0.8238705738705739,0.7111111111111111,0.7625737395852338,0.00038722876254124584
10,50,2,2,entropy,0.9297643097643098,0.8333333333333334,0.6666666666666666,0.7407407407407408,0.00038722876254124584
50,50,2,2,entropy,0.9364646464646466,0.8260073260073261,0.7333333333333333,0.7766830870279146,0.00038722876254124584
100,50,2,2,entropy,0.9364309764309763,0.8516483516483516,0.7111111111111111,0.7730200833649109,0.00038722876254124584
10,50,5,2,entropy,0.9330976430976431,0.8397435897435898,0.6888888888888888,0.7566137566137566,0.00038722876254124584
50,50,5,2,entropy,0.9431313131313132,0.8516483516483517,0.7555555555555555,0.8004926108374383,0.00038722876254124584
100,50,5,2,entropy,0.9397306397306396,0.815873015873016,0.7777777777777778,0.7961685823754788,0.00038722876254124584
