n_components,n_neighbors,weights,metric,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
150,3,uniform,euclidean,0.8228070175438595,0.03939144209472138,0.4780882352941177,0.08495940241889853,0.6444444444444445,0.16329931618554522,0.5263856143856144,0.07397497488937273,0.4459458856102308,0.07850852565223766
180,3,uniform,euclidean,0.8297640653357533,0.03430900493325599,0.4901923076923077,0.07814036831090133,0.6666666666666667,0.17213259316477408,0.5427261434217956,0.0779541022418367,0.46707571473864257,0.081067654044979
200,3,uniform,euclidean,0.8228675136116153,0.030360709678061405,0.4758333333333334,0.07446102634562891,0.6666666666666667,0.17213259316477408,0.532120082815735,0.06738357583541395,0.4549036685233025,0.06843768525627095
220,3,uniform,euclidean,0.8124621899576528,0.03748657766330781,0.46044117647058824,0.08425379767194667,0.6888888888888889,0.19116278371205836,0.5257142857142857,0.0747723187402982,0.4500218126849781,0.08456346578061368
150,3,distance,euclidean,0.8644888082274651,0.023644599994793368,0.5863636363636363,0.09881937914872581,0.6444444444444445,0.16329931618554522,0.5886713286713287,0.08102767962113663,0.5264254085616594,0.07390805467170197
180,3,distance,euclidean,0.8714458560193586,0.018297435478411332,0.6016317016317017,0.0870330532898976,0.6666666666666667,0.17213259316477408,0.6071994671994672,0.08425618199040177,0.5492978805363664,0.0734859944808144
200,3,distance,euclidean,0.8645493042952207,0.013370041574476355,0.582051282051282,0.08802381483985576,0.6666666666666667,0.17213259316477408,0.5944721944721945,0.07338148749868749,0.5345058316801187,0.059202578547146015
220,3,distance,euclidean,0.8610405323653962,0.024966339439590035,0.573076923076923,0.10204999354939691,0.6888888888888889,0.19116278371205836,0.5958650045606568,0.08905906897339975,0.5376192538621243,0.08691511436278068
150,5,uniform,euclidean,0.7984271022383544,0.05210906676288273,0.4230555555555555,0.0820813357530952,0.6222222222222222,0.16629588385661961,0.4878132045088567,0.09107798390139354,0.39260437087092787,0.1117859648389081
180,5,uniform,euclidean,0.7949788263762855,0.03976317762681273,0.40434550743374276,0.05852557435721455,0.6000000000000001,0.1507184440694504,0.47301398601398603,0.07869371056910235,0.3713476513157293,0.094793281884588
200,5,uniform,euclidean,0.7984271022383544,0.05210906676288273,0.4230555555555555,0.0820813357530952,0.6222222222222222,0.16629588385661961,0.4878132045088567,0.09107798390139354,0.39260437087092787,0.1117859648389081
220,5,uniform,euclidean,0.7915305505142165,0.05458052996683791,0.4136437908496732,0.08675054966184646,0.6444444444444444,0.19116278371205836,0.4863817663817664,0.10055431306944464,0.3931951458892489,0.12751631076803605
150,5,distance,euclidean,0.8436176648517847,0.031811959474775595,0.5135897435897436,0.08036569932425397,0.6222222222222222,0.16629588385661961,0.5463203463203462,0.09474092980881382,0.46833780637101274,0.10415855732205276
180,5,distance,euclidean,0.8366606170598911,0.02694351152071959,0.486013986013986,0.05892412428794654,0.6000000000000001,0.1507184440694504,0.5272727272727272,0.0883269658290263,0.44100328889340223,0.09784943097638066
200,5,distance,euclidean,0.8436176648517847,0.031811959474775595,0.5135897435897436,0.08036569932425397,0.6222222222222222,0.16629588385661961,0.5463203463203462,0.09474092980881382,0.46833780637101274,0.10415855732205276
220,5,distance,euclidean,0.8401693889897157,0.04200780036322366,0.5076923076923077,0.09778614512043508,0.6444444444444444,0.19116278371205836,0.5493506493506493,0.11422666715478455,0.4730916562648072,0.13149835383883848
150,7,uniform,euclidean,0.801935874168179,0.05854769306565527,0.44560080442433386,0.1130054075890538,0.6222222222222222,0.16629588385661961,0.49475339475339464,0.09147959184901888,0.4048020504903018,0.11260216220841227
180,7,uniform,euclidean,0.7949183303085299,0.05765500605317536,0.4182726045883941,0.08400922339076745,0.6000000000000001,0.1507184440694504,0.4771861471861472,0.08580951463697857,0.3776430474594556,0.10646823850204669
200,7,uniform,euclidean,0.7914700544464609,0.05609248120798678,0.41167919799498753,0.08161435464289267,0.6000000000000001,0.1507184440694504,0.47244306418219467,0.08249639257989144,0.3718712411481476,0.10285008401957786
220,7,uniform,euclidean,0.7811252268602541,0.056426197209300394,0.39969040247678017,0.08492458143332775,0.6444444444444444,0.19116278371205836,0.4745054945054945,0.0931992527463302,0.3789860862354105,0.1213957911629641
150,7,distance,euclidean,0.8436176648517847,0.048383997082265276,0.5470695970695971,0.15127513310242005,0.6222222222222222,0.16629588385661961,0.5523902108570302,0.10687719127443517,0.48152460604133707,0.12135701855735659
180,7,distance,euclidean,0.84010889292196,0.03796319857879323,0.5114285714285715,0.0924269245647318,0.6000000000000001,0.1507184440694504,0.5353502332907366,0.09064362127772534,0.4544577849745902,0.10093014067401909
200,7,distance,euclidean,0.836660617059891,0.03490575928536925,0.5005194805194806,0.08418017527825855,0.6000000000000001,0.1507184440694504,0.5290344438170524,0.08461856927511413,0.4466003801390105,0.09361235681584544
220,7,distance,euclidean,0.833212341197822,0.045188416450291924,0.4945054945054945,0.10350925058140067,0.6444444444444444,0.19116278371205836,0.5398644833427442,0.11390970208673805,0.4615023909274881,0.13301399156888472
150,9,uniform,euclidean,0.8017543859649123,0.06851552922556606,0.4331185919343814,0.11944195346688398,0.6222222222222222,0.16629588385661961,0.4984285714285714,0.1261909793341272,0.4010938521205599,0.15423126248598687
180,9,uniform,euclidean,0.8017543859649123,0.061181118258701324,0.4264843928001822,0.09214420086140941,0.6000000000000001,0.1507184440694504,0.48744306418219463,0.10262730076948204,0.3874812441640724,0.12621400168977936
200,9,uniform,euclidean,0.7914700544464609,0.06793619522787084,0.42555555555555563,0.1024152766382481,0.6888888888888889,0.10886621079036346,0.5171136653895274,0.08936703470200921,0.4214391951564747,0.12108727084516106
220,9,uniform,euclidean,0.7915305505142165,0.06393017669659705,0.4249269005847953,0.10219591057388441,0.711111111111111,0.13333333333333333,0.5225396825396826,0.09397275836479868,0.43130811282739695,0.12703465618726156
150,9,distance,euclidean,0.8400483968542044,0.04530077078870955,0.5037362637362637,0.11119141592101424,0.6222222222222222,0.16629588385661961,0.5451549823174537,0.12168277554162957,0.4624840540545991,0.14033952894385476
180,9,distance,euclidean,0.847005444646098,0.03469986102949909,0.5179487179487179,0.09050955176780917,0.6000000000000001,0.1507184440694504,0.5458008658008657,0.10300716390460722,0.4641240702400351,0.11630779563820227
200,9,distance,euclidean,0.84010889292196,0.03796319857879323,0.5034065934065934,0.08365049334561916,0.6666666666666667,0.1405456737852613,0.5642292490118577,0.08595765181756022,0.4834433022325362,0.1052779598825405
220,9,distance,euclidean,0.836660617059891,0.04257866076257586,0.49629120879120875,0.09237022018804139,0.6888888888888889,0.1632993161855452,0.5661501976284585,0.09944013501662154,0.4875581488973804,0.12301576774858318
150,11,uniform,euclidean,0.7912280701754385,0.07892068537772107,0.41982323232323226,0.1351434843079109,0.6888888888888889,0.19116278371205836,0.5121706775900325,0.14988083869980748,0.4187691063195592,0.1836613711882985
180,11,uniform,euclidean,0.8121597096188747,0.04989147055193807,0.4445564961354435,0.0801361504502836,0.6444444444444445,0.10886621079036349,0.5207548515557668,0.08131638086562633,0.42518613887379014,0.10099875928162126
