n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,0.9270417422867514,0.7648989898989899,0.7777777777777777,0.7691503267973856,0.7274258235282443
100,10,5,2,gini,0.9304900181488204,0.7715656565656566,0.7999999999999999,0.7831854145166839,0.7437027279728505
200,10,5,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,10,10,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
100,10,10,2,gini,0.9375075620084695,0.7937878787878787,0.8222222222222222,0.805407636738906,0.7700916168617395
200,10,10,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,10,5,5,gini,0.9270417422867514,0.7521212121212122,0.7999999999999999,0.7740350877192983,0.7320400726904982
100,10,5,5,gini,0.9339987900786448,0.7743434343434343,0.8222222222222222,0.7962573099415204,0.7583886117248151
200,10,5,5,gini,0.9339987900786448,0.7782323232323233,0.8222222222222222,0.7972205022359822,0.7600199822720289
50,10,10,5,gini,0.9270417422867514,0.7521212121212122,0.7999999999999999,0.7740350877192983,0.7320400726904982
100,10,10,5,gini,0.9339987900786448,0.7743434343434343,0.8222222222222222,0.7962573099415204,0.7583886117248151
200,10,10,5,gini,0.9339987900786448,0.7782323232323233,0.8222222222222222,0.7972205022359822,0.7600199822720289
50,20,5,2,gini,0.927102238354507,0.7761111111111111,0.7555555555555554,0.7643618851049192,0.7222978124687248
100,20,5,2,gini,0.9340592861464005,0.7883333333333333,0.7999999999999999,0.7927760577915377,0.7545742743435974
200,20,5,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,20,10,2,gini,0.9305505142165759,0.7688888888888888,0.7999999999999999,0.783625730994152,0.7428712692066729
100,20,10,2,gini,0.9409558378705384,0.8093434343434343,0.8222222222222222,0.81359477124183,0.7801185672924167
200,20,10,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,20,5,5,gini,0.9304900181488203,0.7687878787878788,0.7999999999999999,0.7818782249742002,0.74238020874492
100,20,5,5,gini,0.9374470659407137,0.7898989898989899,0.8222222222222222,0.8044444444444444,0.7684155621554922
200,20,5,5,gini,0.9339987900786448,0.7782323232323233,0.8222222222222222,0.7972205022359822,0.7600199822720289
50,20,10,5,gini,0.9304900181488203,0.7687878787878788,0.7999999999999999,0.7818782249742002,0.74238020874492
100,20,10,5,gini,0.9374470659407137,0.7898989898989899,0.8222222222222222,0.8044444444444444,0.7684155621554922
200,20,10,5,gini,0.9339987900786448,0.7782323232323233,0.8222222222222222,0.7972205022359822,0.7600199822720289
50,30,5,2,gini,0.927102238354507,0.7761111111111111,0.7555555555555554,0.7643618851049192,0.7222978124687248
100,30,5,2,gini,0.9340592861464005,0.7883333333333333,0.7999999999999999,0.7927760577915377,0.7545742743435974
200,30,5,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,30,10,2,gini,0.9305505142165759,0.7688888888888888,0.7999999999999999,0.783625730994152,0.7428712692066729
100,30,10,2,gini,0.9409558378705384,0.8093434343434343,0.8222222222222222,0.81359477124183,0.7801185672924167
200,30,10,2,gini,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,30,5,5,gini,0.9304900181488203,0.7687878787878788,0.7999999999999999,0.7818782249742002,0.74238020874492
100,30,5,5,gini,0.9374470659407137,0.7898989898989899,0.8222222222222222,0.8044444444444444,0.7684155621554922
200,30,5,5,gini,0.9339987900786448,0.7782323232323233,0.8222222222222222,0.7972205022359822,0.7600199822720289
50,30,10,5,gini,0.9304900181488203,0.7687878787878788,0.7999999999999999,0.7818782249742002,0.74238020874492
100,30,10,5,gini,0.9374470659407137,0.7898989898989899,0.8222222222222222,0.8044444444444444,0.7684155621554922
200,30,10,5,gini,0.9339987900786448,0.7782323232323233,0.8222222222222222,0.7972205022359822,0.7600199822720289
50,10,5,2,entropy,0.9340592861464005,0.7871212121212121,0.7999999999999999,0.7913725490196079,0.7538147124171333
100,10,5,2,entropy,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
200,10,5,2,entropy,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,10,10,2,entropy,0.9339987900786448,0.7822222222222222,0.7999999999999999,0.790643274853801,0.7518069904250029
100,10,10,2,entropy,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
200,10,10,2,entropy,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,10,5,5,entropy,0.9339987900786448,0.7743434343434343,0.8222222222222222,0.7962573099415204,0.7583886117248151
100,10,5,5,entropy,0.9409558378705384,0.8093434343434343,0.8222222222222222,0.81359477124183,0.7801185672924167
200,10,5,5,entropy,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,10,10,5,entropy,0.9339987900786448,0.7743434343434343,0.8222222222222222,0.7962573099415204,0.7583886117248151
100,10,10,5,entropy,0.9409558378705384,0.8093434343434343,0.8222222222222222,0.81359477124183,0.7801185672924167
200,10,10,5,entropy,0.9409558378705384,0.8083333333333332,0.8222222222222222,0.8138286893704849,0.7797869000065336
50,20,5,2,entropy,0.9409558378705384,0.8183333333333334,0.7999999999999999,0.8076367389060888,0.7738501316163491
