alpha,accuracy,precision,recall,f1,mcc
0.001,0.9163841807909605,0.795,0.5777777777777777,0.6589043309631546,0.6297417194557898
0.01,0.912994350282486,0.7783333333333333,0.5777777777777777,0.6510611937082526,0.6194487248904903
0.1,0.912994350282486,0.7483333333333333,0.5999999999999999,0.6577030812324929,0.6193435253848895
1.0,0.8929378531073446,0.6771428571428572,0.5555555555555556,0.6063157894736841,0.5514611264618391
10.0,0.8929378531073446,0.6783333333333333,0.5777777777777777,0.6197471620227037,0.5631770053807703
