pca__n_components,n_neighbors,weights,metric,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.9,3,distance,cosine,0.1,0.7792090395480227,0.04016001461547964,0.3320781342840166,0.10560204666496159,0.5111111111111111,0.23040490392586355,0.39849126718691935,0.1491093679006405,0.2835225043551953,0.17803475945679678
0.9,3,distance,cosine,0.2,0.8093220338983051,0.03278418671056468,0.3829304029304029,0.09625116303279407,0.5111111111111111,0.23040490392586355,0.4308959156785244,0.1493730689239933,0.32960049511294054,0.1695526357400562
0.9,3,distance,cosine,0.30000000000000004,0.8227118644067797,0.04516709766360571,0.41560606060606065,0.1266529824419169,0.4888888888888888,0.23040490392586357,0.4401120448179272,0.16756360116665872,0.34452950495384876,0.18841650456687925
0.9,3,distance,cosine,0.4,0.85954802259887,0.0344664025627074,0.549047619047619,0.15276736719838316,0.4,0.20184335693983277,0.44524915229249595,0.17132785276297277,0.38460575995581403,0.17423062208241655
0.9,3,distance,cosine,0.5,0.85954802259887,0.025147114149720047,0.5561904761904761,0.13029706160554252,0.37777777777777777,0.16850834320114558,0.4340726817042606,0.13989425418150772,0.37629489088115264,0.1368090945120401
0.9,3,distance,cosine,0.6,0.8662146892655368,0.03119685304766944,0.6,0.1649915822768611,0.3555555555555555,0.14487116456005888,0.43697478991596633,0.14796970136758755,0.3888828321119654,0.15578213356325876
0.9,3,distance,cosine,0.7000000000000001,0.8728248587570622,0.03500568801448086,0.6533333333333333,0.2062899792902107,0.33333333333333337,0.17568209223157663,0.42571937866055515,0.19577720355851885,0.3990318601062543,0.1963282981628281
0.9,3,distance,cosine,0.8,0.8662146892655368,0.031196853047669424,0.7190476190476189,0.27063375692157754,0.2444444444444444,0.14487116456005886,0.3411072261072261,0.17444303417593104,0.34863987168932503,0.17066758270109267
0.9,3,distance,cosine,0.9,0.8694915254237288,0.03247297705115603,0.8857142857142858,0.25555062599997597,0.22222222222222224,0.17568209223157663,0.3108041958041958,0.22834096717589042,0.33433794320250715,0.23328468217930753
0.9,3,distance,euclidean,0.1,0.7624858757062147,0.04188152017228662,0.313710407239819,0.10978978556679643,0.5333333333333333,0.24088314876309777,0.3935064935064935,0.15281711457136488,0.27303108120593805,0.19341217098875568
0.9,3,distance,euclidean,0.2,0.775819209039548,0.051414214285773,0.33219780219780215,0.12423634623522423,0.5111111111111111,0.21659542988464361,0.4022021456804065,0.15833596780656412,0.2815285428049462,0.19772245296039395
0.9,3,distance,euclidean,0.30000000000000004,0.799322033898305,0.04251886341061805,0.35614385614385613,0.12460009673592828,0.4666666666666666,0.2277100170213244,0.3995426312817617,0.16559161487067056,0.2888337356262936,0.19233630549801942
0.9,3,distance,euclidean,0.4,0.8428248587570621,0.025133782934355017,0.4746031746031746,0.12300307153053569,0.31111111111111106,0.14487116456005886,0.36025252525252527,0.13951689972781892,0.29288289536279843,0.12861919201770994
0.9,3,distance,euclidean,0.5,0.8528248587570622,0.01840824145437301,0.538888888888889,0.12044157438154891,0.28888888888888886,0.12668615834434865,0.3590986790986791,0.11567380481058301,0.3130427599267584,0.09980944578638175
0.9,3,distance,euclidean,0.6,0.8561581920903955,0.019258203949378785,0.5588888888888889,0.12067198678675067,0.28888888888888886,0.12668615834434865,0.3648129648129648,0.11886125949940077,0.3236924155711861,0.10437176844794321
