n_components,C,kernel,accuracy,precision,recall,f1,mcc
150,0.01,linear,0.9061705989110708,0.8178571428571428,0.5555555555555556,0.6438235294117647,0.6168075697806501
150,0.01,rbf,0.6777979431336962,0.41730396013637555,0.5333333333333333,0.3000919540229885,0.23718054161388274
150,0.01,poly,0.44827586206896547,0.2921633223520016,0.5555555555555556,0.15808893615345226,-0.043922894726953966
150,0.01,sigmoid,0.5623714458560193,0.16082171680117388,0.4444444444444445,0.19706467661691543,0.022108364835591705
150,0.1,linear,0.9026618269812461,0.8,0.5555555555555556,0.6364705882352941,0.6061431930334674
150,0.1,rbf,0.6743496672716274,0.40063729346970883,0.5333333333333333,0.29752785145888594,0.228452576580233
150,0.1,poly,0.59340592861464,0.6582575757575758,0.3555555555555555,0.13912280701754387,0.02354947767667931
150,0.1,sigmoid,0.5903206291591047,0.19184749088870198,0.4444444444444445,0.20622257135375754,0.05919721089510872
150,1.0,linear,0.9026618269812461,0.8,0.5555555555555556,0.6364705882352941,0.6061431930334674
150,1.0,rbf,0.8957652752571083,0.7516666666666667,0.5333333333333334,0.6193837535014005,0.5746832529427481
150,1.0,poly,0.6177858439201451,0.5580956559894691,0.4,0.24685765847056168,0.16065582804129003
150,1.0,sigmoid,0.7465214761040533,0.3002226720647773,0.4666666666666667,0.3566922561798189,0.22454629450552224
150,10.0,linear,0.9026618269812461,0.8,0.5555555555555556,0.6364705882352941,0.6061431930334674
150,10.0,rbf,0.9130066545674531,0.7778571428571428,0.6222222222222223,0.6863445378151262,0.6452429920906994
150,10.0,poly,0.7472474289171204,0.5483282674772036,0.35555555555555557,0.30259740259740264,0.2620096149130512
150,10.0,sigmoid,0.68832425892317,0.2987590187590188,0.5555555555555556,0.38150997150997157,0.22460233377562439
150,100.0,linear,0.9026618269812461,0.8,0.5555555555555556,0.6364705882352941,0.6061431930334674
150,100.0,rbf,0.8992135511191772,0.7961111111111111,0.5333333333333333,0.6180438842203548,0.5894642624554342
150,100.0,poly,0.8958862673926195,0.731111111111111,0.5111111111111112,0.5814407814407814,0.5487291747966305
150,100.0,sigmoid,0.6393224440411374,0.23695584881068754,0.5333333333333333,0.3260451530507148,0.14923896031774117
180,0.01,linear,0.9235329703569267,0.8714285714285716,0.6222222222222222,0.7073529411764705,0.6881158029604064
180,0.01,rbf,0.6709013914095584,0.4097314609509731,0.5111111111111112,0.2875978835978836,0.21902006625625714
180,0.01,poly,0.4517241379310345,0.2928164428164428,0.5555555555555556,0.15904081346704296,-0.0411341331418337
180,0.01,sigmoid,0.5623714458560193,0.16082171680117388,0.4444444444444445,0.19706467661691543,0.022108364835591705
180,0.1,linear,0.9166364186327888,0.8464285714285715,0.6,0.6838235294117647,0.6604967553413588
180,0.1,rbf,0.6674531155474894,0.39306479428430646,0.5111111111111112,0.285033781033781,0.2102921012226074
180,0.1,poly,0.59340592861464,0.6582575757575758,0.3555555555555555,0.13912280701754387,0.02354947767667931
180,0.1,sigmoid,0.5938294010889292,0.19270114942528735,0.4444444444444445,0.20736542849661466,0.06231758235179237
180,1.0,linear,0.9166364186327888,0.8464285714285715,0.6,0.6838235294117647,0.6604967553413588
180,1.0,rbf,0.8992740471869329,0.7695238095238096,0.5333333333333334,0.6267366946778712,0.5853476296899309
180,1.0,poly,0.6177858439201451,0.5580956559894691,0.4,0.24685765847056168,0.16065582804129003
180,1.0,sigmoid,0.7429522081064731,0.3043162393162393,0.4666666666666667,0.35587354272952654,0.22423422039274876
180,10.0,linear,0.9166364186327888,0.8464285714285715,0.6,0.6838235294117647,0.6604967553413588
180,10.0,rbf,0.9200241984271023,0.8317460317460318,0.6222222222222223,0.6985344394167924,0.671105647735207
180,10.0,poly,0.7507562008469449,0.5673758865248227,0.35555555555555557,0.3092640692640693,0.2728570349216458
180,10.0,sigmoid,0.68832425892317,0.2987590187590188,0.5555555555555556,0.38150997150997157,0.22460233377562439
180,100.0,linear,0.9166364186327888,0.8464285714285715,0.6,0.6838235294117647,0.6604967553413588
180,100.0,rbf,0.9200241984271023,0.8766666666666666,0.5777777777777777,0.67703081232493,0.6634334186608928
180,100.0,poly,0.8958862673926195,0.731111111111111,0.5111111111111112,0.5814407814407814,0.5487291747966305
180,100.0,sigmoid,0.6323049001814882,0.23059221244705114,0.5333333333333333,0.31981600955794504,0.14147299382753467
200,0.01,linear,0.9269812462189957,0.8892857142857142,0.6222222222222222,0.7147058823529411,0.6987264126305651
200,0.01,rbf,0.6709013914095584,0.4097314609509731,0.5111111111111112,0.2875978835978836,0.21902006625625714
200,0.01,poly,0.4517241379310345,0.2928164428164428,0.5555555555555556,0.15904081346704296,-0.0411341331418337
200,0.01,sigmoid,0.5623714458560193,0.16082171680117388,0.4444444444444445,0.19706467661691543,0.022108364835591705
200,0.1,linear,0.9269812462189957,0.8892857142857142,0.6222222222222222,0.7147058823529411,0.6987264126305651
200,0.1,rbf,0.6674531155474894,0.39306479428430646,0.5111111111111112,0.285033781033781,0.2102921012226074
200,0.1,poly,0.59340592861464,0.6582575757575758,0.3555555555555555,0.13912280701754387,0.02354947767667931
200,0.1,sigmoid,0.5938294010889292,0.19270114942528735,0.4444444444444445,0.20736542849661466,0.06231758235179237
200,1.0,linear,0.9269812462189957,0.8892857142857142,0.6222222222222222,0.7147058823529411,0.6987264126305651
200,1.0,rbf,0.8992740471869329,0.7695238095238096,0.5333333333333334,0.6267366946778712,0.5853476296899309
200,1.0,poly,0.6177858439201451,0.5580956559894691,0.4,0.24685765847056168,0.16065582804129003
