n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
220,5,distance,cosine,0.8784029038112523,0.6056060606060607,0.6444444444444446,0.6100280112044818,0.5488958704618625
150,7,uniform,cosine,0.7917120387174834,0.4227777777777778,0.6222222222222222,0.4774179894179894,0.38597166118306975
180,7,uniform,cosine,0.8055656382335148,0.4425,0.6222222222222222,0.49371428571428566,0.40552566648187705
200,7,uniform,cosine,0.8055656382335148,0.4698529411764706,0.6444444444444446,0.504,0.42597041525265
220,7,uniform,cosine,0.8020568663036902,0.4412418300653595,0.6666666666666667,0.5039251119251118,0.42287756472142235
150,7,distance,cosine,0.8575922565033274,0.5476923076923077,0.6222222222222222,0.5663050907902166,0.4951361264821698
180,7,distance,cosine,0.8748941318814278,0.5950505050505052,0.6222222222222222,0.5964745196324144,0.5311755715201676
200,7,distance,cosine,0.8748941318814276,0.6106060606060606,0.6444444444444446,0.6042375168690958,0.5459533515660854
220,7,distance,cosine,0.8713853599516032,0.5776923076923077,0.6666666666666667,0.6039644565960354,0.5406459557497383
150,9,uniform,cosine,0.7915910465819722,0.4086764705882353,0.6222222222222222,0.47661538461538455,0.38046645255595396
180,9,uniform,cosine,0.7950393224440411,0.42484126984126985,0.6444444444444445,0.49807407407407406,0.4019244604486108
200,9,uniform,cosine,0.7950393224440411,0.4161764705882353,0.6444444444444446,0.48861538461538456,0.39684742982083626
220,9,uniform,cosine,0.7950393224440411,0.4182189542483661,0.6666666666666667,0.4957037037037037,0.4081177187856932
150,9,distance,cosine,0.8713853599516032,0.5866666666666667,0.6222222222222222,0.5909774436090225,0.5244265494925153
180,9,distance,cosine,0.8748336358136722,0.5972727272727273,0.6222222222222222,0.5976441102756891,0.5322181900038905
200,9,distance,cosine,0.8748336358136722,0.594965034965035,0.6444444444444446,0.6056185919343814,0.5414946861036244
220,9,distance,cosine,0.8748336358136722,0.5927272727272727,0.6666666666666667,0.6127165740438051,0.5506581435194959
150,11,uniform,cosine,0.7601935874168179,0.35987394957983193,0.6444444444444444,0.45178481649069885,0.3458486789572118
180,11,uniform,cosine,0.7811857229280097,0.4003508771929824,0.6666666666666667,0.488562091503268,0.39093508852321424
200,11,uniform,cosine,0.7916515426497278,0.42433731387291757,0.6888888888888889,0.507875457875458,0.41992974918831366
220,11,uniform,cosine,0.7778584392014519,0.4115226685639931,0.6888888888888889,0.49537545787545784,0.40450963193883566
150,11,distance,cosine,0.8677555958862673,0.5654545454545454,0.6444444444444444,0.5948872180451128,0.5234856813658887
180,11,distance,cosine,0.8747731397459166,0.5876923076923077,0.6444444444444446,0.6072727272727272,0.5394385586131546
200,11,distance,cosine,0.8782214156079855,0.6040559440559441,0.6666666666666667,0.6203554340396444,0.5588027162647144
220,11,distance,cosine,0.8678765880217785,0.5838636363636364,0.6666666666666667,0.6050827067669172,0.5412616685544599
