criterion,cvTest,splitter,max_depth,min_samples_split,min_samples_leaf,precision,recall,accuracy,f1,train_time,test_time
gini,3,best,10,2,1,1.0,1.0,1.0,1.0,0.009991645812988281,0.001290718714396159
gini,3,random,10,2,1,1.0,1.0,1.0,1.0,0.005251010258992513,0.0009230772654215494
gini,3,best,10,5,1,1.0,1.0,1.0,1.0,0.009107669194539389,0.0010441939036051433
gini,3,random,10,5,1,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.0027755101521809897,0.0007969538370768229
gini,3,best,10,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.0075232187906901045,0.0006844997406005859
gini,3,random,10,2,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.0034056504567464194,0.0005861123402913412
gini,3,best,10,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.007863283157348633,0.00072479248046875
gini,3,random,10,5,2,0.9777777777777777,0.9361702127659575,0.9574468085106383,0.9565217391304347,0.003348668416341146,0.0007569789886474609
gini,3,best,30,2,1,1.0,1.0,1.0,1.0,0.008878231048583984,0.0008024374643961588
gini,3,random,30,2,1,1.0,1.0,1.0,1.0,0.003814061482747396,0.000823974609375
gini,3,best,30,5,1,1.0,1.0,1.0,1.0,0.011256933212280273,0.0009366671244303385
gini,3,random,30,5,1,1.0,0.9787234042553191,0.9893617021276596,0.989247311827957,0.0029624303181966147,0.0006349086761474609
gini,3,best,30,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.010307868321736654,0.0011827150980631511
gini,3,random,30,2,2,1.0,0.8936170212765957,0.9468085106382979,0.9438202247191011,0.0026558240254720054,0.0006013711293538412
gini,3,best,30,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.008872350056966146,0.0007873376210530599
gini,3,random,30,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.0025726954142252603,0.0008765856424967448
gini,3,best,50,2,1,1.0,1.0,1.0,1.0,0.01152817408243815,0.0011157989501953125
gini,3,random,50,2,1,1.0,1.0,1.0,1.0,0.0031526883443196616,0.0006077289581298828
gini,3,best,50,5,1,1.0,1.0,1.0,1.0,0.00879232088724772,0.0008711814880371094
