C,kernel,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.01,linear,0.1,0.35124293785310734,0.1560931424031876,0.1854291094969061,0.035227750921717295,0.9333333333333333,0.09938079899999067,0.3078082515057305,0.0493587762534044,0.15469468985643703,0.1110822338696204
0.01,linear,0.2,0.8761016949152542,0.033441841965189435,0.6254578754578755,0.12017987900156038,0.4666666666666666,0.29814239699997197,0.49496434937611405,0.20315892946416667,0.4580243837556295,0.1968729428150285
0.01,linear,0.30000000000000004,0.8694915254237288,0.03650030159248942,0.8,0.2738612787525831,0.2,0.21372648957412604,0.28075924075924075,0.2663680408414332,0.29405662111357717,0.2645278417690149
0.01,linear,0.4,0.8527118644067796,0.02588455551440968,0.8,0.4472135954999579,0.06666666666666667,0.09938079899999065,0.11272727272727275,0.1648440284602638,0.13449659551955057,0.22766017165537758
0.01,linear,0.5,0.8494350282485875,0.01280723795088322,0.8,0.4472135954999579,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.05084059904000955,0.14682030978566962
0.01,linear,0.6,0.8494350282485875,0.01280723795088322,0.8,0.4472135954999579,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.05084059904000955,0.14682030978566962
0.01,linear,0.7000000000000001,0.8494350282485875,0.01280723795088322,0.8,0.4472135954999579,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.05084059904000955,0.14682030978566962
0.01,linear,0.8,0.8494350282485875,0.01280723795088322,0.8,0.4472135954999579,0.02222222222222222,0.049690399499995326,0.04,0.0894427190999916,0.05084059904000955,0.14682030978566962
0.01,linear,0.9,0.8461016949152542,0.00871687516652459,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011141720290623113,0.024913643956121993
0.01,poly,0.1,0.15389830508474575,0.008716875166524606,0.1510344827586207,0.0023131737698273715,1.0,0.0,0.26242699545749515,0.003482519887085976,0.011141720290623113,0.024913643956121993
0.01,poly,0.2,0.8493785310734463,0.021688403860423495,0.6,0.4183300132670378,0.08888888888888888,0.04969039949999532,0.15272727272727274,0.0858597742044916,0.18087738582541293,0.15896857283140575
0.01,poly,0.30000000000000004,0.8493785310734463,0.021688403860423495,0.8,0.4472135954999579,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103324,0.10807025037648481,0.18708974442211526
0.01,poly,0.4,0.8527683615819208,0.014976281161040524,0.8,0.4472135954999579,0.04444444444444444,0.06085806194501846,0.08,0.10954451150103324,0.11282291837064222,0.1813482762585194
0.01,poly,0.5,0.8461016949152542,0.00871687516652459,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011141720290623113,0.024913643956121993
0.01,poly,0.6,0.8461016949152542,0.00871687516652459,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011141720290623113,0.024913643956121993
0.01,poly,0.7000000000000001,0.8461016949152542,0.00871687516652459,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011141720290623113,0.024913643956121993
0.01,poly,0.8,0.8461016949152542,0.00871687516652459,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011141720290623113,0.024913643956121993
0.01,poly,0.9,0.8461016949152542,0.00871687516652459,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011141720290623113,0.024913643956121993
0.01,rbf,0.1,0.6018079096045198,0.08160556882171127,0.27403508771929824,0.04231333531386869,0.9555555555555555,0.06085806194501847,0.4240126688419613,0.04877976670166204,0.3589395439870945,0.06554404718105952
0.01,rbf,0.2,0.8892655367231639,0.07073973148735892,0.6241847041847042,0.20534000784680878,0.7555555555555555,0.19876159799998128,0.6794144782245468,0.19368267931509203,0.6208121339460757,0.23531899277936996
0.01,rbf,0.30000000000000004,0.8893220338983051,0.05491768088846897,0.6614285714285714,0.2686279913419789,0.4888888888888888,0.23040490392586357,0.5597478991596638,0.2467176499967527,0.5078379374689777,0.27570632935941713
0.01,rbf,0.4,0.8692655367231639,0.05212855692479722,0.6,0.34641016151377546,0.3333333333333333,0.19245008972987526,0.42857142857142855,0.24743582965269673,0.3824292155420249,0.2872101699263345
0.01,rbf,0.5,0.8659887005649718,0.042213258665073326,0.6266666666666667,0.37594325812991164,0.2444444444444444,0.16480441082434805,0.3476190476190476,0.2205435462268459,0.3321380091880409,0.26360269702231237
0.01,rbf,0.6,0.8761581920903956,0.023134196269987792,0.96,0.08944271909999157,0.2,0.18257418583505536,0.29428571428571426,0.23638432904997778,0.34296046095521016,0.22554067951162923
0.01,rbf,0.7000000000000001,0.8661581920903956,0.012703072917228563,0.9333333333333332,0.14907119849998599,0.13333333333333333,0.09296222517045283,0.2193939393939394,0.1437654451318458,0.27876420164263144,0.16518102104957308
