C,kernel,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,linear,1,0.1,0.16666666666666666,0.15254237288135594,1.0,0.2647058823529412,0.054690281762322934
0.01,linear,1,0.2,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,linear,1,0.30000000000000004,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,linear,1,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,linear,1,0.5,0.85,1.0,0.0,0.0,0.0
0.01,linear,1,0.6,0.85,1.0,0.0,0.0,0.0
0.01,linear,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,linear,1,0.8,0.85,1.0,0.0,0.0,0.0
0.01,linear,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.1,0.21666666666666667,0.16071428571428573,1.0,0.27692307692307694,0.11227217828476796
0.01,linear,2,0.2,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,linear,2,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.4,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.5,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.6,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,linear,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,linear,3,0.1,0.48333333333333334,0.225,1.0,0.3673469387755102,0.2970442628930023
0.01,linear,3,0.2,0.9,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6854561497129446
0.01,linear,3,0.30000000000000004,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
0.01,linear,3,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,linear,3,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,linear,3,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
