alpha,fold,threshold,accuracy,precision,recall,f1
0.001,1,0.1,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.2,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.30000000000000004,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.4,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.5,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.6,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.7000000000000001,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.8,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,1,0.9,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.001,2,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.30000000000000004,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.7000000000000001,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,2,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.001,3,0.1,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.2,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.30000000000000004,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.4,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.5,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.6,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.7000000000000001,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.8,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,3,0.9,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
0.001,4,0.1,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.2,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.5,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.6,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,4,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.001,5,0.1,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.2,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.30000000000000004,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.4,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.5,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.6,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.7000000000000001,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.8,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.001,5,0.9,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,1,0.1,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.2,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.30000000000000004,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.4,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.5,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.6,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.7000000000000001,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.8,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,1,0.9,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,2,0.1,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.2,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.30000000000000004,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.4,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.5,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.6,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.7000000000000001,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.8,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,2,0.9,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.01,3,0.1,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.2,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.5,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.6,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,3,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.1,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.2,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.5,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.6,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,4,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.01,5,0.1,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.2,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.30000000000000004,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.4,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.5,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.6,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.7000000000000001,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.8,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,5,0.9,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,1,0.1,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.1,1,0.2,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.1,1,0.30000000000000004,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,1,0.4,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,1,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,1,0.6,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,1,0.7000000000000001,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,1,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,1,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5
0.1,2,0.1,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765
0.1,2,0.2,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.30000000000000004,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.4,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.5,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.6,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.7000000000000001,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.8,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,2,0.9,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,3,0.1,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.2,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.5,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.6,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,3,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.1,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.2,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.5,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.6,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,4,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
0.1,5,0.1,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.2,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.30000000000000004,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.4,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.5,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.6,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.7000000000000001,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.8,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.1,5,0.9,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
1.0,1,0.1,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.2,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.30000000000000004,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.4,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.6,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.7000000000000001,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.8,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,1,0.9,0.6666666666666666,1.0,0.3333333333333333,0.5
1.0,2,0.1,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.2,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.30000000000000004,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.4,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.5,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.6,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.7000000000000001,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.8,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,2,0.9,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
1.0,3,0.1,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
1.0,3,0.2,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
1.0,3,0.30000000000000004,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
1.0,3,0.4,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
