fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.5,0.5,1.0,0.6666666666666666,0.0
1,0.2,0.5,0.5,0.875,0.6363636363636364,0.0
1,0.30000000000000004,0.5625,0.55,0.6875,0.6111111111111112,0.12909944487358055
1,0.4,0.59375,0.5789473684210527,0.6875,0.6285714285714286,0.19088542889273333
1,0.5,0.65625,0.6923076923076923,0.5625,0.6206896551724138,0.31814238148788887
1,0.6,0.5625,0.625,0.3125,0.4166666666666667,0.14433756729740646
1,0.7000000000000001,0.59375,0.8,0.25,0.38095238095238093,0.25819888974716115
1,0.8,0.5625,0.75,0.1875,0.3,0.1889822365046136
1,0.9,0.5,0.5,0.0625,0.1111111111111111,0.0
2,0.1,0.5161290322580645,0.5161290322580645,1.0,0.6808510638297872,0.0
2,0.2,0.5806451612903226,0.5517241379310345,1.0,0.7111111111111111,0.2712254014483242
2,0.30000000000000004,0.6451612903225806,0.6,0.9375,0.7317073170731707,0.34258007985157446
2,0.4,0.6774193548387096,0.65,0.8125,0.7222222222222222,0.36121113610807304
2,0.5,0.7096774193548387,0.7333333333333333,0.6875,0.7096774193548387,0.42083333333333334
2,0.6,0.6774193548387096,0.875,0.4375,0.5833333333333334,0.4235215118674525
2,0.7000000000000001,0.5161290322580645,0.6666666666666666,0.125,0.21052631578947367,0.09860132971832693
2,0.8,0.5161290322580645,0.6666666666666666,0.125,0.21052631578947367,0.09860132971832693
2,0.9,0.5161290322580645,1.0,0.0625,0.11764705882352941,0.17677669529663687
3,0.1,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.2,0.5161290322580645,0.5,1.0,0.6666666666666666,0.17677669529663687
3,0.30000000000000004,0.45161290322580644,0.4642857142857143,0.8666666666666667,0.6046511627906976,-0.11973018608653985
3,0.4,0.5806451612903226,0.5416666666666666,0.8666666666666667,0.6666666666666666,0.21414512583907888
3,0.5,0.7096774193548387,0.65,0.8666666666666667,0.7428571428571429,0.44824996408592194
3,0.6,0.6451612903225806,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.290693866424127
3,0.7000000000000001,0.6451612903225806,1.0,0.26666666666666666,0.42105263157894735,0.3975231959999626
3,0.8,0.5806451612903226,1.0,0.13333333333333333,0.23529411764705882,0.2712254014483242
3,0.9,0.5483870967741935,1.0,0.06666666666666667,0.125,0.18856180831641267
