n_neighbors,weights,algorithm,leaf_size,p,fold,threshold,accuracy,precision,recall,f1,mcc
3,uniform,auto,30,1,1,0.1,0.47368421052631576,0.5,0.1,0.16666666666666666,-0.018077538151554683
3,uniform,auto,30,1,1,0.2,0.47368421052631576,0.5,0.1,0.16666666666666666,-0.018077538151554683
3,uniform,auto,30,1,1,0.30000000000000004,0.47368421052631576,0.5,0.1,0.16666666666666666,-0.018077538151554683
3,uniform,auto,30,1,1,0.4,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,1,0.5,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,1,0.6,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,1,0.7000000000000001,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,1,0.8,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,1,0.9,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,2,0.1,0.3157894736842105,0.3333333333333333,0.3,0.3157894736842105,-0.36666666666666664
3,uniform,auto,30,1,2,0.2,0.3157894736842105,0.3333333333333333,0.3,0.3157894736842105,-0.36666666666666664
3,uniform,auto,30,1,2,0.30000000000000004,0.3157894736842105,0.3333333333333333,0.3,0.3157894736842105,-0.36666666666666664
3,uniform,auto,30,1,2,0.4,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,2,0.5,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,2,0.6,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,2,0.7000000000000001,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,2,0.8,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,2,0.9,0.47368421052631576,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,3,0.1,0.47368421052631576,0.0,0.0,0.0,-0.22360679774997896
3,uniform,auto,30,1,3,0.2,0.47368421052631576,0.0,0.0,0.0,-0.22360679774997896
3,uniform,auto,30,1,3,0.30000000000000004,0.47368421052631576,0.0,0.0,0.0,-0.22360679774997896
3,uniform,auto,30,1,3,0.4,0.5263157894736842,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,3,0.5,0.5263157894736842,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,3,0.6,0.5263157894736842,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,3,0.7000000000000001,0.5263157894736842,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,3,0.8,0.5263157894736842,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,3,0.9,0.5263157894736842,1.0,0.0,0.0,0.0
3,uniform,auto,30,1,4,0.1,0.7368421052631579,1.0,0.4444444444444444,0.6153846153846154,0.5443310539518174
3,uniform,auto,30,1,4,0.2,0.7368421052631579,1.0,0.4444444444444444,0.6153846153846154,0.5443310539518174
3,uniform,auto,30,1,4,0.30000000000000004,0.7368421052631579,1.0,0.4444444444444444,0.6153846153846154,0.5443310539518174
3,uniform,auto,30,1,4,0.4,0.5263157894736842,1.0,0.0,0.0,0.0
