C,kernel,fold,threshold,accuracy,precision,recall,f1
0.01,linear,1,0.1,0.5,0.5,1.0,0.6666666666666666
0.01,linear,1,0.2,0.5,0.5,1.0,0.6666666666666666
0.01,linear,1,0.30000000000000004,0.5,0.5,1.0,0.6666666666666666
0.01,linear,1,0.4,0.5,0.5,0.7777777777777778,0.6086956521739131
0.01,linear,1,0.5,0.6111111111111112,0.6666666666666666,0.4444444444444444,0.5333333333333333
0.01,linear,1,0.6,0.6666666666666666,1.0,0.3333333333333333,0.5
0.01,linear,1,0.7000000000000001,0.6666666666666666,1.0,0.3333333333333333,0.5
0.01,linear,1,0.8,0.5555555555555556,1.0,0.1111111111111111,0.2
0.01,linear,1,0.9,0.5,1.0,0.0,0.0
0.01,linear,2,0.1,0.5,0.5,1.0,0.6666666666666666
0.01,linear,2,0.2,0.5,0.5,1.0,0.6666666666666666
0.01,linear,2,0.30000000000000004,0.5,0.5,1.0,0.6666666666666666
0.01,linear,2,0.4,0.7777777777777778,0.6923076923076923,1.0,0.8181818181818182
0.01,linear,2,0.5,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
0.01,linear,2,0.6,0.5555555555555556,0.6666666666666666,0.2222222222222222,0.3333333333333333
0.01,linear,2,0.7000000000000001,0.4444444444444444,0.0,0.0,0.0
0.01,linear,2,0.8,0.4444444444444444,0.0,0.0,0.0
0.01,linear,2,0.9,0.4444444444444444,0.0,0.0,0.0
0.01,linear,3,0.1,0.5,0.5,1.0,0.6666666666666666
0.01,linear,3,0.2,0.5,0.5,1.0,0.6666666666666666
0.01,linear,3,0.30000000000000004,0.5555555555555556,0.5294117647058824,1.0,0.6923076923076923
0.01,linear,3,0.4,0.7777777777777778,0.6923076923076923,1.0,0.8181818181818182
0.01,linear,3,0.5,1.0,1.0,1.0,1.0
0.01,linear,3,0.6,0.8333333333333334,1.0,0.6666666666666666,0.8
0.01,linear,3,0.7000000000000001,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143
0.01,linear,3,0.8,0.7222222222222222,1.0,0.4444444444444444,0.6153846153846154
0.01,linear,3,0.9,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365
0.01,linear,4,0.1,0.5,0.5,1.0,0.6666666666666666
0.01,linear,4,0.2,0.5,0.5,1.0,0.6666666666666666
0.01,linear,4,0.30000000000000004,0.5,0.5,1.0,0.6666666666666666
0.01,linear,4,0.4,0.5,0.5,1.0,0.6666666666666666
0.01,linear,4,0.5,0.7777777777777778,0.8571428571428571,0.6666666666666666,0.75
0.01,linear,4,0.6,0.5555555555555556,1.0,0.1111111111111111,0.2
