fold,threshold,accuracy,precision,recall,f1,mcc,criterion,max_depth,max_features,min_samples_leaf,min_samples_split
1,0.1,0.7894736842105263,0.7142857142857143,1.0,0.8333333333333334,0.629940788348712,gini,,,5,2
1,0.2,0.7894736842105263,0.7142857142857143,1.0,0.8333333333333334,0.629940788348712,gini,,,5,2
1,0.30000000000000004,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,gini,,,5,2
1,0.4,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,gini,,,5,2
1,0.5,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,gini,,,5,2
1,0.6,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458,gini,,,5,2
1,0.7000000000000001,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777,gini,,,5,2
1,0.8,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777,gini,,,5,2
1,0.9,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777,gini,,,5,2
2,0.1,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777,gini,,,5,2
2,0.2,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777,gini,,,5,2
2,0.30000000000000004,0.7894736842105263,0.875,0.7,0.7777777777777778,0.5955432118425306,gini,,,5,2
2,0.4,0.7894736842105263,0.875,0.7,0.7777777777777778,0.5955432118425306,gini,,,5,2
2,0.5,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,gini,,,5,2
2,0.6,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,gini,,,5,2
2,0.7000000000000001,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,gini,,,5,2
2,0.8,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598,gini,,,5,2
2,0.9,0.631578947368421,0.8,0.4,0.5333333333333333,0.32756920994133026,gini,,,5,2
3,0.1,0.7894736842105263,0.6923076923076923,1.0,0.8181818181818182,0.6445033866354896,gini,,,5,2
3,0.2,0.7894736842105263,0.6923076923076923,1.0,0.8181818181818182,0.6445033866354896,gini,,,5,2
3,0.30000000000000004,0.8421052631578947,0.75,1.0,0.8571428571428571,0.724568837309472,gini,,,5,2
3,0.4,0.8421052631578947,0.75,1.0,0.8571428571428571,0.724568837309472,gini,,,5,2
3,0.5,0.8421052631578947,0.75,1.0,0.8571428571428571,0.724568837309472,gini,,,5,2
3,0.6,0.8421052631578947,0.75,1.0,0.8571428571428571,0.724568837309472,gini,,,5,2
3,0.7000000000000001,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
3,0.8,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
3,0.9,0.7368421052631579,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.4893451639269458,gini,,,5,2
4,0.1,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598,gini,,,5,2
4,0.2,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598,gini,,,5,2
4,0.30000000000000004,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
4,0.4,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
4,0.5,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
4,0.6,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
4,0.7000000000000001,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
4,0.8,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
4,0.9,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295,gini,,,5,2
5,0.1,0.6666666666666666,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.3721042037676254,gini,,,5,2
5,0.2,0.6666666666666666,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.3721042037676254,gini,,,5,2
5,0.30000000000000004,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.4714045207910316,gini,,,5,2
5,0.4,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.4714045207910316,gini,,,5,2
5,0.5,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.4714045207910316,gini,,,5,2
5,0.6,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.4714045207910316,gini,,,5,2
5,0.7000000000000001,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.22360679774997896,gini,,,5,2
5,0.8,0.6111111111111112,0.625,0.5555555555555556,0.5882352941176471,0.22360679774997896,gini,,,5,2
5,0.9,0.5555555555555556,0.5714285714285714,0.4444444444444444,0.5,0.11396057645963795,gini,,,5,2
