n_neighbors,weights,algorithm,leaf_size,p,fold,threshold,accuracy,precision,recall,f1
3,uniform,auto,30,1,1,0.1,0.8333333333333334,0.875,0.7777777777777778,0.8235294117647058
3,uniform,auto,30,1,1,0.2,0.8333333333333334,0.875,0.7777777777777778,0.8235294117647058
3,uniform,auto,30,1,1,0.30000000000000004,0.8333333333333334,0.875,0.7777777777777778,0.8235294117647058
3,uniform,auto,30,1,1,0.4,0.6666666666666666,1.0,0.3333333333333333,0.5
3,uniform,auto,30,1,1,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
3,uniform,auto,30,1,1,0.6,0.6666666666666666,1.0,0.3333333333333333,0.5
3,uniform,auto,30,1,1,0.7000000000000001,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,1,0.8,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,1,0.9,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,2,0.1,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579
3,uniform,auto,30,1,2,0.2,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579
3,uniform,auto,30,1,2,0.30000000000000004,0.7222222222222222,0.7,0.7777777777777778,0.7368421052631579
3,uniform,auto,30,1,2,0.4,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,2,0.5,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,2,0.6,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,2,0.7000000000000001,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,2,0.8,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,2,0.9,0.5,1.0,0.0,0.0
3,uniform,auto,30,1,3,0.1,0.8888888888888888,0.8181818181818182,1.0,0.9
3,uniform,auto,30,1,3,0.2,0.8888888888888888,0.8181818181818182,1.0,0.9
3,uniform,auto,30,1,3,0.30000000000000004,0.8888888888888888,0.8181818181818182,1.0,0.9
3,uniform,auto,30,1,3,0.4,0.8333333333333334,1.0,0.6666666666666666,0.8
3,uniform,auto,30,1,3,0.5,0.8333333333333334,1.0,0.6666666666666666,0.8
3,uniform,auto,30,1,3,0.6,0.8333333333333334,1.0,0.6666666666666666,0.8
3,uniform,auto,30,1,3,0.7000000000000001,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,30,1,3,0.8,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,30,1,3,0.9,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365
3,uniform,auto,30,1,4,0.1,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
3,uniform,auto,30,1,4,0.2,0.7222222222222222,0.8333333333333334,0.5555555555555556,0.6666666666666666
