alpha,fold,threshold,accuracy,precision,recall,f1,mcc
0.001,1,0.1,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.2,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.30000000000000004,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.4,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.5,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.6,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.7000000000000001,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.8,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,1,0.9,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.001,2,0.1,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.2,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.30000000000000004,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.4,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.5,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.6,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.7000000000000001,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.8,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,2,0.9,0.7894736842105263,0.8,0.8,0.8,0.5777777777777777
0.001,3,0.1,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.2,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.30000000000000004,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.4,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.5,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.6,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.7000000000000001,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.8,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,3,0.9,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.001,4,0.1,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.2,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.30000000000000004,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.4,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.5,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.6,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.7000000000000001,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.8,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,4,0.9,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.001,5,0.1,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.2,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.30000000000000004,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.4,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.5,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.6,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.7000000000000001,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.8,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.001,5,0.9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556
0.01,1,0.1,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.2,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.30000000000000004,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.4,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.5,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.6,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.7000000000000001,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.8,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,1,0.9,0.7368421052631579,0.8571428571428571,0.6,0.7058823529411765,0.5060480768510598
0.01,2,0.1,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.2,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.30000000000000004,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.4,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.5,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.6,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.7000000000000001,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.8,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,2,0.9,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
0.01,3,0.1,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.2,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.30000000000000004,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.4,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.5,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.6,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.7000000000000001,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.8,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,3,0.9,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
0.01,4,0.1,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.2,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.30000000000000004,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.4,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.5,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.6,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.7000000000000001,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
0.01,4,0.8,0.7368421052631579,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.5060480768510598
