fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.5,0.5,1.0,0.6666666666666666,0.0
1,0.2,0.5,0.5,1.0,0.6666666666666666,0.0
1,0.30000000000000004,0.65625,0.5925925925925926,1.0,0.7441860465116279,0.43033148291193524
1,0.4,0.6875,0.625,0.9375,0.75,0.43301270189221935
1,0.5,0.6875,0.6666666666666666,0.75,0.7058823529411765,0.3779644730092272
1,0.6,0.6875,0.75,0.5625,0.6428571428571429,0.3872983346207417
1,0.7000000000000001,0.6875,1.0,0.375,0.5454545454545454,0.48038446141526137
1,0.8,0.59375,1.0,0.1875,0.3157894736842105,0.3216337604513384
1,0.9,0.53125,1.0,0.0625,0.11764705882352941,0.1796053020267749
2,0.1,0.5161290322580645,0.5161290322580645,1.0,0.6808510638297872,0.0
2,0.2,0.6129032258064516,0.5769230769230769,0.9375,0.7142857142857143,0.277407873365426
2,0.30000000000000004,0.6129032258064516,0.5909090909090909,0.8125,0.6842105263157895,0.23395480008935163
2,0.4,0.6451612903225806,0.6190476190476191,0.8125,0.7027027027027027,0.29844172013554054
2,0.5,0.6129032258064516,0.625,0.625,0.625,0.225
2,0.6,0.7096774193548387,0.8181818181818182,0.5625,0.6666666666666666,0.44824996408592194
2,0.7000000000000001,0.5806451612903226,0.8,0.25,0.38095238095238093,0.24910094751181108
2,0.8,0.5161290322580645,0.6666666666666666,0.125,0.21052631578947367,0.09860132971832693
2,0.9,0.4838709677419355,1.0,0.0,0.0,0.0
3,0.1,0.4838709677419355,0.4838709677419355,1.0,0.6521739130434783,0.0
3,0.2,0.5161290322580645,0.5,1.0,0.6666666666666666,0.17677669529663687
3,0.30000000000000004,0.5806451612903226,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.24910094751181108
3,0.4,0.7741935483870968,0.7,0.9333333333333333,0.8,0.5831601474515877
3,0.5,0.7096774193548387,0.7142857142857143,0.6666666666666666,0.6896551724137931,0.4184137043778615
3,0.6,0.7096774193548387,0.875,0.4666666666666667,0.6086956521739131,0.46159086124879656
3,0.7000000000000001,0.6129032258064516,0.8,0.26666666666666666,0.4,0.277407873365426
3,0.8,0.5483870967741935,1.0,0.06666666666666667,0.125,0.18856180831641267
3,0.9,0.5161290322580645,1.0,0.0,0.0,0.0
