pca__n_components,max_depth,learning_rate,n_estimators,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,3,0.01,100,0.2,0.26091954022988506,0.17743366869257501,1.0,0.3006850974330385,0.11701476547338782
150,3,0.01,100,0.30000000000000004,0.5727162734422262,0.27215005787646007,0.9555555555555555,0.42062416379789835,0.34277758527161184
150,3,0.01,100,0.4,0.694010889292196,0.31092424242424244,0.6,0.394733893557423,0.25799878292501266
150,3,0.01,100,0.5,0.8122202056866303,0.4542857142857143,0.4444444444444445,0.4226252556027297,0.3319556339845805
150,3,0.01,100,0.6,0.8542649727767696,0.6799999999999999,0.28888888888888886,0.3533287764866712,0.34484011653951774
150,3,0.01,100,0.7000000000000001,0.868118572292801,0.9333333333333332,0.17777777777777776,0.2866666666666667,0.3601976241302001
150,3,0.01,100,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,100,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,150,0.1,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
150,3,0.01,150,0.2,0.46866303690260136,0.23140963765963765,1.0,0.37481187764495766,0.29135226678780557
150,3,0.01,150,0.30000000000000004,0.6732002419842711,0.32737639553429027,0.8444444444444444,0.463647909171588,0.3714902720097782
150,3,0.01,150,0.4,0.7669086509376891,0.3835897435897436,0.5777777777777777,0.4473418394471026,0.33300051697076194
150,3,0.01,150,0.5,0.8505142165759226,0.5781746031746031,0.5111111111111111,0.5248888888888888,0.4510141377230873
150,3,0.01,150,0.6,0.8576527525710829,0.5733333333333334,0.3111111111111111,0.37659883975673447,0.34093093608267366
150,3,0.01,150,0.7000000000000001,0.868118572292801,0.8933333333333333,0.2,0.30095238095238097,0.36053893163085016
150,3,0.01,150,0.8,0.8576527525710829,1.0,0.08888888888888888,0.16,0.24706569996241096
150,3,0.01,150,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,200,0.1,0.22915910465819725,0.1689653753953957,1.0,0.288997736726205,0.10708994537141159
